ResourceID,brocade.id,card,order,Format Unit Type,Format Number Type,Page Numbers,Sheet Numbers,Format Unit Qualifier
2c915436-1fe7-57e3-b28e-69f8a49a163f,tg:lhhs:5708,Formats,1,sheets,total,,15,
2c915436-1fe7-57e3-b28e-69f8a49a163f,tg:lhhs:5708,Formats,1,pages,written,14,,
6e09c639-e970-58ae-93de-1d86f075169a,tg:lhhs:7735,Formats,1,sheets,total,,1,
6e09c639-e970-58ae-93de-1d86f075169a,tg:lhhs:7735,Formats,1,pages,written,1,,
93065a21-3867-5fe2-a29b-10fb2d74cc06,tg:lhhs:6827,Formats,1,sheets,total,,50,ca
48c098e8-94d4-531f-87fc-fa89ca37520d,tg:lhhs:18429,Formats,1,sheets,total,,4,
48c098e8-94d4-531f-87fc-fa89ca37520d,tg:lhhs:18429,Formats,1,pages,written,5,,
0fe025c6-1cff-5e90-832d-1ede609f18cd,tg:lhhs:10019,Formats,1,sheets,total,,8,
0fe025c6-1cff-5e90-832d-1ede609f18cd,tg:lhhs:10019,Formats,1,pages,written,8,,
6ed5aef9-8b0b-572f-8875-5e0eba5f24c1,tg:lhhs:12024,Formats,1,pages,written,212,,
9e733ccd-bf54-593c-92e0-1a83c6954abf,tg:lhhs:17676,Formats,1,sheets,total,,11,
9e733ccd-bf54-593c-92e0-1a83c6954abf,tg:lhhs:17676,Formats,1,pages,written,11,,
caba7bdd-5733-551c-8008-3378221ba2c4,tg:lhhs:8090,Formats,1,sheets,total,,1,
caba7bdd-5733-551c-8008-3378221ba2c4,tg:lhhs:8090,Formats,1,pages,written,1,,
b4c3556e-592a-5f0b-8ed1-724b608dedb6,tg:lhhs:20505,Formats,1,sheets,total,,8,
b4c3556e-592a-5f0b-8ed1-724b608dedb6,tg:lhhs:20505,Formats,1,pages,written,8,,
dd0cf022-443a-59bd-9a4a-1953c6ffc035,tg:lhhs:5358,Formats,1,sheets,total,,3,
dd0cf022-443a-59bd-9a4a-1953c6ffc035,tg:lhhs:5358,Formats,1,pages,written,3,,
43cf8457-65f6-5c7d-ad19-1b3f17407a40,tg:lhhs:7365,Formats,1,pages,written,1,,
b4c7baba-7132-56cd-a635-8ec934db2f86,tg:lhhs:2167,Formats,1,pages,written,1,,
7fd4696d-1a3f-5967-b6e1-fefea8bb9419,tg:lhhs:10449,Formats,1,sheets,total,,27,
7fd4696d-1a3f-5967-b6e1-fefea8bb9419,tg:lhhs:10449,Formats,1,pages,written,27,,
b4b94abd-fd6c-509d-a197-f8921a8c7bb2,tg:lhhs:12474,Formats,1,sheets,total,,19,
b4b94abd-fd6c-509d-a197-f8921a8c7bb2,tg:lhhs:12474,Formats,1,pages,written,19,,
a4d3229b-6e58-5d8b-a33a-d82849f9cf7e,tg:lhhs:16437,Formats,1,sheets,total,,41,
a4d3229b-6e58-5d8b-a33a-d82849f9cf7e,tg:lhhs:16437,Formats,1,pages,written,41,,
c6b9e830-735d-5dd6-88c8-7aa0eddba50c,tg:lhhs:20856,Formats,1,sheets,total,,17,
c6b9e830-735d-5dd6-88c8-7aa0eddba50c,tg:lhhs:20856,Formats,1,pages,written,32,,
01029917-ea09-5c49-88f8-3107b8203fdb,tg:lhhs:6124,Formats,1,sheets,total,,1,
c3a3dbaf-a096-5026-88cc-1bfdc3c2b89a,tg:lhhs:4119,Formats,1,pages,written,1,,
8f8faff7-5df6-59e3-98da-38af81ce5a12,tg:lhhs:19238,Formats,1,sheets,total,,2,
8f8faff7-5df6-59e3-98da-38af81ce5a12,tg:lhhs:19238,Formats,1,pages,written,4,,
ced68e3e-dec1-534b-8a13-a572617d036e,tg:lhhs:3326,Formats,1,pages,written,1,,
7ce5d241-23ca-513b-b026-4aaeb7f26ea2,tg:lhhs:13635,Formats,1,sheets,total,,39,
a5468414-f743-5084-a62a-aa14d387f24f,tg:lhhs:11608,Formats,1,sheets,total,,16,
a5468414-f743-5084-a62a-aa14d387f24f,tg:lhhs:11608,Formats,1,pages,written,16,,
fd9b7a71-b4f0-51e4-9b85-a41bcc27cee0,tg:lhhs:8839,Formats,1,sheets,total,,8,
fd9b7a71-b4f0-51e4-9b85-a41bcc27cee0,tg:lhhs:8839,Formats,1,pages,written,8,,
53926b46-8eeb-5995-ac5b-29649f5511ac,tg:lhhs:12927,Formats,1,sheets,total,,185,
53926b46-8eeb-5995-ac5b-29649f5511ac,tg:lhhs:12927,Formats,1,pages,written,185,,
4d848e55-e57f-52db-8d9f-0a9e20bde8cc,tg:lhhs:8993,Formats,1,sheets,total,,17,
4d848e55-e57f-52db-8d9f-0a9e20bde8cc,tg:lhhs:8993,Formats,1,pages,written,17,,
ee8f4d41-a290-573e-a913-2f7f64cc31c5,tg:lhhs:19392,Formats,1,sheets,total,,3,
ee8f4d41-a290-573e-a913-2f7f64cc31c5,tg:lhhs:19392,Formats,1,pages,written,10,,
2edb89ef-a9d5-53a4-af5e-ec072b61a106,tg:lhhs:6574,Formats,1,sheets,total,,138,
2edb89ef-a9d5-53a4-af5e-ec072b61a106,tg:lhhs:6574,Formats,1,pages,written,138,,
6f8e10cb-df34-5124-b83f-0ea5dfe8c0ab,tg:lhhs:4549,Formats,1,pages,written,1,,
96b1c6c2-efee-5f5e-9a64-abf5e910a3b9,tg:lhhs:3776,Formats,1,pages,written,4,,
c4438d20-2d1e-51e6-b9a4-460c2bd47e23,tg:lhhs:19668,Formats,1,sheets,total,,122 + 124,
c4438d20-2d1e-51e6-b9a4-460c2bd47e23,tg:lhhs:19668,Formats,1,pages,written,122 + 124,,
18c40cbc-858f-5f1a-8f5b-f3c4baefc148,tg:lhhs:2864,Formats,1,pages,written,36,,
c914262f-58ab-5381-a5c8-ca194e560768,tg:lhhs:13265,Formats,1,sheets,total,,4,
c914262f-58ab-5381-a5c8-ca194e560768,tg:lhhs:13265,Formats,1,pages,written,4,,
e31f5c56-f1dc-597b-ac31-a5892e6aba75,tg:lhhs:284,Formats,1,sheets,total,,6,
e31f5c56-f1dc-597b-ac31-a5892e6aba75,tg:lhhs:284,Formats,1,pages,written,11,,
ed8262a0-a16f-5aa6-bf35-3b63b4cf9a6a,tg:lhhs:11258,Formats,1,sheets,total,,357,
ed8262a0-a16f-5aa6-bf35-3b63b4cf9a6a,tg:lhhs:11258,Formats,1,pages,written,400,,
34887468-642b-5dff-adda-cc1b509d0cf6,tg:lhhs:3263,Formats,1,sheets,total,,2,
34887468-642b-5dff-adda-cc1b509d0cf6,tg:lhhs:3263,Formats,1,pages,written,2,,
4724a6ec-a26e-58f7-bacd-390a7f399176,tg:lhhs:791,Formats,1,sheets,total,,2,
ca154a88-0fa7-51b3-b833-76bfabf1b694,tg:lhhs:13770,Formats,1,sheets,total,,4,
ca154a88-0fa7-51b3-b833-76bfabf1b694,tg:lhhs:13770,Formats,1,pages,written,4,,
1c0b2d1a-9674-52f6-947e-72042bf2a224,tg:lhhs:16088,Formats,1,sheets,total,,6,
dead368e-7569-5dd7-9c03-4e98e3b33a7a,tg:lhhs:12862,Formats,1,sheets,total,,18,
dead368e-7569-5dd7-9c03-4e98e3b33a7a,tg:lhhs:12862,Formats,1,pages,written,30,,
39f2ea07-5375-5549-994c-89d4bf09a666,tg:lhhs:20913,Formats,1,sheets,total,,21,
39f2ea07-5375-5549-994c-89d4bf09a666,tg:lhhs:20913,Formats,1,pages,written,21,,
969212bd-907b-520d-94c6-3639b2dd6475,tg:lhhs:16572,Formats,1,sheets,total,,108,
969212bd-907b-520d-94c6-3639b2dd6475,tg:lhhs:16572,Formats,1,pages,written,108,,
2f1ab8d1-1161-57ff-87e3-8820569981ae,tg:lhhs:9394,Formats,1,sheets,total,,3,
2f1ab8d1-1161-57ff-87e3-8820569981ae,tg:lhhs:9394,Formats,1,pages,written,3,,
c562ec69-ca48-58fd-a64c-3daf60f1d726,tg:lhhs:3799,Formats,1,pages,written,4,,
fa3ab061-3b7a-5dc6-8de0-a1cf3baf1510,tg:lhhs:19687,Formats,1,sheets,total,,83,
fa3ab061-3b7a-5dc6-8de0-a1cf3baf1510,tg:lhhs:19687,Formats,1,pages,written,88,,
12803fac-306d-5ac9-8260-28fc1f9104b0,tg:lhhs:6061,Formats,1,pages,written,1,,
0a2da7f0-fbae-5d80-9f47-6054c9d05cd7,tg:lhhs:18995,Formats,1,sheets,total,,6,
0a2da7f0-fbae-5d80-9f47-6054c9d05cd7,tg:lhhs:18995,Formats,1,pages,written,6,,
ba82cb9f-40ff-5848-b610-67f6d1755b7f,tg:lhhs:3633,Formats,1,sheets,total,,47,ca
ba82cb9f-40ff-5848-b610-67f6d1755b7f,tg:lhhs:3633,Formats,1,pages,written,47,,
50b7c7af-aa66-5ce6-ace4-2f2d238a99dd,tg:lhhs:2921,Formats,1,sheets,total,,1,
50b7c7af-aa66-5ce6-ace4-2f2d238a99dd,tg:lhhs:2921,Formats,1,pages,written,1,,
06dfa4d0-a59b-531a-adab-32c1e914edc5,tg:lhhs:13320,Formats,1,sheets,total,,10,
06dfa4d0-a59b-531a-adab-32c1e914edc5,tg:lhhs:13320,Formats,1,pages,written,10,,
7d6e8a03-49f9-59ac-a0a6-91ac896cc33d,tg:lhhs:16122,Formats,1,sheets,total,,1,
7d6e8a03-49f9-59ac-a0a6-91ac896cc33d,tg:lhhs:16122,Formats,1,pages,written,1,,
e0940233-709c-5800-aa2e-758d9a19d521,tg:lhhs:6431,Formats,1,pages,written,1,,
70181448-4d00-529f-af3f-b554251d4a67,tg:lhhs:2472,Formats,1,sheets,total,,2,
70181448-4d00-529f-af3f-b554251d4a67,tg:lhhs:2472,Formats,1,pages,written,2,,
a80fe809-d010-56ff-8afa-361bac00898f,tg:lhhs:12161,Formats,1,sheets,total,,11,
a80fe809-d010-56ff-8afa-361bac00898f,tg:lhhs:12161,Formats,1,pages,written,11,,
17867b78-365c-518e-a031-5827c85b1740,tg:lhhs:17699,Formats,1,sheets,total,,12,
17867b78-365c-518e-a031-5827c85b1740,tg:lhhs:17699,Formats,1,pages,written,12,,
dd464801-e67b-585a-96da-938154150c7c,tg:lhhs:20010,Formats,1,sheets,total,,13,
dd464801-e67b-585a-96da-938154150c7c,tg:lhhs:20010,Formats,1,pages,written,13,,
031b3d9b-2202-5a05-8236-e60a460a606c,tg:lhhs:17363,Formats,1,sheets,total,,1,
031b3d9b-2202-5a05-8236-e60a460a606c,tg:lhhs:17363,Formats,1,pages,written,1,,
558f79a9-9a79-50ad-b463-635c365e2a99,tg:lhhs:8585,Formats,1,sheets,total,,1,
558f79a9-9a79-50ad-b463-635c365e2a99,tg:lhhs:8585,Formats,1,pages,written,1,,
17f10e0c-b5a2-5b59-b18f-ced5a153df9a,tg:lhhs:18096,Formats,1,sheets,total,,2,
17f10e0c-b5a2-5b59-b18f-ced5a153df9a,tg:lhhs:18096,Formats,1,pages,written,4,,
82737d7e-4414-5b9e-a349-fb9a900e2147,tg:lhhs:2188,Formats,1,sheets,total,,10,
82737d7e-4414-5b9e-a349-fb9a900e2147,tg:lhhs:2188,Formats,1,pages,written,11,,
31972da3-b081-5854-ad6f-b8e52005003f,tg:lhhs:7670,Formats,1,sheets,total,,15,
31972da3-b081-5854-ad6f-b8e52005003f,tg:lhhs:7670,Formats,1,pages,written,15,,
9fd127bb-e32b-56e6-b5bb-3565efdfe4ac,tg:lhhs:6962,Formats,1,sheets,total,,29,
9fd127bb-e32b-56e6-b5bb-3565efdfe4ac,tg:lhhs:6962,Formats,1,pages,written,29,,
e666f358-a4da-5fbb-aefc-9a0b1f32d8c4,tg:lhhs:2022,Formats,1,sheets,total,,11,
e666f358-a4da-5fbb-aefc-9a0b1f32d8c4,tg:lhhs:2022,Formats,1,pages,written,11,,
9a11001c-09d5-52c7-abb2-ff872f7c293e,tg:lhhs:12531,Formats,1,sheets,total,,6,
9a11001c-09d5-52c7-abb2-ff872f7c293e,tg:lhhs:12531,Formats,1,pages,written,6,,
78366354-4f52-5143-bd83-8d4db36b2380,tg:lhhs:17733,Formats,1,sheets,total,,2,
78366354-4f52-5143-bd83-8d4db36b2380,tg:lhhs:17733,Formats,1,pages,written,4,,
5b98b356-4037-50e2-a9b4-e723a6f18c59,tg:lhhs:20440,Formats,1,sheets,total,,129,
5b98b356-4037-50e2-a9b4-e723a6f18c59,tg:lhhs:20440,Formats,1,pages,written,129,,
f5fac154-43ff-5500-9516-abecd8bd3323,tg:lhhs:7220,Formats,1,sheets,total,,1,
f5fac154-43ff-5500-9516-abecd8bd3323,tg:lhhs:7220,Formats,1,pages,written,1,,
1795a929-a06f-5657-899c-179c899c13d2,tg:lhhs:11034,Formats,1,sheets,total,,2,
1795a929-a06f-5657-899c-179c899c13d2,tg:lhhs:11034,Formats,1,pages,written,6,,
4d8571ef-ccc7-5a29-8b1a-b173fb2d0210,tg:lhhs:13009,Formats,1,sheets,total,,28,
4d8571ef-ccc7-5a29-8b1a-b173fb2d0210,tg:lhhs:13009,Formats,1,pages,written,28,,
3367dcc7-ec73-55d5-8571-a5f1ffc79973,tg:lhhs:9117,Formats,1,sheets,total,,203,
3367dcc7-ec73-55d5-8571-a5f1ffc79973,tg:lhhs:9117,Formats,1,pages,written,203,,
c792b96f-6d83-5eb2-ba9a-2915cfaa4433,tg:lhhs:1527,Formats,1,sheets,total,,10,
c792b96f-6d83-5eb2-ba9a-2915cfaa4433,tg:lhhs:1527,Formats,1,pages,written,10,,
f07cace3-2c17-58f7-8414-072e68c5da19,tg:lhhs:5837,Formats,1,sheets,total,,3,
f07cace3-2c17-58f7-8414-072e68c5da19,tg:lhhs:5837,Formats,1,pages,written,3,,
69aceeca-7736-5f10-99ce-909317e8bef3,tg:lhhs:4725,Formats,1,pages,written,1,,
7aee85e5-cc36-582c-bf73-fe48020d3699,tg:lhhs:6718,Formats,1,sheets,total,,2,
7aee85e5-cc36-582c-bf73-fe48020d3699,tg:lhhs:6718,Formats,1,pages,written,2,,
f946bef8-428b-59df-8d14-52039c2a1232,tg:lhhs:512,Formats,1,sheets,total,,3,
28f98ef2-342d-5e55-ad8d-e77d55f242b3,tg:lhhs:14236,Formats,1,sheets,total,,91,
28f98ef2-342d-5e55-ad8d-e77d55f242b3,tg:lhhs:14236,Formats,1,pages,written,91,,
fdb5f386-92bb-5601-9426-7f3738f43f84,tg:lhhs:11464,Formats,1,sheets,total,,99,
fdb5f386-92bb-5601-9426-7f3738f43f84,tg:lhhs:11464,Formats,1,pages,written,99,,
c749f86e-430b-5538-bce8-a098da3485b9,tg:lhhs:13459,Formats,1,sheets,total,,30,
c749f86e-430b-5538-bce8-a098da3485b9,tg:lhhs:13459,Formats,1,pages,written,57,,
bf84d254-e2f2-574a-8544-1fdc75c3884b,tg:lhhs:1177,Formats,1,sheets,total,,1,
bf84d254-e2f2-574a-8544-1fdc75c3884b,tg:lhhs:1177,Formats,1,pages,written,1,,
03a62185-a25f-5bb7-b581-3a93568149db,tg:lhhs:19054,Formats,1,sheets,total,,9,
03a62185-a25f-5bb7-b581-3a93568149db,tg:lhhs:19054,Formats,1,pages,written,9,,
d00992a5-f803-50ee-8346-ade3eec281f6,tg:lhhs:4375,Formats,1,sheets,total,,2,
d00992a5-f803-50ee-8346-ade3eec281f6,tg:lhhs:4375,Formats,1,pages,written,2,,
45abb935-8cd5-5b29-9c50-be932dad9151,tg:lhhs:6348,Formats,1,sheets,total,,39,
ce5849ed-717a-5f65-818a-2265baa3029e,tg:lhhs:15974,Formats,1,sheets,total,,4,
ce5849ed-717a-5f65-818a-2265baa3029e,tg:lhhs:15974,Formats,1,pages,written,4,,
41dab990-5ef2-5109-b711-81e144abb674,tg:lhhs:14666,Formats,1,sheets,total,,145,
41dab990-5ef2-5109-b711-81e144abb674,tg:lhhs:14666,Formats,1,pages,written,145,,
44f40423-1467-596a-a501-798f6a9b74d9,tg:lhhs:142,Formats,1,sheets,total,,11,
d56e76f7-a759-5686-a135-e0610ac2f15f,tg:lhhs:20293,Formats,1,sheets,total,,33,
d56e76f7-a759-5686-a135-e0610ac2f15f,tg:lhhs:20293,Formats,1,pages,written,43,,
67281f90-248f-5fb0-8a17-c09ddf5c5e77,tg:lhhs:11937,Formats,1,sheets,total,,18,
67281f90-248f-5fb0-8a17-c09ddf5c5e77,tg:lhhs:11937,Formats,1,pages,written,18,,
3707b062-6917-5540-935d-72169b040d26,tg:lhhs:9814,Formats,1,sheets,total,,29,
3707b062-6917-5540-935d-72169b040d26,tg:lhhs:9814,Formats,1,pages,written,29,,
7711674a-346a-5735-a39b-7c615007e5dc,tg:lhhs:8706,Formats,1,sheets,total,,3,
7711674a-346a-5735-a39b-7c615007e5dc,tg:lhhs:8706,Formats,1,pages,written,3,,
1eb2fb15-e8fc-5d74-8d98-909728f34f1c,tg:lhhs:12618,Formats,1,sheets,total,,47,ca
1eb2fb15-e8fc-5d74-8d98-909728f34f1c,tg:lhhs:12618,Formats,1,pages,written,47,,
45f00718-1486-5ea1-ae01-54cca6d33768,tg:lhhs:10625,Formats,1,sheets,total,,9,
45f00718-1486-5ea1-ae01-54cca6d33768,tg:lhhs:10625,Formats,1,pages,written,9,,
f2485591-10e1-5952-9a56-1096c7e442b9,tg:lhhs:18215,Formats,1,sheets,total,,6,
f2485591-10e1-5952-9a56-1096c7e442b9,tg:lhhs:18215,Formats,1,pages,written,6,,
dc05a924-d52f-5de4-be60-9040975db260,tg:lhhs:7109,Formats,1,sheets,total,,5,
dc05a924-d52f-5de4-be60-9040975db260,tg:lhhs:7109,Formats,1,pages,written,7,,
b149fabb-9e1a-5173-9d44-8de37899b670,tg:lhhs:5134,Formats,1,sheets,total,,365,ca
b149fabb-9e1a-5173-9d44-8de37899b670,tg:lhhs:5134,Formats,1,pages,written,365,,
be173c6c-4f9d-58e7-8e6b-0b8998ff45ff,tg:lhhs:15427,Formats,1,sheets,total,,7,
be173c6c-4f9d-58e7-8e6b-0b8998ff45ff,tg:lhhs:15427,Formats,1,pages,written,7,,
49701d70-1b2d-5c19-baf9-e34ae479fb3e,tg:lhhs:20769,Formats,1,sheets,total,,11,
49701d70-1b2d-5c19-baf9-e34ae479fb3e,tg:lhhs:20769,Formats,1,pages,written,21,,
0eb91fdf-a600-54ad-9b5e-078b7eebf5a0,tg:lhhs:12248,Formats,1,sheets,total,,4,
0eb91fdf-a600-54ad-9b5e-078b7eebf5a0,tg:lhhs:12248,Formats,1,pages,written,4,,
836b3fad-591b-5ebf-8b6f-8e1978a7efc7,tg:lhhs:8356,Formats,1,sheets,total,,1,
836b3fad-591b-5ebf-8b6f-8e1978a7efc7,tg:lhhs:8356,Formats,1,pages,written,1,,
66e1b636-92c1-58c7-9abd-51b032f7ac73,tg:lhhs:10275,Formats,1,sheets,total,,1,
66e1b636-92c1-58c7-9abd-51b032f7ac73,tg:lhhs:10275,Formats,1,pages,written,4,,
19f9e0e3-59a9-59a0-8fff-86819ce3d9da,tg:lhhs:1874,Formats,1,sheets,total,,2,
19f9e0e3-59a9-59a0-8fff-86819ce3d9da,tg:lhhs:1874,Formats,1,pages,written,2,,
8be18338-aaec-5ee0-9abc-602082cd2b12,tg:lhhs:3849,Formats,1,pages,written,8,,
a4e77d01-03d6-5b9d-8833-339a48c6da1e,tg:lhhs:19957,Formats,1,pages,written,1,,
372e1c19-606a-5e56-a9a3-f369162a34f7,tg:lhhs:18645,Formats,1,sheets,total,,5,
372e1c19-606a-5e56-a9a3-f369162a34f7,tg:lhhs:18645,Formats,1,pages,written,5,,
c3604d9d-5b48-534c-8456-e6a081969451,tg:lhhs:7559,Formats,1,sheets,total,,15,
c3604d9d-5b48-534c-8456-e6a081969451,tg:lhhs:7559,Formats,1,pages,written,15,,
d6d35059-02de-5dd3-af62-0f90e760fcb8,tg:lhhs:5564,Formats,1,sheets,total,,1,
3092dfe6-e54f-5932-9c72-8cf498e67fce,tg:lhhs:20339,Formats,1,sheets,total,,178,
3092dfe6-e54f-5932-9c72-8cf498e67fce,tg:lhhs:20339,Formats,1,pages,written,356,,
1c025657-7f0b-5fec-9940-046c544c84a8,tg:lhhs:841,Formats,1,sheets,total,,72,
1c025657-7f0b-5fec-9940-046c544c84a8,tg:lhhs:841,Formats,1,pages,written,68,,
1ee843d8-c91f-556f-8097-bacb954beed5,tg:lhhs:15077,Formats,1,sheets,total,,42,
91408ad7-aff8-5999-9bc9-75de75248dd2,tg:lhhs:5071,Formats,1,sheets,total,,41,
91408ad7-aff8-5999-9bc9-75de75248dd2,tg:lhhs:5071,Formats,1,pages,written,41,,
8445de16-3c88-56c0-afd5-b2b51429e33c,tg:lhhs:15562,Formats,1,sheets,total,,167,
8445de16-3c88-56c0-afd5-b2b51429e33c,tg:lhhs:15562,Formats,1,pages,written,167,,
64ee5dc4-5407-5c61-aaea-21857299de74,tg:lhhs:9951,Formats,1,sheets,total,,9,
64ee5dc4-5407-5c61-aaea-21857299de74,tg:lhhs:9951,Formats,1,pages,written,9,,
7488fdc0-3145-5793-a212-a76f700aab79,tg:lhhs:11872,Formats,1,sheets,total,,3,
7488fdc0-3145-5793-a212-a76f700aab79,tg:lhhs:11872,Formats,1,pages,written,3,,
09082faf-dc92-52c0-9777-b28c462d0da3,tg:lhhs:15098,Formats,1,sheets,total,,1,
09082faf-dc92-52c0-9777-b28c462d0da3,tg:lhhs:15098,Formats,1,pages,written,1,,
05d868bf-7f81-56b7-8665-da6ee8a219ba,tg:lhhs:10760,Formats,1,sheets,total,,1,
05d868bf-7f81-56b7-8665-da6ee8a219ba,tg:lhhs:10760,Formats,1,pages,written,1,,
a8ff524a-28ab-52f1-8081-b6eb14cd40d1,tg:lhhs:8643,Formats,1,sheets,total,,13,
a8ff524a-28ab-52f1-8081-b6eb14cd40d1,tg:lhhs:8643,Formats,1,pages,written,13,,
f648dddd-79f4-5f08-ac44-e125cdf9ce24,tg:lhhs:18350,Formats,1,sheets,total,,100,
f648dddd-79f4-5f08-ac44-e125cdf9ce24,tg:lhhs:18350,Formats,1,pages,written,153,,
541f46fd-0a90-52a5-b0d1-1d682de23619,tg:lhhs:5421,Formats,1,sheets,total,,33,
541f46fd-0a90-52a5-b0d1-1d682de23619,tg:lhhs:5421,Formats,1,pages,written,33,,
59ab5acb-90a3-53cb-836a-c42826995ded,tg:lhhs:904,Formats,1,sheets,total,,3,
8ab0f055-6198-5626-871a-fe637a56c699,tg:lhhs:15132,Formats,1,pages,written,6,,
5d39daea-6ce1-5fb5-8efd-a4152c4badd8,tg:lhhs:10330,Formats,1,sheets,total,,4,
5d39daea-6ce1-5fb5-8efd-a4152c4badd8,tg:lhhs:10330,Formats,1,pages,written,4,,
ff34bc2f-a8a1-5209-9ccf-3d5fa2cac26b,tg:lhhs:8213,Formats,1,sheets,total,,75,
ff34bc2f-a8a1-5209-9ccf-3d5fa2cac26b,tg:lhhs:8213,Formats,1,pages,written,34,,
a468f31c-be28-5d77-bc6e-182aabf1f1af,tg:lhhs:20786,Formats,1,sheets,total,,34,
a468f31c-be28-5d77-bc6e-182aabf1f1af,tg:lhhs:20786,Formats,1,pages,written,34,,
c057d191-bc12-56fa-94a5-c3d5ccd22792,tg:lhhs:19812,Formats,1,sheets,total,,69,
c057d191-bc12-56fa-94a5-c3d5ccd22792,tg:lhhs:19812,Formats,1,pages,written,138,,
ee6cedfe-b670-5edb-8ed6-bfa46158023f,tg:lhhs:1931,Formats,1,pages,written,1,,
22147066-78ad-5e87-9464-ee63049e9f40,tg:lhhs:5972,Formats,1,sheets,total,,1,
c964c0ff-d64c-5424-bc72-b94346250153,tg:lhhs:4660,Formats,1,sheets,total,,2,
05f191ea-97b2-5d96-b972-140a34cd09d3,tg:lhhs:1198,Formats,1,sheets,total,,1,
05f191ea-97b2-5d96-b972-140a34cd09d3,tg:lhhs:1198,Formats,1,pages,written,1,,
e1a6e62f-ccd2-5416-b713-51b9bf45834a,tg:lhhs:14373,Formats,1,sheets,total,,117,
e1a6e62f-ccd2-5416-b713-51b9bf45834a,tg:lhhs:14373,Formats,1,pages,written,117,,
283f3823-0360-5cb6-b315-65c3f88a352b,tg:lhhs:457,Formats,1,sheets,total,,1,
c8dcaf80-6aa6-5b87-90e9-ee0e1be86ab1,tg:lhhs:9052,Formats,1,sheets,total,,9,
c8dcaf80-6aa6-5b87-90e9-ee0e1be86ab1,tg:lhhs:9052,Formats,1,pages,written,9,,
075ecdd3-cc34-54ea-9a1d-78b9141d3857,tg:lhhs:14689,Formats,1,sheets,total,,30,
075ecdd3-cc34-54ea-9a1d-78b9141d3857,tg:lhhs:14689,Formats,1,pages,written,30,,
b41ef192-f050-52ce-a030-2644e76aa391,tg:lhhs:11171,Formats,1,sheets,total,,1,
b41ef192-f050-52ce-a030-2644e76aa391,tg:lhhs:11171,Formats,1,pages,written,2,,
3b8de5a3-cd13-59ad-8738-994f7977fb20,tg:lhhs:19541,Formats,1,sheets,total,,16,
3b8de5a3-cd13-59ad-8738-994f7977fb20,tg:lhhs:19541,Formats,1,pages,written,16,,
0388dd89-0702-5bf6-bbd1-b1c0c4639250,tg:lhhs:1462,Formats,1,pages,written,1,,
321c78fc-e8b8-5b62-b46a-6e8083302f52,tg:lhhs:4230,Formats,1,pages,written,1,,
f131bb32-fb89-5edf-beb7-1d191d0dece3,tg:lhhs:15831,Formats,1,sheets,total,,68,
f131bb32-fb89-5edf-beb7-1d191d0dece3,tg:lhhs:15831,Formats,1,pages,written,68,,
1f83935c-d07c-556f-af0b-32d399bd7e7b,tg:lhhs:14723,Formats,1,sheets,total,,250,ca
1f83935c-d07c-556f-af0b-32d399bd7e7b,tg:lhhs:14723,Formats,1,pages,written,250,,
703e63b4-f901-5f9e-b441-6a28868abcc4,tg:lhhs:9402,Formats,1,sheets,total,,5,
703e63b4-f901-5f9e-b441-6a28868abcc4,tg:lhhs:9402,Formats,1,pages,written,5,,
27b75c3b-eac3-5b4f-8d92-62f86ef2a23e,tg:lhhs:11521,Formats,1,sheets,total,,22,
27b75c3b-eac3-5b4f-8d92-62f86ef2a23e,tg:lhhs:11521,Formats,1,pages,written,11,,
aa0ebb91-3f86-51ac-ac78-17fae0793bf8,tg:lhhs:19111,Formats,1,sheets,total,,2,
aa0ebb91-3f86-51ac-ac78-17fae0793bf8,tg:lhhs:19111,Formats,1,pages,written,1,,
4c00a68b-a074-50fa-b17d-c2e69ac2660c,tg:lhhs:1032,Formats,1,sheets,total,,1,
4c00a68b-a074-50fa-b17d-c2e69ac2660c,tg:lhhs:1032,Formats,1,pages,written,2,,
b3732776-227d-5d8e-867d-8a88142f3d57,tg:lhhs:13273,Formats,1,sheets,total,,11,
b3732776-227d-5d8e-867d-8a88142f3d57,tg:lhhs:13273,Formats,1,pages,written,11,,
8fec63fb-01de-5a52-8ddd-56a80255da2a,tg:lhhs:292,Formats,1,sheets,total,,67,
8fec63fb-01de-5a52-8ddd-56a80255da2a,tg:lhhs:292,Formats,1,pages,written,67,,
5108c78e-1bbd-588f-a166-9f2e8bd8617b,tg:lhhs:2872,Formats,1,sheets,total,,9,
5108c78e-1bbd-588f-a166-9f2e8bd8617b,tg:lhhs:2872,Formats,1,pages,written,18,,
1834f915-0bb0-5f6a-b91c-987eca640e4d,tg:lhhs:6098,Formats,1,pages,written,1,,
3f9bb067-2681-5bb3-be24-a464328d13e3,tg:lhhs:3760,Formats,1,pages,written,4,,
861ae456-79e1-5dd6-8685-f53439b20410,tg:lhhs:19384,Formats,1,sheets,total,,8,
861ae456-79e1-5dd6-8685-f53439b20410,tg:lhhs:19384,Formats,1,pages,written,16,,
41e2af99-2ac2-56e6-8be5-6c64b8f5cba8,tg:lhhs:6562,Formats,1,sheets,total,,64,
41e2af99-2ac2-56e6-8be5-6c64b8f5cba8,tg:lhhs:6562,Formats,1,pages,written,64,,
3c2327f8-824c-5135-bd14-35a63396efe4,tg:lhhs:8985,Formats,1,sheets,total,,21,
