brocade.id,ResourceID,card,order,Archive Note,Warehouse Location (begin),Serial Number,Source Note,Source Note Language,Source Note Type
tg:rubdoc:4299,6e40f39b-f482-501b-bf8d-0d216f62c211,Items,1,isad:rub:3291,MYTHOLOGY.31,,,Nederlands,Noot
tg:rubdoc:4276,200ba96a-a102-578b-bb85-7c031d8e6dd3,Items,1,isad:rub:3291,AFTERPASSION.02,,,Nederlands,Noot
tg:rubdoc:4221,f0ef1f4d-0e64-528e-8710-828c3632130c,Items,1,isad:rub:3140,Doos 24,RA 010 / 279,,Nederlands,Noot
tg:rubdoc:4237,b237ab09-fc7c-5810-a445-491caa6172a9,Items,1,isad:rub:3291,EUCHARIST.14,,,Nederlands,Noot
tg:rubdoc:4325,72366092-1511-5d44-8dbb-55d97553e66b,Items,1,isad:rub:3291,LANDSCAPES.06,,,Nederlands,Noot
tg:rubdoc:4260,299e38a4-b733-5505-9f5d-6b73139cbf18,Items,1,isad:rub:3291,MADONNA.16,,,Nederlands,Noot
tg:rubdoc:4149,67c4aca2-636c-550c-a3df-5c34145134e0,Items,1,isad:rub:3144,Doos 16,RA 010 / 221,,Nederlands,Noot
tg:rubdoc:4094,19637968-6de4-5784-95bb-21933e7f1962,Items,1,isad:rub:3149,Doos 17,RA 010 / 171,,Nederlands,Noot
tg:rubdoc:4217,82491d76-5f6d-57d4-a7b6-4444c150660c,Items,1,isad:rub:3140,Doos 24,RA 010 / 275,,Nederlands,Noot
tg:rubdoc:4186,6e47c1da-c122-5eb1-9df7-773feae1c16f,Items,1,isad:rub:3140,LB 526,RA 010 / 255a,,Nederlands,Noot
tg:rubdoc:4169,384ab365-f653-59d1-961a-3cd1440d8b66,Items,1,isad:rub:3144,Doos 5,RA 010 / 239,,Nederlands,Noot
tg:rubdoc:4240,a307a2c8-2818-5e50-8dde-8dbdefe6b3eb,Items,1,isad:rub:3291,OLDTESTAMENT.03,,,Nederlands,Noot
tg:rubdoc:4305,c215e56f-1363-5651-99d2-d6b8b5f1cbd2,Items,1,isad:rub:3291,GENRE.05,,,Nederlands,Noot
tg:rubdoc:3993,953a8eea-5019-5034-b63e-724e743693de,Items,1,isad:rub:3143,Doos 1,RA 010 / 078,,Nederlands,Noot
tg:rubdoc:4190,5f339fec-5a25-5baf-9cb2-67f435230033,Items,1,isad:rub:3140,"V17, anoniem, geestelijken",RA 010 / 259,,Nederlands,Noot
tg:rubdoc:4256,3d40fafa-964b-59a8-b6eb-017cfeec7c5c,Items,1,isad:rub:3291,MADONNA.08,,,Nederlands,Noot
tg:rubdoc:3985,2ad5779e-07b8-5e4a-821d-6e867cf4f714,Items,1,isad:rub:3143,Doos 7,RA 010 / 073,Corresponding LB-number: LB 365/1-2.,Nederlands,Noot
tg:rubdoc:3985,2ad5779e-07b8-5e4a-821d-6e867cf4f714,Items,2,isad:rub:3143,LB 215/6,RA 010 / 073,Loose documentation taken out from the original folder.,Nederlands,Noot
tg:rubdoc:4313,18f8e70d-7e95-554d-ba21-92473c7b0bfb,Items,1,isad:rub:3291,PORTRAITS.02,,,Nederlands,Noot
tg:rubdoc:4082,f33be6a3-d737-5c60-bf82-b247af540a63,Items,1,isad:rub:3148,Doos 22,RA 010 / 161,,Nederlands,Noot
tg:rubdoc:4128,ba23a0c1-d986-5eae-80e0-38b44d2f32a6,Items,1,isad:rub:3144,Doos 2,RA 010 / 202,,Nederlands,Noot
tg:rubdoc:4201,716ef800-8080-57f1-8689-167b2dde10c5,Items,1,isad:rub:3142,LB 1133 / PO_025,RA 010 / 030,,Nederlands,Noot
tg:rubdoc:4153,ca8d6898-0559-5456-9055-c1709d600648,Items,1,isad:rub:3144,Doos 16,RA 010 / 225,,Nederlands,Noot
tg:rubdoc:4016,4f3a1079-0ac0-5293-9852-f05c82c97937,Items,1,isad:rub:3146,Doos 6,RA 010 / 101,Corresponding LB-number: LB 11.,Nederlands,Noot
tg:rubdoc:4016,4f3a1079-0ac0-5293-9852-f05c82c97937,Items,2,isad:rub:3146,LB 11a / JC_035,RA 010 / 101,Loose documentation taken out from the original folder.,Nederlands,Noot
tg:rubdoc:4295,8ca75ac4-3573-5fcc-a9e8-dbc14e24d35f,Items,1,isad:rub:3291,MYTHOLOGY.06,,,Nederlands,Noot
tg:rubdoc:3946,a51cb679-0b33-5b53-af5b-1e9af300c4d7,Items,1,isad:rub:3142,Doos 9,RA 010 / 039,"The LB number written on the envelope is LB 570, however  the right one is LB 568.",Nederlands,Noot
tg:rubdoc:4104,90fda97a-c5ad-5f89-8a37-819262c576b5,Items,1,isad:rub:3149,Doos 19,RA 010 / 181,,Nederlands,Noot
tg:rubdoc:4041,59fc1f2b-2d42-5e9e-848e-0da11cdef3fc,Items,1,isad:rub:3146,Doos 8,RA 010 / 125,"Corresponding LB-numbers: LB 509/2, LB 508 and LB 143/3.",Nederlands,Noot
tg:rubdoc:3911,855cdc6e-3168-5a22-ac9b-a9ac51eaf828,Items,1,isad:rub:3141,Doos 15,RA 010 / 009,,Nederlands,Noot
tg:rubdoc:4112,bd251423-4822-544c-8947-cf1eb272bf79,Items,1,isad:rub:3144,Doos 1,RA 010 / 188,,Nederlands,Noot
tg:rubdoc:4057,60915259-568d-5ebb-aec5-9e530a390863,Items,1,isad:rub:3147,Doos 7,RA 010 / 138,Corresponding LB-numbers: LB 202/1-2.,Nederlands,Noot
tg:rubdoc:3907,1777aeb8-e140-5c74-aab2-91df01b3e873,Items,1,isad:rub:3141,Doos 10,RA 010 / 005,Corresponding LB-number: LB 781.,Nederlands,Noot
tg:rubdoc:4145,75f31af0-b182-5e4e-ade0-54ae5d78a454,Items,1,isad:rub:3144,Doos 16,RA 010 / 217,,Nederlands,Noot
tg:rubdoc:4000,92d37fff-374f-5d41-96ca-cb934a0484a3,Items,1,isad:rub:3145,Doos 9,RA 010 / 085,Corresponding LB-numbers: LB 642/5 and LB 643/3-4.,Nederlands,Noot
tg:rubdoc:4283,1bc49c37-7afd-5e80-a5de-d7fe1eef52af,Items,1,isad:rub:3291,SAINTS.03,,,Nederlands,Noot
tg:rubdoc:4329,0a42d3d4-1adb-5580-af78-935351735045,Items,1,isad:rub:3288,,RA 006 / 015,,Nederlands,Noot
tg:rubdoc:3950,3a51771e-c8dc-52aa-9b0e-00b7deab0891,Items,1,isad:rub:3142,Doos 9,RA 010 / 042,Corresponding LB-numbers: LB 675 and LB 676.,Nederlands,Noot
tg:rubdoc:4097,698ff782-53cb-5926-8931-709846ff4bc3,Items,1,isad:rub:3149,Doos 18,RA 010 / 174,,Nederlands,Noot
tg:rubdoc:3928,f15e9b8a-1645-578f-9806-04f4c347a1e1,Items,1,isad:rub:3141,Doos 11,RA 010 / 025,Corresponding LB-number: LB 790.,Nederlands,Noot
tg:rubdoc:4214,ff4f932f-4d92-5ec9-99b3-a3723e7f6307,Items,1,isad:rub:3140,Doos 24,RA 010 / 272,,Nederlands,Noot
tg:rubdoc:4185,49b625df-888e-51d8-b8c5-8930bd56efa9,Items,1,isad:rub:3140,Doos 23,RA 010 / 254,,Nederlands,Noot
tg:rubdoc:4306,c38ebe61-1c05-5bca-a021-c89dfba837b4,Items,1,isad:rub:3291,HISTORY.13,,,Nederlands,Noot
tg:rubdoc:4243,7e1b25fc-1b36-5942-8b69-baf28773589f,Items,1,isad:rub:3291,OLDTESTAMENT.13,,,Nederlands,Noot
tg:rubdoc:4039,08f37459-c1a6-5d30-889b-71c27eb5ef03,Items,1,isad:rub:3146,Doos 8,RA 010 / 123,Corresponding LB-numbers: LB 505.,Nederlands,Noot
tg:rubdoc:4193,985159ce-d7fa-5cce-88a4-90f246228326,Items,1,isad:rub:3140,Doos 24,RA 010 / 261a,,Nederlands,Noot
tg:rubdoc:4310,099fcf97-8306-5000-9ab5-bd310f3cab05,Items,1,isad:rub:3291,MEDICI.02,,,Nederlands,Noot
tg:rubdoc:3969,b5b4092b-9eac-5dfb-b3ae-60d8539a47e6,Items,1,isad:rub:3143,Doos 1,RA 010 / 060,,Nederlands,Noot
tg:rubdoc:4255,6a23ac03-bb20-5b3c-ac96-aca7f66bb7f5,Items,1,isad:rub:3291,YOUTH.22,,,Nederlands,Noot
tg:rubdoc:4081,4bdeef12-745e-51ab-ac0f-7190aab45d2f,Items,1,isad:rub:3148,Doos 23,RA 010 / 160,,Nederlands,Noot
tg:rubdoc:4202,3f6e627a-55c5-554e-8d39-9de5a9699e56,Items,1,isad:rub:3140,N16 / Jan Wellens de Cock / folder III Heiligen,RA 010 / 269,https://anet.be/record/rub/opacrub/c:lvd:13227237/N,Nederlands,Noot
tg:rubdoc:4015,85392e6f-1f39-5166-a205-394171c243c9,Items,1,isad:rub:3146,Doos 6,RA 010 / 100,Corresponding LB-numbers: LB 67-134.,Nederlands,Noot
tg:rubdoc:4150,8d129a30-8eca-57d2-bd7f-fbcd8e6efb91,Items,1,isad:rub:3144,Doos 16,RA 010 / 222,,Nederlands,Noot
tg:rubdoc:4279,4df846b5-99b0-530d-95ad-0987453b2dc3,Items,1,isad:rub:3291,AFTERPASSION.11,,,Nederlands,Noot
tg:rubdoc:4296,d0566ddd-1119-5086-a0fd-95b77d267cfc,Items,1,isad:rub:3291,MYTHOLOGY.07,,,Nederlands,Noot
tg:rubdoc:4042,6f1c93d1-27d3-5d03-9161-18f540325231,Items,1,isad:rub:3146,Doos 8,RA 010 / 126,Corresponding LB-number: LB 397.,Nederlands,Noot
tg:rubdoc:4107,15c87b42-65f3-57f1-9bf7-a870ba99ba0c,Items,1,isad:rub:3149,Doos 20,RA 010 / 184,,Nederlands,Noot
tg:rubdoc:3912,71e04e77-dae1-515b-9b7e-4e4599222af1,Items,1,isad:rub:3141,Doos 12,RA 010 / 010,Corresponding LB-number: LB 969/1,Nederlands,Noot
tg:rubdoc:4111,12040300-e285-504a-9f49-10031cd7863e,Items,1,isad:rub:3149,Doos 25,RA 010 / 187,,Nederlands,Noot
tg:rubdoc:4238,d15c8209-774c-5d57-ab00-597e1868d4c3,Items,1,isad:rub:3291,EUCHARIST.15,,,Nederlands,Noot
tg:rubdoc:3904,ab72a4f6-c0de-54da-ba5c-f202af42c099,Items,1,isad:rub:3141,Doos 15,RA 010 / 002,,Nederlands,Noot
tg:rubdoc:4003,09bc8927-3344-5b95-a0e3-b4d5d7e31197,Items,1,isad:rub:3145,Doos 9,RA 010 / 088,Corresponding LB-numbers: LB 588 and LB 714/3.,Nederlands,Noot
tg:rubdoc:4146,e50fb9e1-8510-572b-9121-b4ee358b503d,Items,1,isad:rub:3144,Doos 16,RA 010 / 218,,Nederlands,Noot
tg:rubdoc:3953,06367a16-e251-5907-9401-4e38149765a2,Items,1,isad:rub:3142,Doos 11,RA 010 / 045,"Corresponding LB-numbers: LB 683/2, LB 778 and LB 786.",Nederlands,Noot
tg:rubdoc:4280,28a44f43-0516-54d2-bb38-7ee5621a40dd,Items,1,isad:rub:3291,AFTERPASSION.14,,,Nederlands,Noot
tg:rubdoc:4218,0af52e5c-83e3-5289-b4c5-8c5c9a753f2f,Items,1,isad:rub:3140,Doos 24,RA 010 / 276,,Nederlands,Noot
tg:rubdoc:3924,73cd3a96-3d2b-5171-9d1f-e230a2288f10,Items,1,isad:rub:3141,Doos 9,RA 010 / 022,"Corresponding LB-numbers: LB 610, LB 611, LB 925 and LB 934.",Nederlands,Noot
tg:rubdoc:4131,ad2cf02e-44e1-5a12-9a6c-745d34f3ed55,Items,1,isad:rub:3144,Doos 3,RA 010 / 204,,Nederlands,Noot
tg:rubdoc:4074,d62d0d37-95d6-5ef6-a6fa-8d4d144b366f,Items,1,isad:rub:3147,Doos 8,RA 010 / 154,Corresponding LB-number: LB 419.,Nederlands,Noot
tg:rubdoc:4166,a6de8477-574b-51d7-b036-69e26bd8e35a,Items,1,isad:rub:3144,Doos 5,RA 010 / 236,,Nederlands,Noot
tg:rubdoc:4023,42829dc9-fcfb-5ebe-a54d-321b0067d6c4,Items,1,isad:rub:3146,Doos 6,RA 010 / 107,Corresponding LB-number: LB 73/2.,Nederlands,Noot
tg:rubdoc:4189,0ac6a23a-0d98-5889-9674-d875032e239b,Items,1,isad:rub:3140,LB 1094/1,RA 010 / 258,,Nederlands,Noot
tg:rubdoc:4259,63779a1b-da63-5631-838c-c1a32cd17b94,Items,1,isad:rub:3291,MADONNA.15,,,Nederlands,Noot
tg:rubdoc:3965,f9d2423a-2abc-521f-ad9b-0b6781846fc9,Items,1,isad:rub:3143,Doos 21,RA 010 / 056,,Nederlands,Noot
tg:rubdoc:4170,c88ff175-a145-57c7-8d43-67a1c351675f,Items,1,isad:rub:3144,Doos 15,RA 010 / 240,,Nederlands,Noot
tg:rubdoc:4170,c88ff175-a145-57c7-8d43-67a1c351675f,Items,2,,LB 252/2,RA 010 / 240,Loose documentation taken out from the original folder,Nederlands,Noot
tg:rubdoc:4035,e98c946e-b7f3-51a5-8d2c-7ef818d86b89,Items,1,isad:rub:3146,Doos 8,RA 010 / 119,Corresponding LB-number: LB 485/1.,Nederlands,Noot
tg:rubdoc:3932,7afb0910-22d0-52a7-8d62-072c61b42bf7,Items,1,isad:rub:3142,cc_038,RA 010 / 027,,Nederlands,Noot
tg:rubdoc:4127,a6616ea3-3f43-5942-8680-ee8e7f8024e4,Items,1,isad:rub:3144,Doos 13,RA 010 / 201,,Nederlands,Noot
tg:rubdoc:4062,b33a3b92-74c6-5a2a-b9da-f9f393da32f3,Items,1,isad:rub:3147,Doos 7,RA 010 / 143,"Corresponding LB-numbers: LB 319, LB 321 and LB 323.",Nederlands,Noot
tg:rubdoc:4275,616a414b-ad6a-5ac5-b454-cb93f1f04d40,Items,1,isad:rub:3291,AFTERPASSION.02,,,Nederlands,Noot
tg:rubdoc:4330,35771c5a-8040-5084-a29f-deef334ee33e,Items,1,isad:rub:3288,,RA 006 / 016,,Nederlands,Noot
tg:rubdoc:4019,14df4d98-3cf3-53d7-9b34-56dc15297170,Items,1,isad:rub:3146,Doos 6,RA 010 / 103,Corresponding LB-numbers: LB 90/9 and LB 91/12.,Nederlands,Noot
tg:rubdoc:4222,6205afbc-2f62-567d-adf2-794d76ccae65,Items,1,isad:rub:3140,Doos 24,RA 010 / 280,,Nederlands,Noot
tg:rubdoc:3908,8472370e-48da-5349-b3c1-85c25c474d4d,Items,1,isad:rub:3141,Doos 13,RA 010 / 006,Corresponding LB-number: LB 922,Nederlands,Noot
tg:rubdoc:4234,e65f865f-587d-53f2-addb-f83fa0a9ed03,Items,1,isad:rub:3292,,RA 006 / 007,,Nederlands,Noot
tg:rubdoc:4058,8c8e83a5-9916-5e23-a55b-08e97f979cd7,Items,1,isad:rub:3147,Doos 7,RA 010 / 139,Corresponding LB-numbers: LB 199 and LB 200.,Nederlands,Noot
tg:rubdoc:4263,4c94cf4f-1686-5cc7-9611-3c634b184a24,Items,1,isad:rub:3291,MADONNA.26,,,Nederlands,Noot
tg:rubdoc:4326,da053d8e-b07e-5660-b605-dde3a9ce6209,Items,1,isad:rub:3291,LANDSCAPES.11,,,Nederlands,Noot
tg:rubdoc:4262,ab19efae-57d2-5245-9c83-c6a0af9d167b,Items,1,isad:rub:3291,MADONNA.25,,,Nederlands,Noot
tg:rubdoc:4327,07ac3463-ee17-5f52-966d-943923ee7bb7,Items,1,isad:rub:3291,ITALIAN.12,,,Nederlands,Noot
tg:rubdoc:4059,e5ff0a66-0d5b-5292-9785-6a3cc9e37686,Items,1,isad:rub:3147,Doos 7,RA 010 / 140,Corresponding LB-numbers: LB 306 and LB 313.,Nederlands,Noot
tg:rubdoc:3909,60165faf-1d2c-546f-81ea-81b0854e8ac7,Items,1,isad:rub:3141,Doos 15,RA 010 / 007,,Nederlands,Noot
tg:rubdoc:4235,bbd86a70-370b-5266-842f-1b6c14e7c06a,Items,1,isad:rub:3292,,RA 006 / 008,,Nederlands,Noot
tg:rubdoc:4223,5ba3677e-89dd-5dd1-b922-b2a286cc0ae7,Items,1,isad:rub:3140,Doos 24,RA 010 / 281,,Nederlands,Noot
tg:rubdoc:3948,5f337e56-cfd7-5513-b9e8-d9a86c0954ac,Items,1,isad:rub:3142,Doos 9,RA 010 / 041,Corresponding LB-number: LB 648/4 and LB 669.,Nederlands,Noot
tg:rubdoc:4274,46c5a7d2-ac5b-5fd4-887d-b9a0dc8fc81f,Items,1,isad:rub:3291,PASSION.33,,,Nederlands,Noot
tg:rubdoc:4126,71d9db80-4010-5133-b41c-f8f2ee70bb2b,Items,1,isad:rub:3144,Doos 13,RA 010 / 200,,Nederlands,Noot
tg:rubdoc:4063,c0c924cf-bd97-5379-8d69-78c592ae7ba4,Items,1,isad:rub:3147,Doos 7,RA 010 / 144,Corresponding LB-number: LB 325.,Nederlands,Noot
tg:rubdoc:3933,a13e9ecf-9695-5b14-b99b-8c17e15a5f6b,Items,1,isad:rub:3142,Doos 15,RA 010 / 028,,Nederlands,Noot
tg:rubdoc:4034,a03a69a8-c4f3-59fc-a997-1f6e5a115bdc,Items,1,isad:rub:3146,Doos 8,RA 010 / 118,Corresponding LB-numbers: LB 471-482.,Nederlands,Noot
tg:rubdoc:4258,98617fe1-bca6-533e-bd80-857168a1288b,Items,1,isad:rub:3291,MADONNA.08,,,Nederlands,Noot
tg:rubdoc:3964,6803e34b-2e46-53df-a30f-c9644cece4b0,Items,1,isad:rub:3143,Doos 22,RA 010 / 055,,Nederlands,Noot
tg:rubdoc:4167,3294322a-e538-5478-8f67-dd0d425692e1,Items,1,isad:rub:3144,Doos 5,RA 010 / 237,,Nederlands,Noot
tg:rubdoc:4022,3cd8362b-e732-56d9-b220-730fda5778a5,Items,1,isad:rub:3146,Doos 6,RA 010 / 106,Corresponding LB-number: LB 114/4.,Nederlands,Noot
tg:rubdoc:4188,46e7a4b8-980a-520b-a36e-a7947827dc08,Items,1,isad:rub:3140,LB 1873,RA 010 / 257a,,Nederlands,Noot
tg:rubdoc:3972,712315fa-957f-5957-bba9-872100041f32,Items,1,isad:rub:3143,Doos 13,RA 010 / 062,Corresponding LB-numbers: LB 1270-1280.,Nederlands,Noot
tg:rubdoc:3972,712315fa-957f-5957-bba9-872100041f32,Items,2,isad:rub:3143,LB 1132 / PO_023,RA 010 / 062,Loose documentation taken out from the original folder,Nederlands,Noot
tg:rubdoc:3972,712315fa-957f-5957-bba9-872100041f32,Items,3,isad:rub:3143,LB 1133 / PO_025,RA 010 / 062,Loose documentation taken out from the original folder,Nederlands,Noot
tg:rubdoc:4130,acbcbc47-cb02-5d39-b8b3-47527f6a435c,Items,1,isad:rub:3144,Doos 2,RA 010 / 203,,Nederlands,Noot
tg:rubdoc:4075,62bc0c16-a0eb-566b-a153-8d4f613c9de7,Items,1,isad:rub:3148,Doos 20,RA 010 / 155,,Nederlands,Noot
tg:rubdoc:4219,dd2868d5-af0b-5e92-b4dd-2e0058b607bb,Items,1,isad:rub:3140,Doos 24,RA 010 / 277,,Nederlands,Noot
tg:rubdoc:3952,9e368120-ccd4-55bb-a021-e6f20bee26dd,Items,1,isad:rub:3142,Doos 9,RA 010 / 044,Corresponding LB-number: LB 602.,Nederlands,Noot
tg:rubdoc:4281,90e00f30-1f30-5bd6-bec8-a4a5702c7165,Items,1,isad:rub:3291,AFTERPASSION.14,,,Nederlands,Noot
tg:rubdoc:4002,a5cac623-283e-501d-95ba-2815f74d779e,Items,1,isad:rub:3145,Doos 11,RA 010 / 087,Corresponding LB-numbers: LB 727-730.,Nederlands,Noot
tg:rubdoc:4147,14451c05-cbdc-555a-89ed-dab63531fad7,Items,1,isad:rub:3144,Doos 16,RA 010 / 219,,Nederlands,Noot
tg:rubdoc:4239,4db75db4-19e1-5e98-8721-c22d2d56d5d0,Items,1,isad:rub:3291,EUCHARIST.18,,,Nederlands,Noot
tg:rubdoc:3905,ff31f7df-6277-50fa-a57b-3626a0d2ae11,Items,1,isad:rub:3141,Doos 11,RA 010 / 003,"Corresponding LB-numbers: LB 800, LB 804 and LB 805.",Nederlands,Noot
tg:rubdoc:4055,4eadebe5-8449-50cb-91cb-2d9a9b104ae4,Items,1,isad:rub:3147,Doos 8,RA 010 / 136,"Corresponding LB-numbers: LB 405, LB 408 and LB 411.",Nederlands,Noot
tg:rubdoc:4110,d5ce5b72-d58b-515a-a5de-c4af84c078c8,Items,1,isad:rub:3149,Doos 25,RA 010 / 186,,Nederlands,Noot
tg:rubdoc:3913,8c27c330-8614-540c-93ce-1f9a3abcb272,Items,1,isad:rub:3141,Doos 12,RA 010 / 011,Corresponding LB-number: LB 954.,Nederlands,Noot
tg:rubdoc:4043,d45dabd3-d434-54bd-bddc-db2b1b891133,Items,1,isad:rub:3146,Doos 9,RA 010 / 127,Corresponding LB-numbers: LB 515 and LB 516.,Nederlands,Noot
tg:rubdoc:4106,5af61893-3f60-5ddb-a88c-1b1aa7c7100a,Items,1,isad:rub:3149,Doos 19,RA 010 / 183,,Nederlands,Noot
tg:rubdoc:4278,367c73ef-412d-5056-874a-eb855702e473,Items,1,isad:rub:3291,AFTERPASSION.11,,,Nederlands,Noot
tg:rubdoc:3944,b3362b86-61d9-5b73-a9ae-57098a7c1286,Items,1,isad:rub:3142,Doos 9,RA 010 / 038,Corresponding LB-number: LB 656.,Nederlands,Noot
tg:rubdoc:4297,b85deab6-6021-59e9-a860-4fb411504267,Items,1,isad:rub:3291,MYTHOLOGY.14,,,Nederlands,Noot
tg:rubdoc:4014,8b008294-a9fe-57c8-9da3-367d36196d79,Items,1,isad:rub:3146,Door 14,RA 010 / 099,Corresponding LB-numbers: LB 1629-1713.,Nederlands,Noot
tg:rubdoc:4151,3f735a8c-5b16-5dbc-8d62-2ebf9aaf5308,Items,1,isad:rub:3144,Doos 16,RA 010 / 223,,Nederlands,Noot
tg:rubdoc:4203,a5f7c07b-8389-5493-9ce2-327bc84120c2,Items,1,isad:rub:3150,Doos 24,RA 010 / 000,,Nederlands,Noot
tg:rubdoc:4080,a603d4e3-99a9-5cef-9525-957c258b2ccc,Items,1,isad:rub:3148,Doos 23,RA 010 / 159,,Nederlands,Noot
tg:rubdoc:4311,fe899533-27cb-5aca-8248-0bf88f0c3a70,Items,1,isad:rub:3291,BANQUETING.02,,,Nederlands,Noot
tg:rubdoc:3968,a5c906f4-64b7-52ee-a345-84c0ac38373c,Items,1,isad:rub:3143,Doos 1,RA 010 / 059,,Nederlands,Noot
tg:rubdoc:4254,da4d8aae-0ebf-5bdb-a27a-e53bff3dea13,Items,1,isad:rub:3291,YOUTH.19,,,Nederlands,Noot
tg:rubdoc:4038,fd2d1cc5-7fd8-5084-baea-06603a240813,Items,1,isad:rub:3146,Doos 8,RA 010 / 122,Corresponding LB-numbers: LB 491 and LB 33.,Nederlands,Noot
tg:rubdoc:4038,fd2d1cc5-7fd8-5084-baea-06603a240813,Items,2,isad:rub:3146,LB 33a / LC_083,RA 010 / 122,Loose documentation taken out from the original folder.,Nederlands,Noot
tg:rubdoc:3991,3209c6d0-0711-5ee1-b069-4c2810b817a8,Items,1,isad:rub:3143,Doos 1,RA 010 / 076,,Nederlands,Noot
tg:rubdoc:3991,3209c6d0-0711-5ee1-b069-4c2810b817a8,Items,2,isad:rub:3143,LB 800/2 / AL_086,RA 010 / 076,Loose documentation taken out from the original folder.,Nederlands,Noot
tg:rubdoc:3991,3209c6d0-0711-5ee1-b069-4c2810b817a8,Items,3,isad:rub:3143,LB 2143 / IM_092,RA 010 / 076,Loose documentation taken out from the original folder.,Nederlands,Noot
tg:rubdoc:4307,6a765b1e-a2ca-5046-b899-27d9855c1ff0,Items,1,isad:rub:3291,HISTORY.15,,,Nederlands,Noot
tg:rubdoc:4242,04c5dc7c-a632-5cda-97f4-0574cf735963,Items,1,isad:rub:3291,OLDTESTAMENT.12,,,Nederlands,Noot
tg:rubdoc:4184,56384206-04f8-5aeb-9ca3-267208956d2a,Items,1,isad:rub:3140,Doos 23,RA 010 / 253,,Nederlands,Noot
tg:rubdoc:3929,ef8d3365-2685-5d42-b6f2-ab9fb7ec0f9c,Items,1,isad:rub:3142,Doos 15,RA 010 / 026,,Nederlands,Noot
tg:rubdoc:4215,c61c3c4e-709b-5a8b-9f5c-761665fb0acf,Items,1,isad:rub:3140,Doos 24,RA 010 / 273,,Nederlands,Noot
tg:rubdoc:4096,7afbe359-d456-5d35-beba-c95c98ba025f,Items,1,isad:rub:3149,Doos 18,RA 010 / 173,,Nederlands,Noot
tg:rubdoc:4079,ce00fdf0-9b9f-5377-b2da-8e2c99e2d776,Items,1,isad:rub:3148,Doos 25,RA 010 / 158,,Nederlands,Noot
tg:rubdoc:3922,56e51748-ecfd-58a0-b5a0-aef1e6612308,Items,1,isad:rub:3141,Doos 11,RA 010 / 020,Corresponding LB-number: LB 789.,Nederlands,Noot
tg:rubdoc:4137,1737aa88-8365-570b-8c4d-bb36647bb235,Items,1,isad:rub:3144,Doos 13,RA 010 / 210,,Nederlands,Noot
tg:rubdoc:4072,0757061c-c2e7-5066-8598-380fb64b71bc,Items,1,isad:rub:3147,Doos 8,RA 010 / 152,Corresponding LB-number: LB 384.,Nederlands,Noot
tg:rubdoc:4249,a889f989-9bf8-5dcc-a5c6-248889cae357,Items,1,isad:rub:3291,OLDTESTAMENT.28,,,Nederlands,Noot
tg:rubdoc:3975,26349ed5-5cf7-53fa-8595-dbdd9dcfede5,Items,1,isad:rub:3143,Doos 10,RA 010 / 064,Corresponding LB-number: LB 654.,Nederlands,Noot
tg:rubdoc:4160,e471d12f-2841-5563-a810-825332830ab5,Items,1,isad:rub:3144,Doos 5,RA 010 / 232,,Nederlands,Noot
tg:rubdoc:4025,913f831d-a0a2-5c7a-a8b7-eecb9472d0d1,Items,1,isad:rub:3146,Doos 6,RA 010 / 109,Corresponding LB-numbers: LB 97/1-3.,Nederlands,Noot
tg:rubdoc:3963,cfe6dcc0-c634-57c9-b00c-80a4baa6aa85,Items,1,isad:rub:3143,Doos 22,RA 010 / 054,,Nederlands,Noot
tg:rubdoc:4176,13fc77f3-f508-52fb-a32b-b86274d77bb8,Items,1,isad:rub:3140,Doos 24,RA 010 / 245,,Nederlands,Noot
tg:rubdoc:4199,16d489b6-8650-5074-a156-578a34398ad6,Items,1,isad:rub:3140,LB 1775 / CC_032,RA 010 / 267,,Nederlands,Noot
tg:rubdoc:4033,8dcd05b8-91bb-5d18-9e06-c82bca4b25a6,Items,1,isad:rub:3146,Doos 9,RA 010 / 117,Corresponding LB-number: LB 523.,Nederlands,Noot
tg:rubdoc:4208,640b6636-b187-5650-8a3e-419ca11ca6ff,Items,1,isad:rub:3140,LB 993/1,RA 010 / 257b,,Nederlands,Noot
tg:rubdoc:3934,a3cd2cf3-9480-5cf0-94af-0f866a497486,Items,1,isad:rub:3142,Doos 14,RA 010 / 029,,Nederlands,Noot
tg:rubdoc:4121,cf5bad4a-831a-5e28-8c5f-13ba4acd99c6,Items,1,isad:rub:3144,Doos 2,RA 010 / 196,,Nederlands,Noot
tg:rubdoc:4064,df3f4c81-21cc-5f86-a8ae-228fcf379644,Items,1,isad:rub:3147,Doos 7,RA 010 / 145,"Corresponding LB-numbers: LB 326/5, LB 334/28 and LB 335/7.",Nederlands,Noot
tg:rubdoc:4273,2ab7f94a-59e8-5605-a83b-84a99aabef77,Items,1,isad:rub:3291,PASSION.24,,,Nederlands,Noot
tg:rubdoc:3918,509a7c56-8c90-564a-ad2b-cf7bac48ea5e,Items,1,isad:rub:3141,Doos 12,RA 010 / 016,Corresponding LB-number: 956.,Nederlands,Noot
tg:rubdoc:4224,e5578cdc-641b-5528-a684-90b9151a52ec,Items,1,isad:rub:3140,Doos 24,RA 010 / 282,,Nederlands,Noot
tg:rubdoc:4048,12c06ea8-17d0-5c97-bc11-e5cf34c221c5,Items,1,isad:rub:3147,Missing (April 2019),RA 010 / 132,,Nederlands,Noot
