brocade.id,ResourceID,card,order,Acquisition Note,Registration Number value,Archive Note,Location Number,Serial Number,adm.note,adm.note.language,adm.note.type
tg:lhbr:107274,e1ad3cfe-9023-59e8-8dc5-65b589c5d8de,Items,1,tr:lh:5863,125280/2,isad:lh:45582,N 169 / B,,,Nederlands,remarks
tg:lhbr:290148,fb76e2dc-9dbb-5226-8dbb-1904b637e5dc,Items,1,,,isad:lh:169927,,R 5419 / 216,,Nederlands,remarks
tg:lhbr:88528,12a38e63-18ea-53ad-99e8-9114ce143735,Items,1,tr:lh:6182,144295/30,isad:lh:37974,S 7913 / B2,,,Nederlands,remarks
tg:lhbr:165848,38fd399f-2d18-5c20-bfdd-b2dc950b3be5,Items,1,tr:lh:5863,124440/91,isad:lh:67660,H 4215 / B,,,Nederlands,remarks
tg:lhbr:192120,8ad4884c-598c-54b7-9d43-4ae5fa2eddae,Items,1,,163824/45,isad:lh:74250,G 395 / B2,,,Nederlands,remarks
tg:lhbr:159024,4480fb13-a4cc-5ebb-a091-c708f5f344e8,Items,1,tr:lh:2939,59370/378,isad:lh:65265,W 383 / B,,,Nederlands,remarks
tg:lhbr:18184,ed4ad4e9-91d1-50f0-a744-a91ae5908c8e,Items,1,tr:lh:3472,68281/25,isad:lh:9480,L 5347 / B2,,,Nederlands,remarks
tg:lhbr:124514,d11db150-4203-5160-88d2-a03c53a11910,Items,1,tr:lh:5863,125394/2,isad:lh:52713,R 702 / B,,,Nederlands,remarks
tg:lhbr:267820,f457b123-ecef-5807-87de-2bb9dad64baa,Items,1,tr:lh:7571,198338/400,isad:lh:112965,R 8963 / 50,,,Nederlands,remarks
tg:lhbr:172374,a504d561-f594-5c8c-816e-1ab7592f4fa4,Items,1,tr:lh:7353,195570/10,isad:lh:69831,C 205 / B1,,,Nederlands,remarks
tg:lhbr:256384,79e68763-60df-5773-9e43-a65208e80821,Items,1,tr:lh:9770,,isad:lh:146466,,J 416 / 60,,Nederlands,remarks
tg:lhbr:110948,85291ffc-f87c-55ce-a487-cfc9389ca6b5,Items,1,tr:lh:4736,90595/4,isad:lh:47183,O 345 / B,,,Nederlands,remarks
tg:lhbr:7762,724e5780-8567-5044-b6ad-5eddbce39055,Items,1,tr:lh:4743,91531/7,isad:lh:4894,B 6671 / B,,,Nederlands,remarks
tg:lhbr:80118,19335a70-2c0c-5941-a029-c46ab8f88ef0,Items,1,tr:lh:5810,121776/2,isad:lh:35103,J 416 / I,,,Nederlands,remarks
tg:lhbr:112975,6e1d7b98-ffdc-5c52-b21d-ef3d4d247746,Items,1,tr:lh:5115,101140/1,isad:lh:47945,P 2464 / B,,,Nederlands,remarks
tg:lhbr:251441,61373ccf-43fd-56a8-8292-e4f551919c0b,Items,1,tr:lh:126473,,isad:lh:130191,,D 9653 / 23 (240),,Nederlands,remarks
tg:lhbr:207221,3d5276c0-2d1d-57d6-9a21-30c516a472ab,Items,1,tr:lh:6413,151292/9a-b,isad:lh:76266,W 256 / B2 ((periode L. Simons 1969-1984) 5),,,Nederlands,remarks
tg:lhbr:62371,860613e6-ec51-5d32-8359-1c45efb912da,Items,1,,,isad:lh:28082,G 563 / B,,,Nederlands,remarks
tg:lhbr:236985,f3c7e152-e1e3-5264-9a88-b0690050f89a,Items,1,tr:lh:9839,218056/2,isad:lh:84884,D 11413 / B3,,,Nederlands,remarks
tg:lhbr:34511,2f98946c-7940-5541-8510-e1ca3062fd79,Items,1,tr:lh:1801,31999/a-c,isad:lh:16440,C 34 / B,,,Nederlands,remarks
tg:lhbr:82125,9866fc0f-305d-5011-85fe-7228d63aa02c,Items,1,tr:lh:2702,53355/1,isad:lh:35834,K 3235 / B,,,Nederlands,remarks
tg:lhbr:108181,188df788-8eca-5f49-9089-5b57442c48b0,Items,1,tr:lh:7314,,isad:lh:45890,FVCA / B2 (1940-1944),,,Nederlands,remarks
tg:lhbr:49021,c08c7b0d-e999-52af-ad6c-90ef42818229,Items,1,tr:lh:5630,112913/126,isad:lh:5664,K 376 / B (Deel I),,,Nederlands,remarks
tg:lhbr:229689,a1e1a404-6d4c-5a51-a734-5c892e5de3db,Items,1,tr:lh:7819,202195/60,isad:lh:82654,H 116 / B2 ( Marc Payot ),,,Nederlands,remarks
tg:lhbr:126529,b313a6a7-25fc-5f72-b5c8-5a7b83f2338b,Items,1,tr:lh:3772,72465/200,isad:lh:1523,T 48399 / B (1946),,,Nederlands,remarks
tg:lhbr:67489,6adaeab5-9d71-52df-860b-fff23bab286f,Items,1,tr:lh:3472,68281/31,isad:lh:30825,L 5347 / B2,,,Nederlands,remarks
tg:lhbr:170349,019f10b3-20fc-518c-979f-c9790a63f996,Items,1,,163805/1a-c,isad:lh:69228,G 395 / B2,,,Nederlands,remarks
tg:lhbr:138537,0d9808f2-3c5d-544e-a5ae-d7b4fc805396,Items,1,tr:lh:3055,60960/16,isad:lh:57705,S 935 / B,,,Nederlands,remarks
tg:lhbr:79497,d4a34357-ccb5-5bfb-a6c4-e072b0d4fc9e,Items,1,tr:lh:683,13394/911,isad:lh:34905,J 255 / B,,,Nederlands,remarks
tg:lhbr:237697,71d6b2b4-ba7c-5743-a281-245ccaadbee3,Items,1,tr:lh:9974,219298/41,isad:lh:85232,C 2635 / B2,,,Nederlands,remarks
tg:lhbr:145007,89d1a8cb-a028-592a-ac92-bab6f1d470dc,Items,1,tr:lh:6465,158590/139,isad:lh:452,S 7904 / B2 (1964),,,Nederlands,remarks
tg:lhbr:113667,63bc9d73-d8bd-5fcc-9678-c8cf37cf16a0,Items,1,tr:lh:4777,94025/1,isad:lh:48217,P 2727 / B,,,Nederlands,remarks
tg:lhbr:55002,2c2de9ca-5453-52c8-998d-e89d21d1e227,Items,1,tr:lh:6081,138747/208,isad:lh:24746,V 6095 / B2,,,Nederlands,remarks
tg:lhbr:230152,67420dab-d815-5953-8064-221e9631fa4a,Items,1,tr:lh:7336,187334/51a-b,isad:lh:82727,S 59 / Archief Editions - Uitgevers / Editions Hypérion,,,Nederlands,remarks
tg:lhbr:266732,f2dc0193-5c23-542d-a98b-484002ffbdaf,Items,1,tr:lh:128783,,isad:lh:132923,,R 462 / 1082,,Nederlands,remarks
tg:lhbr:169492,646bd5d8-b637-5765-b76e-92bcb513e542,Items,1,tr:lh:6749,167194/1,isad:lh:69092,T 347 / B,,,Nederlands,remarks
tg:lhbr:28532,cabe83a1-2413-5b6f-96db-087543fbac8b,Items,1,tr:lh:7314,,isad:lh:13889,FVCA / B (1919-1932),,,Nederlands,remarks
tg:lhbr:286566,903e9547-0b83-586c-8709-56411597794f,Items,1,tr:lh:128691,,isad:lh:129812,,B 805 /412,,Nederlands,remarks
tg:lhbr:6870,8406e816-b846-5bc0-b99f-771c1f5acf98,Items,1,tr:lh:5660,113940,isad:lh:4452,B 13894 / B,,,Nederlands,remarks
tg:lhbr:223791,4c227d27-488f-583a-a8d8-979e2a596393,Items,1,tr:lh:2055,38590/13,isad:lh:80811,T 394 / B2,,,Nederlands,remarks
tg:lhbr:151101,f24c708b-2c49-58b4-9a87-82e9cfb53f3b,Items,1,tr:lh:3055,61077/56,isad:lh:62431,V 4655 / B,,,Nederlands,remarks
tg:lhbr:107761,f7352cc9-90c9-5b6b-8eb2-a17b011ee36c,Items,1,tr:lh:5863,125285/1,isad:lh:45752,N 3464 / B,,,Nederlands,remarks
tg:lhbr:68269,eff2b4c6-bed8-5090-b2a8-78c8beffb377,Items,1,tr:lh:1876,33490/1,,H 174 / B,,,Nederlands,remarks
tg:lhbr:15759,2a2c6a8a-dfc5-58f8-8362-f525732e42ce,Items,1,tr:lh:5778,119105/11,isad:lh:8552,D 352 / B,,,Nederlands,remarks
tg:lhbr:102099,03dcf923-f5d4-586b-8add-b78fe727fa10,Items,1,tr:lh:651,12668/16,isad:lh:915,H 90783 / B (Fin. Comiteit Deel I Verslagen),,,Nederlands,remarks
tg:lhbr:43139,371b63df-30b7-5ccb-a858-91e835eda636,Items,1,tr:lh:2197,41809/175,isad:lh:20094,G 4781 / B,,,Nederlands,remarks
tg:lhbr:226069,08509e3e-56ae-5358-914b-012a4ebc26aa,Items,1,tr:lh:7860,203526/117,isad:lh:81587,M 224 / B,,,Nederlands,remarks
tg:lhbr:270609,a58ee486-0218-5ed8-8bcf-821fb1ed2f05,Items,1,tr:lh:110330,,isad:lh:113738,,R 8963 / 398,,Nederlands,remarks
tg:lhbr:259564,d8078540-e691-5366-b770-58c7b9dcffc0,Items,1,tr:lh:9770,,isad:lh:148515,,J 416 / 72,,Nederlands,remarks
tg:lhbr:17764,bfe616ab-c99d-5cd3-a867-01176af77789,Items,1,tr:lh:7314,,isad:lh:9293,FVCA / B2 (1944-1961),,,Nederlands,remarks
tg:lhbr:224054,85bb21cd-3b05-5fee-a498-ca3fe4483f44,Items,1,tr:lh:7860,203519/8,isad:lh:78323,M 224 / B,,,Nederlands,remarks
tg:lhbr:272634,629eb15c-3508-5df9-8dc7-ccd081988431,Items,1,tr:lh:110330,,isad:lh:114946,,R 8963 / 727,,Nederlands,remarks
tg:lhbr:198038,9fc2cbbf-e74f-563a-b111-2077c1c835e1,Items,1,tr:lh:6598,166196/2836a-b,isad:lh:74956,B 417 / B2,,,Nederlands,remarks
tg:lhbr:8182,5cd38b8c-685c-5c35-969a-d7a392bc2714,Items,1,tr:lh:6086,139014/103,isad:lh:1913,B 742 / B (19),,,Nederlands,remarks
tg:lhbr:273926,639753ac-7bf4-567f-a320-0a11c4c62603,Items,1,tr:lh:140214,,,B 7307 / B,,,Nederlands,remarks
tg:lhbr:130412,37e1e6d9-9319-50b6-9dc2-d646378670e3,Items,1,tr:lh:5853,123975/2,isad:lh:54710,S 314 / B,,,Nederlands,remarks
tg:lhbr:166272,e7fa0ac6-94d1-5d36-9eda-dc8a18d7a1f9,Items,1,tr:lh:4796,95536/14,isad:lh:735,H 722 / B (1944-48),,,Nederlands,remarks
tg:lhbr:289386,d2f0341f-a3a1-5784-b7b6-1da455775670,Items,1,tr:lh:5479,107680,isad:lh:168774,,R 1476 / 175,,Nederlands,remarks
tg:lhbr:242282,cae358b3-9a75-5852-90d7-b5e16befe49e,Items,1,,,isad:lh:128056,,C 3622 / 20,,Nederlands,remarks
tg:lhbr:16876,d05ed0a9-30e3-58b3-885b-3f726ef98192,Items,1,tr:lh:6086,139035/20,isad:lh:4202,B 742 / B (26),,,Nederlands,remarks
tg:lhbr:186026,bd7cdf80-be7b-5ab6-aac2-ed3b3583fc8a,Items,1,tr:lh:6883,170325/16,isad:lh:73599,L 27435 / B2,,,Nederlands,remarks
tg:lhbr:238077,29ab7090-44b3-53c9-9f43-c99699c501a1,Items,1,,219406/34a-b,isad:lh:85360,VV 509 / B2,,,Nederlands,remarks
tg:lhbr:96023,c8ee2b80-1d0d-534d-b831-da114d2c8fd1,Items,1,tr:lh:2046,39597/4,isad:lh:40929,M 2828 / B,,,Nederlands,remarks
tg:lhbr:245547,6b3e044e-7a7a-5d4f-8640-a83c0070cbf9,Items,1,tr:lh:126473,,isad:lh:130163,,D 9653 / 9 (212),,Nederlands,remarks
tg:lhbr:106873,1bc1e743-651f-591e-a79c-3059e747d425,Items,1,tr:lh:6533,160811/1,isad:lh:45445,N 122 / B,,,Nederlands,remarks
tg:lhbr:213327,507e3377-940d-57e2-a0d3-ec344481d688,Items,1,,,isad:lh:77867,M 224 / B,,,Nederlands,remarks
tg:lhbr:76277,a9e7955a-850f-50a2-ba1d-58b3329ba905,Items,1,tr:lh:2609,52825/60,isad:lh:34179,H 965 / B,,,Nederlands,remarks
tg:lhbr:20417,7db7efec-2397-5741-b150-dcd18a268a2b,Items,1,tr:lh:3672,71071/96,isad:lh:10458,B 9073 / B,,,Nederlands,remarks
tg:lhbr:222883,13b47c4b-7459-5b4b-b61d-4754e76e5262,Items,1,tr:lh:7601,198957/653,isad:lh:80308,G 9947 / B2,,,Nederlands,remarks
tg:lhbr:55517,5f8bc10e-a7d0-5067-9f1b-488b68da75b2,Items,1,tr:lh:6626,163874/48,isad:lh:24955,H 517 / B2,,,Nederlands,remarks
tg:lhbr:257983,087304ea-3886-59a2-b7aa-ee0b0dad6f45,Items,1,tr:lh:9770,,isad:lh:147583,,J 416 / 66,,Nederlands,remarks
tg:lhbr:230447,e418a87f-d4c5-5253-8096-073c64ac8dc0,Items,1,tr:lh:7825,202226/6a-d,isad:lh:82901,R 394 / B2,,,Nederlands,remarks
tg:lhbr:173973,8075eece-ef89-5da5-854d-e5df8d89a016,Items,1,tr:lh:7063,177313/370,isad:lh:70335,D 125 / B2,,,Nederlands,remarks
tg:lhbr:266227,332d7cc7-463c-59f1-9f08-78efae3be366,Items,1,tr:lh:128783,,isad:lh:132807,,R 462 / 835,,Nederlands,remarks
tg:lhbr:169187,f18c6a51-c318-562c-9b8f-01af59607f84,Items,1,tr:lh:6778,167721/3,,B 972 / B,,,Nederlands,remarks
tg:lhbr:28027,a739af8c-89f5-5848-8da9-150bb0fe6222,Items,1,tr:lh:7314,,isad:lh:13635,FVCA / B (1919-1932),,,Nederlands,remarks
tg:lhbr:286073,6fee52f2-29f3-5088-aa33-c15338ee5914,Items,1,tr:lh:128691,,isad:lh:129198,,B 805 /47,,Nederlands,remarks
tg:lhbr:138022,d1851085-b781-5f50-8121-bc73609b74be,Items,1,tr:lh:5630,112913/855,isad:lh:555,K 376 / B (Deel II),,,Nederlands,remarks
tg:lhbr:79182,1d4b9c67-6678-5d95-a608-b2a334419458,Items,1,tr:lh:4676,89648/17,isad:lh:34783,J 2502 / B,,,Nederlands,remarks
tg:lhbr:237382,688e9dc3-7de5-518b-a43e-dfab345389b9,Items,1,tr:lh:9849,218758/499,isad:lh:85088,J 45 / B2,,,Nederlands,remarks
tg:lhbr:63976,c58e591f-86a7-54d7-ad13-8c94a635d7d7,Items,1,,,isad:lh:29354,G 563 / B,,,Nederlands,remarks
tg:lhbr:206826,c2fb3c34-3577-5768-af76-bb5a87babecb,Items,1,tr:lh:6413,151169/7,isad:lh:76100,W 256 / B2 ((periode L. Simons 1969-1984) 2),,,Nederlands,remarks
tg:lhbr:145512,539ba6a8-5559-509e-8d18-d914d16b1554,Items,1,tr:lh:4796,95558/92,isad:lh:7203,H 722 / B (1961-63),,,Nederlands,remarks
tg:lhbr:113372,e21eb0d5-c296-51e7-a688-0dad95005538,Items,1,,,isad:lh:48102,P 2723 / B,,,Nederlands,remarks
tg:lhbr:207734,845e6bac-1659-5aad-b97f-b9b4f3991705,Items,1,tr:lh:6413,151417/3a-b,isad:lh:76435,W 256 / B2 ((periode L. Simons 1969-1984) 9),,,Nederlands,remarks
tg:lhbr:62664,9362c05b-45a4-502d-98f2-9c7ddafcf019,Items,1,,,isad:lh:28316,G 563 / B,,,Nederlands,remarks
tg:lhbr:34004,fc3246dd-3b39-5fd1-8752-3172e508b1e8,Items,1,tr:lh:4160,80561/35,isad:lh:16250,C 3317 / B,,,Nederlands,remarks
tg:lhbr:108494,2f865b5a-93e1-54c8-8c9f-f73a0523ba3b,Items,1,tr:lh:2045,38335/260,isad:lh:46024,D 531 / B,,,Nederlands,remarks
tg:lhbr:49534,5b80bbad-ff66-5ed4-a35f-3419128cb653,Items,1,tr:lh:4737,90820/53,isad:lh:22621,L 18597 / B,,,Nederlands,remarks
tg:lhbr:82430,fce0e584-8a35-5b17-89b4-3b1936ba534a,Items,1,tr:lh:5192,102796/92,isad:lh:35965,K 90483 / B2,,,Nederlands,remarks
tg:lhbr:190408,b2703024-1464-55be-8774-f328edd142a0,Items,1,tr:lh:5678,114682/12,isad:lh:74082,T 48399 / B (1960),,,Nederlands,remarks
tg:lhbr:218838,c8443a9b-6d33-5580-8217-f312fc1b6314,Items,1,tr:lh:7336,187010/1,isad:lh:79386,S 59 / Archief A,,,Nederlands,remarks
tg:lhbr:159531,5aab6c96-255d-5117-adb6-03d6cd176fea,Items,1,tr:lh:3436,67699/561,isad:lh:459,"H 722 / B (1947-56, Verhandelingen)",,,Nederlands,remarks
tg:lhbr:18491,6ec89b16-d89e-5900-9385-9862b19cb3db,Items,1,tr:lh:982,18282/23,isad:lh:9611,B 805 / B,,,Nederlands,remarks
tg:lhbr:192435,3ca833d8-06ab-57d6-a744-d91a3ddd6c77,Items,1,tr:lh:6886,171382/63,isad:lh:74274,S 935 / B1,,,Nederlands,remarks
tg:lhbr:124001,9014743d-fb2c-5cdb-8d59-5058f50474eb,Items,1,tr:lh:5863,124385/1,isad:lh:52532,R 6507 / B,,,Nederlands,remarks
tg:lhbr:172661,a92a3760-5668-54d6-8f73-595d0b351c0c,Items,1,tr:lh:7352,195544/254,isad:lh:69985,B 6781 / B2,,,Nederlands,remarks
tg:lhbr:256691,7f767cce-f696-529b-b5f6-28dfafeb6501,Items,1,tr:lh:9770,,isad:lh:146843,,J 416 / 58,,Nederlands,remarks
tg:lhbr:253169,f29b271a-de34-5f96-86ea-4a94ddbe5a67,Items,1,tr:lh:139785,,isad:lh:144605,R 139785 / B2,,,Nederlands,remarks
tg:lhbr:205709,4b9c3969-e3d0-5066-981c-a0ffe2db340c,Items,1,tr:lh:5678,114699/131,isad:lh:75762,T 48399 / B (1977),,,Nederlands,remarks
tg:lhbr:60659,d3371f1a-6fc0-5d0a-8ebd-a0a1929c9480,Items,1,tr:lh:4817,95860/17,isad:lh:26737,R 134 / B,,,Nederlands,remarks
tg:lhbr:7277,9adfa41b-c983-54ad-84af-a6f511ab4e42,Items,1,tr:lh:6303,146158/54a-b,isad:lh:4676,M 385 / B,,,Nederlands,remarks
tg:lhbr:177199,30ff1c14-f5a2-599b-81a2-25e0a743b4c9,Items,1,tr:lh:9567,179474/43,isad:lh:70940,D 4577 / B1,,,Nederlands,remarks
tg:lhbr:36039,a1cb413c-c8f8-5dfe-8b1a-427ab5f6cd51,Items,1,tr:lh:5078,100574/171,isad:lh:152544,C 3592 / B (3),,,Nederlands,remarks
tg:lhbr:278239,e1098461-0e6b-5bd0-ac99-7d96ec978a18,Items,1,tr:lh:7843,202504/60a-b,isad:lh:159021,,D 325 / 528,,Nederlands,remarks
tg:lhbr:282899,22965c51-6fd7-599d-bb34-0838a872fe02,Items,1,tr:lh:7843,202504/60a-b,isad:lh:162626,,D 325 / 1104,,Nederlands,remarks
tg:lhbr:87632,cc95385c-44f1-5906-aaf7-555b441d3ac7,Items,1,tr:lh:5863,124393/350,isad:lh:37603,L 223 / B,,,Nederlands,remarks
tg:lhbr:229666,c3b725cf-1137-5a00-b62f-f6d4f08aba58,Items,1,,,isad:lh:82656,S 59 / Archief Musea,,,Nederlands,remarks
tg:lhbr:67466,26d8a0b9-0660-562d-9a9d-3bb1bb02c159,Items,1,tr:lh:212,3880,isad:lh:30808,H 1431 / B,,,Nederlands,remarks
tg:lhbr:31206,76b173ed-bbd6-5d67-bb76-e6f7b6b46719,Items,1,tr:lh:4400,84690/199,isad:lh:15169,N 261 / B,,,Nederlands,remarks
tg:lhbr:254356,76dc0f58-01fe-5f1c-9038-85ff9d6e3a38,Items,1,,,isad:lh:98031,,J 416 / 103,,Nederlands,remarks
tg:lhbr:141802,1f3afb17-f2a7-5c73-ab96-5caf73a53bc4,Items,1,tr:lh:4738,90957/31,isad:lh:58962,T 2867 / B,,,Nederlands,remarks
tg:lhbr:202536,c5d8cdbb-f666-5bcd-9f79-57780b3adefe,Items,1,tr:lh:6598,166196/2125a-c,isad:lh:75283,B 417 / B2 (72),,,Nederlands,remarks
tg:lhbr:253493,bb1dece2-7d6e-5439-b2c5-f8bc7d2a2834,Items,1,,,isad:lh:144846,M 58 / 2,,,Nederlands,remarks
tg:lhbr:121203,09e86062-05e4-55c3-a0e4-f87ccf04499b,Items,1,tr:lh:5772,118725/5,isad:lh:51438,R 462 / B,,,Nederlands,remarks
tg:lhbr:177463,41d43f91-50c6-56ea-bf82-9d0b0bf51cb1,Items,1,tr:lh:7444,196741,isad:lh:71021,B 1333 / B1,,,Nederlands,remarks
tg:lhbr:234957,85558fc4-7e34-53d0-b518-f243311ea3b5,Items,1,tr:lh:7657,218004/12,isad:lh:84054,G 3145 / B2,,,Nederlands,remarks
tg:lhbr:197637,b32669b3-f0c8-5a58-9763-346783fab725,Items,1,tr:lh:7845,202527/50,isad:lh:74888,B 417 / B2,,,Nederlands,remarks
tg:lhbr:2075,d97a5dc3-e8ec-5de8-825e-381d2e6a2c52,Items,1,tr:lh:2552,50354/2,isad:lh:1728,A 315 / B,,,Nederlands,remarks
tg:lhbr:283271,592e7499-4b81-5ed0-a534-6f247b88166a,Items,1,,,isad:lh:162912,,L 1833 / 136,,Nederlands,remarks
tg:lhbr:248375,c5befc41-e2d6-580e-8697-1af15a744d6c,Items,1,tr:lh:2279,,isad:lh:140913,,C 3622 / 24,,Nederlands,remarks
tg:lhbr:196925,17835c74-37c4-53f1-98c9-0d53c6c9d7df,Items,1,tr:lh:5678,114689/269,isad:lh:74757,T 48399 / B (1967),,,Nederlands,remarks
tg:lhbr:235645,23faa1c6-590c-58a7-8126-9404c7112962,Items,1,tr:lh:9767,217989/1946,isad:lh:84300,Y 2 / B2,,,Nederlands,remarks
tg:lhbr:263025,4489f723-3c23-53ce-862b-ad708da51097,Items,1,tr:lh:139974,,isad:lh:150601,,B 798 / 381 - 427,,Nederlands,remarks
tg:lhbr:50715,b559885f-e5ad-5304-9879-e25a509bd964,Items,1,tr:lh:6465,158585/218,isad:lh:7134,S 7904 / B2 (1959),,,Nederlands,remarks
tg:lhbr:189629,cdb28a35-7c9a-5735-a54c-98334ad5299d,Items,1,,177479/6,,V 4655 / B1,,,Nederlands,remarks
tg:lhbr:286589,54d62241-5b6f-5a7b-9cf9-aacb3d6c8b00,Items,1,tr:lh:128691,,isad:lh:129831,,B 805 /427,,Nederlands,remarks
tg:lhbr:140710,2efefe92-5919-53b9-8fc6-d7cd94e36f9a,Items,1,tr:lh:2869,57339/19,isad:lh:58515,T 174 / B,,,Nederlands,remarks
tg:lhbr:116170,a24abfd8-5065-5c72-8fc7-a43aa27a74f9,Items,1,tr:lh:3903,74506/1,isad:lh:49329,P 505 / B1,,,Nederlands,remarks
tg:lhbr:232180,96702a3c-a241-5773-bd7e-a8419de5d215,Items,1,tr:lh:7673,199660/31,,G 395 / B1,,,Nederlands,remarks
tg:lhbr:228974,63ce97a6-e035-5152-9abb-021565eeb139,Items,1,tr:lh:4508,86779/78,isad:lh:82441,SS 428 / B2,,,Nederlands,remarks
tg:lhbr:86920,88fe0682-9214-5eed-b474-793fdb2356cc,Items,1,tr:lh:2334,44032/126,isad:lh:37372,A 4253 / B,,,Nederlands,remarks
tg:lhbr:194918,c375f5e9-b063-53bc-b96d-6cde485bf191,Items,1,tr:lh:6598,166196/150a-b,isad:lh:74582,B 417 / B2,,,Nederlands,remarks
tg:lhbr:79478,45f6f364-3767-5a99-947c-216dbedc5c65,Items,1,tr:lh:4055,77818/6,isad:lh:34899,S 823 / B,,,Nederlands,remarks
tg:lhbr:237678,e1ed7fe1-7a46-5121-898c-5dcc0816a9f4,Items,1,tr:lh:9974,219296/2a-b,isad:lh:85217,C 2635 / B1,,,Nederlands,remarks
tg:lhbr:261018,743c8b1c-ec4b-53db-8a9b-25f1641477a4,Items,1,tr:lh:9770,,isad:lh:149669,,J 416 / 77,,Nederlands,remarks
tg:lhbr:113688,4901dbfc-1a71-5109-876f-5a12f9d153e8,Items,1,,103361/117,,V 34355 / B,,,Nederlands,remarks
tg:lhbr:52728,dd915ee7-31f3-5db8-b6e6-b953571e4d66,Items,1,tr:lh:7314,,isad:lh:10333,FVCA / VB 78,,,Nederlands,remarks
tg:lhbr:179884,a1125840-165c-5d96-8bed-ec0452a70870,Items,1,tr:lh:6920,171175/86,isad:lh:71901,C 2 / B2,,,Nederlands,remarks
tg:lhbr:38924,02454729-d3d6-501d-8ee7-a4831387df5f,Items,1,tr:lh:6036,133816/8,isad:lh:18349,D 2195 / B2,,,Nederlands,remarks
tg:lhbr:183224,15578ac6-909c-5d45-a990-3bd67ea09c88,Items,1,tr:lh:7475,197214/144,isad:lh:72781,S 314 / B2,,,Nederlands,remarks
tg:lhbr:148320,f1778d51-2daa-5db7-9ff7-514218ba0b8a,Items,1,tr:lh:4738,90842/4,isad:lh:61503,V 347 / B,,,Nederlands,remarks
tg:lhbr:135610,f971101b-b4f3-529f-9631-9d8dd4acfd9f,Items,1,tr:lh:4736,90144/13,isad:lh:56568,S 704 / B,,,Nederlands,remarks
tg:lhbr:163070,a762254d-37b4-5ffb-8e89-4a2e068000ce,Items,1,tr:lh:4995,98971/23,isad:lh:66550,W 803 / B,,,Nederlands,remarks
tg:lhbr:71048,1fcdc294-7c99-566c-9537-c432dfe3e160,Items,1,tr:lh:5981,131014/38,isad:lh:32076,H 5049 / B,,,Nederlands,remarks
tg:lhbr:166788,341fd63c-cdee-58cc-9a02-28544d299205,Items,1,tr:lh:5850,123806/602,isad:lh:32766,W 686 / B (20),,,Nederlands,remarks
tg:lhbr:27628,606cb1f6-3a2b-5a63-adce-703a205d3556,Items,1,tr:lh:7314,,isad:lh:13430,FVCA / B (1919-1932),,,Nederlands,remarks
tg:lhbr:214118,5b13e1bb-ab0e-5569-97b3-eb609d27b800,Items,1,tr:lh:7609,199075/16,isad:lh:71996,M 224 / B,,,Nederlands,remarks
tg:lhbr:269428,d53e8dfc-9bd5-5fcd-8cd7-d043412920b3,Items,1,tr:lh:7843,,isad:lh:155034,,D 325/161,,Nederlands,remarks
tg:lhbr:25615,96baf917-310f-533c-94a7-971a2dbc280f,Items,1,tr:lh:5778,119077/8,isad:lh:12422,C 195 / B,,,Nederlands,remarks
tg:lhbr:240745,38ce8c18-9298-59e0-881d-d56de48e2faa,Items,1,tr:lh:6886,195604/24a-b,isad:lh:36264,K 423 / B1,,,Nederlands,remarks
tg:lhbr:216125,b0ba8edf-0c91-51a3-a378-17a358920cd7,Items,1,tr:lh:6727,166896/8,isad:lh:78458,LL 87 / B2 (2),,,Nederlands,remarks
tg:lhbr:93221,daea5ca2-ded6-5ab3-8184-9673c1d38669,Items,1,tr:lh:992,18419/16,isad:lh:39782,L 862 / B,,,Nederlands,remarks
tg:lhbr:119285,45aadd15-16fa-5dd1-9cac-f9486e91dd93,Items,1,tr:lh:1279,21884/4,,Q 723 / B,,,Nederlands,remarks
tg:lhbr:58325,bf546aa0-4e0d-51e0-ab03-90a5d44bc213,Items,1,tr:lh:5447,113456/f-g,isad:lh:25900,G 994 / B,,,Nederlands,remarks
tg:lhbr:128921,75407f7f-8ac0-5c2f-a19f-885938328a58,Items,1,tr:lh:4853,112699/4a-b,isad:lh:54050,S 14 / B,,,Nederlands,remarks
tg:lhbr:69881,f3fe84fd-9e68-5b9a-a224-296d49ffa96b,Items,1,tr:lh:6382,149197/56,isad:lh:31628,T 2806 / B,,,Nederlands,remarks
tg:lhbr:181219,3716fee8-2935-571d-be1a-8889111ab9bf,Items,1,tr:lh:4015,76700/279,isad:lh:30040,G 785 / B,,,Nederlands,remarks
tg:lhbr:129633,c4e21463-c32f-5868-af18-6d596770d55a,Items,1,tr:lh:5400,105842/13a-b,isad:lh:54324,S 245 / B,,,Nederlands,remarks
tg:lhbr:68793,b761b271-95ef-51c4-828a-4d01256b25c4,Items,1,tr:lh:5800,120836,isad:lh:31258,H 255 / B,,,Nederlands,remarks
tg:lhbr:154303,21dbb354-d0d4-5a6f-a65a-00de624d4008,Items,1,tr:lh:4397,84646/17,isad:lh:63575,V 5862 / B,,,Nederlands,remarks
tg:lhbr:102563,a73f4a77-f272-5181-be70-aaddc138bd95,Items,1,tr:lh:2402,47630/1,isad:lh:43455,M 7863 / B,,,Nederlands,remarks
tg:lhbr:241857,903a1787-5648-5e0f-bc86-ec5c0a946a94,Items,1,tr:lh:110434,,isad:lh:127175,,C 2756 / 441,,Nederlands,remarks
