brocade.id,ResourceID,card,order,Registration Number value,Archive Note,Warehouse Location (begin),adm.note,Serial Number,adm.note.language,adm.note.type
tg:mpmak:283,7382110a-7154-5d10-9940-4af1fa6964d9,Items,1,SCH HF FA 51,isad:mpm:418,10 Q 4 D,,2,Nederlands,remarks
tg:mpmak:112,4aa17bda-4162-5284-aec0-5d9f90eac283,Items,1,Arch. 322,isad:mpm:334,10 Q 5 D,Los stuk 4 tussen fol. 47 links-rechts,,Nederlands,remarks
tg:mpmak:309,a733cadc-0928-5c15-863e-3a51bf38ac13,Items,1,Arch. 1184,isad:mpm:349,10 K 8 B,,stuk 1,Nederlands,remarks
tg:mpmak:165,09c44ab5-d181-5cbd-a83f-af4728479b9c,Items,1,Arch. 761,isad:mpm:334,10 R 9 C,Los stuk 2 tussen fol. 25 links-rechts,,Nederlands,remarks
tg:mpmak:85,5875d145-7b27-51b5-9d7d-d9a123ca1fec,Items,1,Arch. 398,isad:mpm:334,10 Q 5 A,Los stuk,,Nederlands,remarks
tg:mpmak:132,5c8dcef5-723a-5695-b0cc-170db98e514f,Items,1,Arch. 321,isad:mpm:333,10 Q 5 D,Los stuk 2 tussen fol. 156 links-rechts,,Nederlands,remarks
tg:mpmak:348,21deb227-d4fe-54ef-baef-f620f1586b19,Items,1,Arch. 89,isad:mpm:352,10 Q 2 D,,p. 400A-400D,Nederlands,remarks
tg:mpmak:93,5fe4fe19-4695-5b83-a23d-e3d98cc2104d,Items,1,Arch. TS A stuk 7,isad:mpm:327,15 R 1 A,Tussen fol. 144 links-rechts,,Nederlands,remarks
tg:mpmak:124,fa766c61-ec75-55c1-b85a-045fd4035203,Items,1,Arch. 321,isad:mpm:333,10 Q 5 D,Los stuk tussen fol. 81 links-rechts,,Nederlands,remarks
tg:mpmak:173,b7ab2f53-d11a-599b-a6b9-f482b6039ea7,Items,1,Arch. 761,isad:mpm:334,10 R 9 C,Los stuk tussen fol. 130 links-rechts,,Nederlands,remarks
tg:mpmak:221,655dd0cb-2f48-54f5-81d7-b7e7fbc2df72,Items,1,Arch. 95 bis,isad:mpm:339,10 Q 2 C,,C.g.X1,Nederlands,remarks
tg:mpmak:108,b6304530-6a87-5347-9b7d-b19b2c8b3058,Items,1,Arch. 322,isad:mpm:221,10 Q 5 D,Los stuk tussen fol. 1 links-rechts,,Nederlands,remarks
tg:mpmak:50,76f30119-5b4d-5c4e-9252-892d4ffdc597,Items,1,Arch. 42,isad:mpm:256,10 Q 1 C,Vierde stuk van de lias met losse stukken,,Nederlands,remarks
tg:mpmak:333,54efed87-3902-5879-a0fc-877ee458360f,Items,1,Arch. 301,isad:mpm:567,10 Q 4 A,,los stuk tussen fol. 158 links-rechts,Nederlands,remarks
tg:mpmak:299,383ad62b-3a37-5334-b4f9-eaab72278db1,Items,1,Arch. 134,isad:mpm:556,10 Q 3 D,,los stuk 3 tussen fol. 349 links-rechts,Nederlands,remarks
tg:mpmak:276,96eb5fd4-0f84-51d9-b45c-3bb5dbfc019c,Items,1,Arch. 280,isad:mpm:333,10 Q 4 B,,los stuk 14,Nederlands,remarks
tg:mpmak:325,1a528c30-66e4-5263-9d6a-e8059daf7874,Items,1,Arch. 669,isad:mpm:421,10 Q 8 A,,los stuk 1 tussen p. 21-22,Nederlands,remarks
tg:mpmak:260,205f2c2f-c525-523f-b846-96abd9ec935f,Items,1,Arch. 1460,isad:mpm:567,10 R 3 B,,11,Nederlands,remarks
tg:mpmak:149,2af7bbec-ec71-5265-b1c0-1d22d7f0ab84,Items,1,Arch. 319,isad:mpm:334,10 Q 5 D,Los stuk tussen fol. 177 links-rechts,,Nederlands,remarks
tg:mpmak:11,c15c2d0f-4fd0-52e8-9aa1-a8cf2ea6cca7,Items,1,Arch. 1179,isad:mpm:205,10 R 7 B,,271,Nederlands,remarks
tg:mpmak:237,9f0ae734-f0c3-50e4-946c-243b6eaed8bd,Items,1,Arch. 95 bis,isad:mpm:338,10 Q 2 C,,B.i.4,Nederlands,remarks
tg:mpmak:46,7148450f-2c5b-52d9-9369-2d1f7c53dc68,Items,1,Arch. 819,isad:mpm:243,10 R 8 F,Los stuk tussen fol. 120 links-rechts,,Nederlands,remarks
tg:mpmak:166,ea3f473d-e14c-56db-ac62-6715fda69c6d,Items,1,Arch. 761,isad:mpm:334,10 R 9 C,Los stuk 1 tussen fol. 52 links-rechts,,Nederlands,remarks
tg:mpmak:189,e1de6875-3670-51a2-8cf9-6d799baa1330,Items,1,Arch. 498,isad:mpm:334,10 Q 6 C,Los stuk 2 tussen fol. 22 links-rechts,,Nederlands,remarks
tg:mpmak:218,98eea8f6-c4de-5f50-bb11-0a1b7b8dc83b,Items,1,Arch. 319,isad:mpm:334,10 Q 5 D,Los stuk 1 tussen fol. 208 links-rechts,,Nederlands,remarks
tg:mpmak:69,49b757ca-3855-508a-bcf6-db28729f809c,Items,1,K 1074,isad:mpm:290,Zaal 32,,29,Nederlands,remarks
tg:mpmak:131,60fca594-adb6-5b88-ba57-cfa947278320,Items,1,Arch. 321,isad:mpm:334,10 Q 5 D,Los stuk 3 tussen fol. 148 links-rechts,,Nederlands,remarks
tg:mpmak:86,461ccabb-60ef-5a33-a0a1-7e7f0b7e5d43,Items,1,Arch. 1150a,isad:mpm:278,15 H 1 E,,fol. 87-90,Nederlands,remarks
tg:mpmak:127,8c420f55-ad09-5eba-91f5-85eae0f79b7f,Items,1,Arch. 321,isad:mpm:334,10 Q 5 D,Los stuk 4 tussen fol. 131 links-rechts,,Nederlands,remarks
tg:mpmak:90,1ef1c807-8f23-5537-97d5-9a70a3c3e334,Items,1,Arch. TS A stuk 3,isad:mpm:328,15 R 1 A,Tussen fol. 137 links-rechts,,Nederlands,remarks
tg:mpmak:259,1881442d-5902-5473-8e7e-b5f3b680782a,Items,1,Arch. 1460,isad:mpm:567,10 R 3 B,,10,Nederlands,remarks
tg:mpmak:28,1c0f4bb8-29f1-5153-80ea-b6be81c3aec6,Items,1,2 4,isad:mpm:245,10 L 5 E,,,Nederlands,remarks
tg:mpmak:170,f2c25d59-5a0e-52c5-b4cf-686f86f67261,Items,1,Arch. 761,isad:mpm:334,10 R 9 C,Los stuk 2 tussen fol. 102 links-rechts,,Nederlands,remarks
tg:mpmak:222,9db14626-047b-5887-9f8e-9b455b83aad0,Items,1,Arch. 1179,isad:mpm:205,10 R 7 D,,1,Nederlands,remarks
tg:mpmak:53,d50ee4cb-6651-5557-acce-2d595c5b4a1c,Items,1,Arch. 42,isad:mpm:256,10 Q 1 C,Zevende stuk van de lias met losse stukken,,Nederlands,remarks
tg:mpmak:275,a3f6ecf4-3726-51a9-bcfc-8e9a35706147,Items,1,Arch. 280,isad:mpm:334,10 Q 4 B,,los stuk 13,Nederlands,remarks
tg:mpmak:330,8fac1496-0279-5820-ae9f-1ca11fd4ac36,Items,1,Arch. 669,isad:mpm:421,10 Q 8 A,,los stuk tussen fol. 52-53,Nederlands,remarks
tg:mpmak:263,fcf4ae2b-8e8d-5d5b-ae84-fd9c535aefc4,Items,1,Arch. 1460,isad:mpm:361,10 R 3 B,,14,Nederlands,remarks
tg:mpmak:326,dd34547b-589a-5009-afec-5dcf9ca4e7e5,Items,1,Arch. 669,isad:mpm:421,10 Q 8 A,,los stuk 2 tussen p. 21-22,Nederlands,remarks
tg:mpmak:12,e46111bf-cbf9-5281-bf1c-ca0513af1ecb,Items,1,Arch. 1179,isad:mpm:205,10 R 7 B,,275,Nederlands,remarks
tg:mpmak:234,fc21541f-a5b7-5a46-85e0-cc539a873f78,Items,1,Arch. 95 bis,isad:mpm:338,10 Q 2 C,,B.h.2,Nederlands,remarks
tg:mpmak:45,46406d70-531f-5e36-b16d-32c373cc71dd,Items,1,Arch. 817,isad:mpm:275,10 R 8 F,Los stuk tussen fol. 62 links-rechts,,Nederlands,remarks
tg:mpmak:32,775c3b3b-1bd0-5ca9-b4bc-f040792ccbac,Items,1,Arch. 1147,isad:mpm:245,10 R 7 E,,fol. 1-6,Nederlands,remarks
tg:mpmak:185,812755cc-f2e7-5402-9774-9014079a0ea5,Items,1,Arch. 498,isad:mpm:333,10 Q 6 C,Los stuk 11 vooraan,,Nederlands,remarks
tg:mpmak:306,6b94d9fb-f4d1-5775-9b50-e4f6bff2efac,Items,1,Arch. 134,isad:mpm:334,10 Q 3 D,,los stuk tussen fol. 389 links-rechts,Nederlands,remarks
tg:mpmak:243,add0f9f5-f962-5cd7-94bf-aaa83bf49c33,Items,1,Arch. 95 bis,isad:mpm:338,10 Q 2 C,,B.k.7.2,Nederlands,remarks
tg:mpmak:65,704e3c5c-bfd2-56be-af32-181bfd1c8f95,Items,1,Arch. 1008 (2),isad:mpm:284,10 R 8 C,Los stuk,,Nederlands,remarks
tg:mpmak:351,304f6493-7f33-5c48-88e1-a0071ed22d39,Items,1,Arch. 89,isad:mpm:42,10 Q 2 D,,p. 109-112,Nederlands,remarks
tg:mpmak:214,70cc1a27-3b03-56c4-b083-d22cdb40e79c,Items,1,Arch. 337,isad:mpm:334,10 Q 5 C,Los stuk tussen fol. 41 links-rechts,,Nederlands,remarks
tg:mpmak:73,1a5f2b27-cf11-501d-8c92-5580986334f9,Items,1,Arch. 921,isad:mpm:275,10 R 8 D,Los stuk,,Nederlands,remarks
tg:mpmak:347,63df3ae3-d2de-5da4-a3d9-ff071fc9c1ba,Items,1,Arch. 1214-1215,isad:mpm:568,10 R 7 F,,"band 2, stuk 20",Nederlands,remarks
tg:mpmak:202,6367bb70-e0bf-5b47-b9b4-4068ab744e6c,Items,1,Arch. 187,isad:mpm:333,10 Q 3 A,Los stuk 1-2 vooraan,,Nederlands,remarks
tg:mpmak:24,ff59afd6-52d7-525b-8f1a-c6f4d3c9f911,Items,1,Zaal 14 linkse kader,isad:mpm:245,,,bovenaan,Nederlands,remarks
tg:mpmak:193,c3772d5a-9caa-56af-a9c3-3eff0699b645,Items,1,Arch. 498,isad:mpm:302,10 Q 6 C,Los stuk 2 tussen fol. 138 links-rechts,,Nederlands,remarks
tg:mpmak:310,623dd63c-e26e-55d7-87c4-338d87093cab,Items,1,Arch. 133,isad:mpm:334,10 Q 3 D,,los stuk tussen fol. 51 links-rechts,Nederlands,remarks
tg:mpmak:255,ae1b3d96-ce9e-56d5-9b19-8669b9bb0b84,Items,1,Arch. 1460,isad:mpm:355,10 R 3 B,,5,Nederlands,remarks
tg:mpmak:107,ed92343e-6b0c-5517-af9d-c1f1f6c14f8c,Items,1,Arch. 322,isad:mpm:333,10 Q 5 D,Ingebonden tussen fol. 1 links-rechts,,Nederlands,remarks
tg:mpmak:150,0535cd5a-8508-5633-9ed8-fcb7734e5423,Items,1,Arch. 319,isad:mpm:334,10 Q 5 D,Los stuk tussen fol. 178 links-rechts,,Nederlands,remarks
tg:mpmak:279,b6283bf7-ef32-55e6-ab11-946b0a31fa38,Items,1,Arch. 286,isad:mpm:238,10 Q 4 A,tussen fol. 95-96,los stuk 4,Nederlands,remarks
tg:mpmak:296,b55bf815-8869-58ab-aa2d-aec104bcf5c5,Items,1,Arch. 134,isad:mpm:333,10 Q 3 D,,los stuk tussen fol. 301 links-rechts,Nederlands,remarks
tg:mpmak:146,6e2772e4-4b9c-5f79-962f-f1d0224c7e6a,Items,1,Arch. 319,isad:mpm:333,10 Q 5 D,Los stuk 2 tussen fol. 144 links-rechts,,Nederlands,remarks
tg:mpmak:280,19737f0b-bfb9-540e-ad6e-be624d3d480b,Items,1,Arch. 104,isad:mpm:561,10 Q 2 B,,p. 221-232,Nederlands,remarks
tg:mpmak:49,ac72dd9a-73a7-5567-9190-5ba65edc39d0,Items,1,Arch. 42,isad:mpm:256,10 Q 1 C,Derde stuk van de lias met losse stukken,,Nederlands,remarks
tg:mpmak:111,38c190df-eb02-5a5c-a9ba-a012d9850743,Items,1,Arch. 322,isad:mpm:334,10 Q 5 D,Los stuk 3 tussen fol. 47 links-rechts,,Nederlands,remarks
tg:mpmak:238,a73d1617-68f4-51e6-9cce-d930b26bf3e7,Items,1,Arch. 95 bis,isad:mpm:338,10 Q 2 C,,B.k.3.2,Nederlands,remarks
tg:mpmak:239,ce47e5f7-56e0-563f-902a-9c8363e6c193,Items,1,Arch. 95 bis,isad:mpm:338,10 Q 2 C,,B.k.3.3,Nederlands,remarks
tg:mpmak:48,e7176069-c946-5bfb-a88b-b43b4b0b64da,Items,1,Arch. 42,isad:mpm:256,10 Q 1 C,Tweede stuk van de lias met losse stukken,,Nederlands,remarks
tg:mpmak:110,ea8027d3-6f0c-557e-995f-14184239617c,Items,1,Arch. 322,isad:mpm:334,10 Q 5 D,Los stuk 2 tussen fol. 47 links-rechts,,Nederlands,remarks
tg:mpmak:281,b56d499f-8ab6-5605-b1f1-e494d979fb63,Items,1,SCH HF FA 38,isad:mpm:388,10 Q 4 E,,,Nederlands,remarks
tg:mpmak:147,7a5672ea-4e3a-53d3-8fed-0a2eb6bbab44,Items,1,Arch. 319,isad:mpm:334,10 Q 5 D,Los stuk tussen fol. 156 links-rechts,,Nederlands,remarks
tg:mpmak:278,e3c2fd80-7f3f-5856-86e7-f3a62ab65c99,Items,1,Arch. 286,isad:mpm:238,10 Q 4 A,tussen fol. 28-29,los stuk 2,Nederlands,remarks
tg:mpmak:297,dfb6d1de-6ff2-52c6-a70c-6ed491ba63ca,Items,1,Arch. 134,isad:mpm:556,10 Q 3 D,,los stuk 1 tussen fol. 349 links-rechts,Nederlands,remarks
tg:mpmak:151,224d9d00-0803-5155-86f9-59d7cdea0c8a,Items,1,Arch. 319,isad:mpm:333,10 Q 5 D,Los stuk 1 tussen fol. 183 links-rechts,,Nederlands,remarks
tg:mpmak:106,d1fe45a6-7401-53b4-ba72-c4acc9a1c4d8,Items,1,Arch. 746,isad:mpm:334,10 R 9 D,Los stuk vooraan bij de alfabetische index,,Nederlands,remarks
tg:mpmak:311,8f3120fc-19f9-508d-b595-011936ba8380,Items,1,Arch. 133,isad:mpm:334,10 Q 3 D,,los stuk tussen fol. 61 links-rechts,Nederlands,remarks
tg:mpmak:254,384702b3-f2cb-5384-8228-6a2d56d9f88a,Items,1,Arch. 1460,isad:mpm:353,10 R 3 B,,4,Nederlands,remarks
tg:mpmak:25,de180aae-e556-5094-94af-9aa2d3821821,Items,1,R 63.8 IV,isad:mpm:245,15 H 2 I,,6,Nederlands,remarks
tg:mpmak:192,806f8195-199c-598a-8da6-599fc058858e,Items,1,Arch. 498,isad:mpm:334,10 Q 6 C,Los stuk 1 tussen fol. 138 links-rechts,,Nederlands,remarks
tg:mpmak:346,a9a0f113-2c5a-58ba-9d65-9bef8aa3a9df,Items,1,Arch. 353 (2),isad:mpm:567,10 Q 5 C,,los stuk tussen p. 270-271,Nederlands,remarks
tg:mpmak:203,ed7ddb61-11da-5693-b503-ccf22244ec16,Items,1,Arch. 43.1,isad:mpm:334,10 Q 1 C,Los stuk tussen fol. 72 links-rechts,,Nederlands,remarks
tg:mpmak:72,6b2b5f77-d852-5193-8d8d-05696a203ba5,Items,1,Arch. 870,isad:mpm:284,10 R 8 D,Arch. 863-898 zijn samen in een moderne convoluutband ingebonden,,Nederlands,remarks
tg:mpmak:350,4cc6e957-af47-5a9a-ac9f-3f57a9185c31,Items,1,Arch. 89,isad:mpm:42,10 Q 2 D,,p. 475-476,Nederlands,remarks
tg:mpmak:215,c8bf8ac0-1f7e-5b35-bf4d-6770c004df77,Items,1,Arch. 337,isad:mpm:275,10 Q 5 C,Los stuk 1 tussen fol. 81-82,,Nederlands,remarks
tg:mpmak:64,f5c179b2-516c-5c58-94d2-3c229e4c8c29,Items,1,Arch. 1008 (2),isad:mpm:284,10 R 8 C,Los stuk,,Nederlands,remarks
tg:mpmak:307,0e55c946-56fc-57f7-800b-51fcf5b7ff2b,Items,1,Arch. 111,isad:mpm:275,10 Q 2 A,,los stuk tussen fol. 115 links-rechts,Nederlands,remarks
tg:mpmak:242,88dac751-9023-5f4c-b3b2-7ca8282b8855,Items,1,Arch. 95 bis,isad:mpm:338,10 Q 2 C,,B.k.7.1,Nederlands,remarks
tg:mpmak:33,46ebb84d-e773-5947-9551-f1fea91b10fe,Items,1,Arch. 1147,isad:mpm:245,10 R 7 E,,fol. 7,Nederlands,remarks
tg:mpmak:184,2ad4c1fa-8ad9-5187-9783-daa84f34bafb,Items,1,Arch. 498,isad:mpm:333,10 Q 6 C,Los stuk 10 vooraan,,Nederlands,remarks
tg:mpmak:44,8551d554-e49f-5cd2-bcf7-e2ee6354e2cf,Items,1,Arch. 817,isad:mpm:275,10 R 8 F,Los stuk tussen fol. 58 links-rechts,,Nederlands,remarks
tg:mpmak:235,86a4a758-4d7d-50f8-8bc2-b5ec8d5b169f,Items,1,Arch. 95 bis,isad:mpm:338,10 Q 2 C,,B.h.5,Nederlands,remarks
tg:mpmak:13,6a36ab81-9442-5a8c-a694-37940cd30173,Items,1,Arch. 1179,isad:mpm:205,10 R 7 B,,270,Nederlands,remarks
tg:mpmak:262,d3f470c7-3a62-5ef2-badd-09000c133eee,Items,1,Arch. 1460,isad:mpm:361,10 R 3 B,,13,Nederlands,remarks
tg:mpmak:327,db9dd6fc-84e4-5cda-ada6-f44c52283e79,Items,1,Arch. 669,isad:mpm:421,10 Q 8 A,,los stuk tussen fol. 47-48,Nederlands,remarks
tg:mpmak:274,ab2614b9-7fe3-56a0-9c21-e19d4e04ed05,Items,1,Arch. 280,isad:mpm:370,10 Q 4 B,,los stuk 11,Nederlands,remarks
tg:mpmak:331,a5f01d2b-5917-5bd5-89c2-8ebd4c5e1f3e,Items,1,Arch. 301,isad:mpm:567,10 Q 4 A,,los stuk tussen fol. 17 links-rechts,Nederlands,remarks
tg:mpmak:52,190ec66d-6bf1-57a7-a01e-1d30dffbb8ed,Items,1,Arch. 42,isad:mpm:256,10 Q 1 C,Zesde stuk van de lias met losse stukken,,Nederlands,remarks
tg:mpmak:223,0cad9f75-d711-50d7-bc82-e732f4934b9b,Items,1,Arch. 95 bis,isad:mpm:338,10 Q 2 C,,B.a.5.1,Nederlands,remarks
tg:mpmak:29,4312ab52-9639-54cf-9ca5-8f972615d209,Items,1,R 63.8 IV,isad:mpm:245,15 H 2 I,,4,Nederlands,remarks
tg:mpmak:171,92e2f92a-9f6c-595d-b32d-6d05167747f4,Items,1,Arch. 761,isad:mpm:334,10 R 9 C,Los stuk 3 tussen fol. 102 links-rechts,,Nederlands,remarks
tg:mpmak:258,5751d0c2-df53-5d72-bb05-c6a2470e9afd,Items,1,Arch. 1460,isad:mpm:567,10 R 3 B,,8,Nederlands,remarks
tg:mpmak:126,cc1ce48f-50dd-5c75-b6e6-b0067a80d473,Items,1,Arch. 321,isad:mpm:334,10 Q 5 D,Los stuk tussen fol. 112 links-rechts,,Nederlands,remarks
tg:mpmak:91,a733e498-0d9f-5884-87fc-68a2a6e0943a,Items,1,Arch. TS A stuk 5,isad:mpm:327,15 R 1 A,Tussen fol. 144 links-rechts,,Nederlands,remarks
tg:mpmak:68,2710272f-0932-541c-99a7-97b1d34cc378,Items,1,K 1074,isad:mpm:290,Zaal 32,,29,Nederlands,remarks
tg:mpmak:130,47cf333b-c8b7-5007-bffd-1cac013f988e,Items,1,Arch. 321,isad:mpm:334,10 Q 5 D,Los stuk 1 tussen fol. 148 links-rechts,,Nederlands,remarks
tg:mpmak:87,ec26d06d-411a-514f-867d-712b9bdf9532,Items,1,Arch. 91,isad:mpm:316,10 Q 2 D,,stuk II,Nederlands,remarks
tg:mpmak:167,9fda81e9-b4d7-51b9-a9c1-b69ac9ee4b9f,Items,1,Arch. 761,isad:mpm:334,10 R 9 C,Los stuk 2 tussen fol. 52 links-rechts,,Nederlands,remarks
tg:mpmak:188,db60acd0-4fa3-584f-894c-6d0a828d2098,Items,1,Arch. 498,isad:mpm:333,10 Q 6 C,Los stuk 1 tussen fol. 22 links-rechts,,Nederlands,remarks
tg:mpmak:34,49378a0a-2619-5dbd-a108-29fc6540440c,Items,1,Arch. 1147,isad:mpm:245,10 R 7 E,,fol. 25-26,Nederlands,remarks
tg:mpmak:183,1cc0f223-edd2-56d9-a312-ddca9a46476b,Items,1,Arch. 498,isad:mpm:334,10 Q 6 C,Los stuk 9 vooraan,,Nederlands,remarks
tg:mpmak:300,8ef821da-d11d-5397-868d-7114c5bd311e,Items,1,Arch. 134,isad:mpm:333,10 Q 3 D,,los stuk 4 tussen fol. 349 links-rechts,Nederlands,remarks
tg:mpmak:245,40d900ea-9c6c-5589-97fa-ed518d3af2cc,Items,1,Arch. 95 bis,isad:mpm:338,10 Q 2 C,,B.k.X2,Nederlands,remarks
tg:mpmak:63,44a08216-abdd-5360-b18b-6d184364d9d3,Items,1,Arch. 1006,isad:mpm:284,10 R 8 C,Los stuk,,Nederlands,remarks
tg:mpmak:357,6c9a3b6b-ddd3-594c-bb98-8f5a90a55333,Items,1,SCH HF FA 26,isad:mpm:393,15 Q 4 E,,,Nederlands,remarks
tg:mpmak:212,7f313a7b-8908-5715-a298-e4bb13353465,Items,1,Arch. 337,isad:mpm:333,10 Q 5 C,Los stuk tussen fol. 33 links-rechts,,Nederlands,remarks
tg:mpmak:75,82ef7be7-8e9c-55cf-a0ff-9474f12230d5,Items,1,Arch. 953,isad:mpm:275,10 R 8 D,Los stuk,,Nederlands,remarks
tg:mpmak:341,a1a7cc33-bad6-5d62-a3c8-eed539625630,Items,1,Arch. 353 (2),isad:mpm:567,10 Q 5 C,,los stuk 5 tussen p. 148-149,Nederlands,remarks
tg:mpmak:204,9aa2b57b-785c-54bd-8cbc-e34831bf903b,Items,1,Arch. 43.1,isad:mpm:334,10 Q 1 C,Los stuk tussen fol. 57 links-rechts,,Nederlands,remarks
tg:mpmak:195,2b35c8d5-d0e5-510f-aac3-6fab69a6842d,Items,1,Arch. 498,isad:mpm:334,10 Q 6 C,3 losse stukken tussen fol. 143 links-rechts,,Nederlands,remarks
tg:mpmak:316,3f795fa8-cc5d-5283-b74a-0c34a482ecb5,Items,1,Arch. 133,isad:mpm:334,10 Q 1 D,,los stuk tussen fol. 282 links-rechts,Nederlands,remarks
tg:mpmak:253,ac146845-12fe-55b1-9a37-11950e554f2a,Items,1,Arch. 1460,isad:mpm:353,10 R 3 B,,3,Nederlands,remarks
tg:mpmak:59,5fed3d1c-3758-54a7-9a95-f9fa5c7c671f,Items,1,Arch. 995,isad:mpm:284,10 R 8 C,Los stuk,,Nederlands,remarks
tg:mpmak:101,3567426e-85da-51f2-90f1-203e03078b84,Items,1,Arch. TS B stuk 3,isad:mpm:328,15 R 1 A,,,Nederlands,remarks
tg:mpmak:228,6bb2aaf6-0507-5916-926d-0508e8cc2321,Items,1,Arch. 95 bis,isad:mpm:338,10 Q 2 C,,B.b.11,Nederlands,remarks
tg:mpmak:156,331184aa-7241-54df-a5a2-855105e81c1c,Items,1,Arch. 319,isad:mpm:334,10 Q 5 D,Los stuk 5 tussen fol. 196 links-rechts,,Nederlands,remarks
tg:mpmak:290,f9e26d3c-37f9-5c6e-8a04-cf5f32ae278c,Items,1,Arch. 128,isad:mpm:334,10 Q 3 D,,los stuk tussen fol. 16 links-rechts,Nederlands,remarks
tg:mpmak:18,301a244a-7da1-5132-8326-287a7034ae8c,Items,1,Arch. 432,isad:mpm:253,10 Q 6 E,,los stuk nr. [2],Nederlands,remarks
tg:mpmak:140,353c5c9d-cc97-5ce9-a412-e299be9186c2,Items,1,Arch. 319,isad:mpm:333,10 Q 5 D,Los stuk tussen fol. 50 links-rechts,,Nederlands,remarks
tg:mpmak:269,17929a17-9a68-5a3b-ae82-5e6ea8e22681,Items,1,Arch. 279,isad:mpm:366,10 Q 4 B,,los stuk 2,Nederlands,remarks
tg:mpmak:286,db800c7a-f282-55f4-b9f6-7eb65a63e95d,Items,1,Arch. 290,isad:mpm:556,10 Q 4 A,tussen folio's 21-22,los stuk 2,Nederlands,remarks
tg:mpmak:249,90723a45-ac70-5075-acf5-6d6de111b164,Items,1,Arch. 102,isad:mpm:278,10 Q 2 B,,p. 411-414,Nederlands,remarks
tg:mpmak:38,3906361b-e3e2-54d1-b0f2-dc134a472714,Items,1,Doos M8,isad:mpm:567,15 R 6 C,,Stuk 3510,Nederlands,remarks
tg:mpmak:160,89efcf60-ec42-5d6b-a967-f29e208e8aa5,Items,1,Arch. 319,isad:mpm:334,10 Q 5 D,Los stuk tussen fol. 214 links-rechts,,Nederlands,remarks
tg:mpmak:137,2e9d3b70-cc3d-565d-90fc-598ac9a3b00e,Items,1,Arch. 321,isad:mpm:334,10 Q 5 D,Los stuk 1 tussen fol. 168 links-rechts,,Nederlands,remarks
tg:mpmak:80,563136cf-6f2f-5cd6-a591-3b314e55ac86,Items,1,Arch. 247,isad:mpm:333,10 Q 4 C,Los stuk tussen fol. 181-182,,Nederlands,remarks
tg:mpmak:208,36a3d200-ee4b-5857-96a2-edbae7510816,Items,1,Arch. 95 bis,isad:mpm:339,10 Q 2 C,,C.b annex 2,Nederlands,remarks
tg:mpmak:121,4bcd8c83-b31e-5038-81d3-e761e4dc3293,Items,1,Arch. 321,isad:mpm:334,10 Q 5 D,Los stuk tussen fol. 40 links-rechts,,Nederlands,remarks
tg:mpmak:96,f5c777c2-b746-58c7-b637-0d43faaa684c,Items,1,Arch. TS A stuk 11,isad:mpm:330,15 R 1 A,Tussen fol. 144 links-rechts,,Nederlands,remarks
tg:mpmak:176,10bb1e3e-f96f-5ae2-854e-465b1430584d,Items,1,Arch. 753,isad:mpm:334,10 R 9 D,Los stuk 2 tussen fol. 15 links-rechts,,Nederlands,remarks
tg:mpmak:199,1a27a405-4f9b-5aae-88e4-36a7769e6661,Items,1,Arch. 754,isad:mpm:334,10 R 9 D,Los stuk tussen fol. 70 links-rechts,,Nederlands,remarks
tg:mpmak:224,0e3d92c0-d950-5219-8f34-214124603e7e,Items,1,Arch. 95 bis,isad:mpm:338,10 Q 2 C,,B.a.5.2,Nederlands,remarks
tg:mpmak:55,5a36c39f-3aa0-54ae-8150-d5970e7813fd,Items,1,Arch. 712,isad:mpm:567,10 Q 9 C,,Deel 3 stuk 69,Nederlands,remarks
tg:mpmak:273,d168c7f0-4512-5103-bdea-c9fe32aec1dc,Items,1,Arch. 280,isad:mpm:366,10 Q 4 B,,los stuk 1,Nederlands,remarks
tg:mpmak:336,737fcb23-f90b-5f64-9b1d-aa54b4107424,Items,1,Arch. 353 (2),isad:mpm:567,10 Q 5 C,,los stuk 1 tussen p. 146-147,Nederlands,remarks
tg:mpmak:265,3e0c6bf1-30bb-5838-9613-cefee765d9fd,Items,1,Arch. 697,isad:mpm:256,10 Q 9 D,,93,Nederlands,remarks
tg:mpmak:320,a3a3c4fe-de0a-54ae-95d4-bf0d5934d9bf,Items,1,Arch. 320,isad:mpm:334,10 Q 5 D,,los stuk achteraan,Nederlands,remarks
tg:mpmak:232,4e89f0ad-1e85-5728-9c29-505c186e7e3a,Items,1,Arch. 95 bis,isad:mpm:338,10 Q 2 C,,B.g.5.1,Nederlands,remarks
tg:mpmak:43,4273c440-cdfe-501d-8c83-ff13c44d9749,Items,1,Arch. 817,isad:mpm:275,10 R 8 F,Los stuk tussen fol. 119 links-rechts,,Nederlands,remarks
tg:mpmak:42,2e586fb1-9fac-5e5b-916c-f9a014fd31ef,Items,1,Arch. 817,isad:mpm:275,10 R 8 F,Los stuk tussen fol. 44 links-rechts,,Nederlands,remarks
tg:mpmak:233,ca8f2c8a-fb64-54bf-8f9e-6fd074c85afb,Items,1,Arch. 95 bis,isad:mpm:338,10 Q 2 C,,B.h.1.2,Nederlands,remarks
tg:mpmak:15,99003766-9415-5d2b-98e7-d79b7807c2bb,Items,1,Arch. 334,isad:mpm:245,10 Q 5 C,,fol. 77-78,Nederlands,remarks
