Object Number,Record Type,URL,ResourceID,Reference Number,Keeper,Keeper Identifier,Object Identifier,Record ID Type,Object Number Type,Keeper Identifier Type,URL Type,Object Identifier Type,Reference Number Type,order,card
tg:rubgr:4378,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:4378/N,64406cd4-edb6-5f4c-9e88-3764c1ee8d7e,BE-ANN14/gr/000004378,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/64406cd4-edb6-5f4c-9e88-3764c1ee8d7e'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:1480,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:1480/N,99e04a98-4ac2-52c7-b64f-da4222e200ca,BE-ANN14/gr/000001480,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/99e04a98-4ac2-52c7-b64f-da4222e200ca'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:4682,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:4682/N,05d2eeb3-d4a9-58b4-89cb-c7d6aaf78690,BE-ANN14/gr/000004682,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/05d2eeb3-d4a9-58b4-89cb-c7d6aaf78690'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:3147,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:3147/N,02b37b98-cbe0-5fb3-b6c1-4d511a22f6a6,BE-ANN14/gr/000003147,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/02b37b98-cbe0-5fb3-b6c1-4d511a22f6a6'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:4728,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:4728/N,d0f6eebb-4597-58ee-a548-d2f9abe50c18,BE-ANN14/gr/000004728,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/d0f6eebb-4597-58ee-a548-d2f9abe50c18'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:3517,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:3517/N,14674ec5-b20b-54f8-a0dd-6eeff3662b65,BE-ANN14/gr/000003517,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/14674ec5-b20b-54f8-a0dd-6eeff3662b65'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:3002,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:3002/N,96f47cb1-845a-5456-be1b-c99de6435098,BE-ANN14/gr/000003002,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/96f47cb1-845a-5456-be1b-c99de6435098'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:3452,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:3452/N,0cbc5376-9de4-5745-934b-adc4a75620f4,BE-ANN14/gr/000003452,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/0cbc5376-9de4-5745-934b-adc4a75620f4'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:4397,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:4397/N,b840ac08-cebe-5b43-9d4b-d23eb0824fd6,BE-ANN14/gr/000004397,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/b840ac08-cebe-5b43-9d4b-d23eb0824fd6'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:1195,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:1195/N,5f897ac2-3b74-58c3-afe1-93bf18dde5b1,BE-ANN14/gr/000001195,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/5f897ac2-3b74-58c3-afe1-93bf18dde5b1'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:3901,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:3901/N,062dc996-a6c4-53b5-a686-0be875cba668,BE-ANN14/gr/000003901,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/062dc996-a6c4-53b5-a686-0be875cba668'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:2613,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:2613/N,5f509661-a9ca-5428-9cea-3150684758e9,BE-ANN14/gr/000002613,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/5f509661-a9ca-5428-9cea-3150684758e9'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:909,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:909/N,e0839940-5a02-50bd-a1ba-7cfde883b18b,BE-ANN14/gr/000000909,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/e0839940-5a02-50bd-a1ba-7cfde883b18b'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:2243,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:2243/N,57cc4063-7502-5da8-80b9-da9450e6c6fd,BE-ANN14/gr/000002243,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/57cc4063-7502-5da8-80b9-da9450e6c6fd'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:1896,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:1896/N,39a30026-c5b6-5d06-b3d8-447ee35a1125,BE-ANN14/gr/000001896,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/39a30026-c5b6-5d06-b3d8-447ee35a1125'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:2097,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:2097/N,e104c4c3-fe40-532d-9da9-d237162a0bc2,BE-ANN14/gr/000002097,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/e104c4c3-fe40-532d-9da9-d237162a0bc2'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:4840,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:4840/N,f9f80cdc-0a47-5a8e-9669-c764a530bb62,BE-ANN14/gr/000004840,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/f9f80cdc-0a47-5a8e-9669-c764a530bb62'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:5302,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:5302/N,987c6b60-4cc7-56ca-936e-59575c805ea1,BE-ANN14/gr/000005302,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/987c6b60-4cc7-56ca-936e-59575c805ea1'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:374,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:374/N,41e38a9a-6f5e-5bf8-98c6-f32568556140,BE-ANN14/gr/000000374,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/41e38a9a-6f5e-5bf8-98c6-f32568556140'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:4143,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:4143/N,e11f0dc2-77c3-518c-ae46-fc8c0565d2b0,BE-ANN14/gr/000004143,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/e11f0dc2-77c3-518c-ae46-fc8c0565d2b0'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:3686,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:3686/N,477e1f1e-82f0-5115-9c03-ea756c61c88c,BE-ANN14/gr/000003686,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/477e1f1e-82f0-5115-9c03-ea756c61c88c'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:2994,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:2994/N,b704a3d9-22ea-59f6-b744-e171ebe104cd,BE-ANN14/gr/000002994,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/b704a3d9-22ea-59f6-b744-e171ebe104cd'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:1341,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:1341/N,5aab0c53-660f-57e2-b49c-91f337918879,BE-ANN14/gr/000001341,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/5aab0c53-660f-57e2-b49c-91f337918879'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:724,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:724/N,24a49520-d1ce-5fbe-92d3-c1fb10ef60e0,BE-ANN14/gr/000000724,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/24a49520-d1ce-5fbe-92d3-c1fb10ef60e0'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:4513,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:4513/N,3e4b4143-f2a7-54b2-96a0-a3b017eb7c9d,BE-ANN14/gr/000004513,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/3e4b4143-f2a7-54b2-96a0-a3b017eb7c9d'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:1711,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:1711/N,85669e8d-0b85-5323-9b8e-ca03726fde9a,BE-ANN14/gr/000001711,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/85669e8d-0b85-5323-9b8e-ca03726fde9a'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:3239,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:3239/N,e5f05bd4-f21f-5d6a-8fe7-536c6743fe4a,BE-ANN14/gr/000003239,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/e5f05bd4-f21f-5d6a-8fe7-536c6743fe4a'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:1204,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:1204/N,37d082ee-a2da-5915-ad80-b13dc3b6d667,BE-ANN14/gr/000001204,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/37d082ee-a2da-5915-ad80-b13dc3b6d667'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:231,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:231/N,fcb9061a-6de6-5007-9932-c937b7042d63,BE-ANN14/gr/000000231,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/fcb9061a-6de6-5007-9932-c937b7042d63'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:4006,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:4006/N,b6b453a5-ab21-53cb-b91f-d115ef354dae,BE-ANN14/gr/000004006,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/b6b453a5-ab21-53cb-b91f-d115ef354dae'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:3669,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:3669/N,c175cc93-d67a-5745-8485-9fb1faf5666c,BE-ANN14/gr/000003669,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/c175cc93-d67a-5745-8485-9fb1faf5666c'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:1654,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:1654/N,2adc565c-6170-5992-a802-273c15dcda24,BE-ANN14/gr/000001654,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/2adc565c-6170-5992-a802-273c15dcda24'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:661,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:661/N,df17dc10-e8e9-5044-8979-8b2d2d332b9e,BE-ANN14/gr/000000661,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/df17dc10-e8e9-5044-8979-8b2d2d332b9e'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:3393,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:3393/N,01a49b67-ede1-59a9-9003-7c061ca13a10,BE-ANN14/gr/000003393,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/01a49b67-ede1-59a9-9003-7c061ca13a10'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:4456,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:4456/N,b24c8ba3-f3e6-554f-9541-fb5ece6e41ee,BE-ANN14/gr/000004456,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/b24c8ba3-f3e6-554f-9541-fb5ece6e41ee'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:2428,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:2428/N,7b1bd15d-d0e8-5f0e-856e-8b2ace0d88e1,BE-ANN14/gr/000002428,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/7b1bd15d-d0e8-5f0e-856e-8b2ace0d88e1'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:4905,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:4905/N,fabccf21-9995-5ccd-9e75-8e7997354b98,BE-ANN14/gr/000004905,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/fabccf21-9995-5ccd-9e75-8e7997354b98'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:2078,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:2078/N,f4ec75da-33fb-5cf0-96ed-3553e0d4fb63,BE-ANN14/gr/000002078,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/f4ec75da-33fb-5cf0-96ed-3553e0d4fb63'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:5247,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:5247/N,016b15a7-0bde-5ec2-834b-d4703f2b6115,BE-ANN14/gr/000005247,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/016b15a7-0bde-5ec2-834b-d4703f2b6115'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:2582,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:2582/N,5acddff4-5d6b-548b-817e-a86676e13b5b,BE-ANN14/gr/000002582,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/5acddff4-5d6b-548b-817e-a86676e13b5b'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:3540,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:3540/N,c9ff9385-2174-5ea8-821b-0802cd7a1953,BE-ANN14/gr/000003540,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/c9ff9385-2174-5ea8-821b-0802cd7a1953'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:4285,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:4285/N,1514792e-3e16-54a2-b56b-c571cdf35651,BE-ANN14/gr/000004285,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/1514792e-3e16-54a2-b56b-c571cdf35651'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:1087,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:1087/N,b886df7e-ccc2-5d00-b7cd-d8a9a8609982,BE-ANN14/gr/000001087,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/b886df7e-ccc2-5d00-b7cd-d8a9a8609982'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:548,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:548/N,c315f4ea-959d-5b39-8732-1fb756681fbe,BE-ANN14/gr/000000548,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/c315f4ea-959d-5b39-8732-1fb756681fbe'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:3110,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:3110/N,cd4ab1db-574b-54d8-8497-308a25a2e8cb,BE-ANN14/gr/000003110,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/cd4ab1db-574b-54d8-8497-308a25a2e8cb'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:118,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:118/N,35c2c230-fe43-5875-a049-bd21169bcb71,BE-ANN14/gr/000000118,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/35c2c230-fe43-5875-a049-bd21169bcb71'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:2351,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:2351/N,fe54e921-fad2-5e80-a656-644a6448268c,BE-ANN14/gr/000002351,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/fe54e921-fad2-5e80-a656-644a6448268c'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:40,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:40/N,f90763f1-f0c5-56b3-ae58-d367b5e90140,BE-ANN14/gr/000000040,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/f90763f1-f0c5-56b3-ae58-d367b5e90140'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:1984,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:1984/N,8283ea4e-c4a6-5ec1-ada7-ee6e6797e3cc,BE-ANN14/gr/000001984,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/8283ea4e-c4a6-5ec1-ada7-ee6e6797e3cc'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:3813,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:3813/N,11883cd1-c710-58e3-8576-e12f150f5263,BE-ANN14/gr/000003813,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/11883cd1-c710-58e3-8576-e12f150f5263'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:2701,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:2701/N,90b0a06e-5069-56ca-b4be-08993d1fcac4,BE-ANN14/gr/000002701,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/90b0a06e-5069-56ca-b4be-08993d1fcac4'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:2214,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:2214/N,e7d4d48c-5928-521a-af03-bb84076fa249,BE-ANN14/gr/000002214,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/e7d4d48c-5928-521a-af03-bb84076fa249'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:3956,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:3956/N,41639bd3-42ab-5ffa-ba4b-f75e8ee35b46,BE-ANN14/gr/000003956,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/41639bd3-42ab-5ffa-ba4b-f75e8ee35b46'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:2644,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:2644/N,cc85858b-fd77-58e1-b4dd-a3753b829db7,BE-ANN14/gr/000002644,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/cc85858b-fd77-58e1-b4dd-a3753b829db7'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:5181,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:5181/N,ee6a9844-ae37-5767-9a01-bd86f5a3f2aa,BE-ANN14/gr/000005181,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/ee6a9844-ae37-5767-9a01-bd86f5a3f2aa'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:1438,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:1438/N,20cbfe8d-0e3c-5271-b096-e2581d26bd49,BE-ANN14/gr/000001438,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/20cbfe8d-0e3c-5271-b096-e2581d26bd49'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:3405,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:3405/N,a951616b-1876-5e40-bef4-630ba134c8c7,BE-ANN14/gr/000003405,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/a951616b-1876-5e40-bef4-630ba134c8c7'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:rubgr:1592,Grossman,https://anet.be/record/opacrubobj/tg:rubgr:1592/N,62b98cf5-fbc9-59c2-8f38-5621e0d90b65,BE-ANN14/gr/000001592,Rubenianum,{'url': 'https://data.antwerpen.be/Ark:/83110/b39b758e-3ecf-5e33-801a-8bc360fd2214'},{'url': 'https://id.rubenianum.be//ark:/86530/62b98cf5-fbc9-59c2-8f38-5621e0d90b65'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
