brocade.id,ResourceID,card,order,Archive Note,Warehouse Location (begin),Warehouse Location (ende),Source Note,Serial Number,Source Note Language,Source Note Type
tg:rubhs:176,58f9caae-36f5-5268-95c3-6b6008397d6b,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,113,Nederlands,Noot
tg:rubhs:199,b459deaa-ca58-5669-aa67-8ba057c13a8e,Items,1,isad:rub:911,,,RA 001 / 122,129,Nederlands,Noot
tg:rubhs:55,162d1564-e5ba-56ec-b3b4-ef157376760e,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,5,Nederlands,Noot
tg:rubhs:14,6cb7ea80-d572-507a-96ae-037c5456fab9,Items,1,isad:rub:314,,,RA 001 / 001,10,Nederlands,Noot
tg:rubhs:43,1f383322-e8b4-573b-86ee-bc6813d2abbd,Items,1,isad:rub:314,,,RA 001 / 001,39,Nederlands,Noot
tg:rubhs:42,f796fdf7-8d51-535e-842d-58981ff831bd,Items,1,isad:rub:314,,,RA 001 / 001,38,Nederlands,Noot
tg:rubhs:15,62d47886-01c6-526e-8bb0-9edb3250b286,Items,1,isad:rub:314,,,RA 001 / 001,11,Nederlands,Noot
tg:rubhs:54,7c8bfada-027d-59c3-a98b-721d66367ea8,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,4,Nederlands,Noot
tg:rubhs:177,8f7639cb-98ff-5006-aaf5-f02dd8d29b35,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,114,Nederlands,Noot
tg:rubhs:198,16b14bac-f4f7-5c30-8175-7c001926a264,Items,1,isad:rub:911,,,RA 001 / 122,128,Nederlands,Noot
tg:rubhs:78,a5efeb61-b101-58a6-89dd-4e0f5ebc0e0b,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,28,Nederlands,Noot
tg:rubhs:120,be7a0d92-7297-5e93-a370-d2702df1c042,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,61,Nederlands,Noot
tg:rubhs:97,3a0f4383-2dc1-507e-badf-09bf52c28b5f,Items,1,isad:rub:315,T 2 20 2,T 2 20 2,RA 001 / 002,3,Nederlands,Noot
tg:rubhs:209,3baa811e-a310-587f-bb59-d0447c53d0e7,Items,1,isad:rub:911,,,RA 001 / 122,139,Nederlands,Noot
tg:rubhs:136,afcbab71-31c7-506c-b51b-433c89feac93,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,77,Nederlands,Noot
tg:rubhs:81,51b168ce-729d-54c0-a9ce-7b6a533a96b6,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,31,Nederlands,Noot
tg:rubhs:5,b60f8b49-fe75-52a5-9c7d-6b7ebc8bb095,Items,1,isad:rub:314,,,RA 001 / 001,1,Nederlands,Noot
tg:rubhs:39,8dbee85f-5fa3-5a90-9213-400b10872b48,Items,1,isad:rub:314,,,RA 001 / 001,35,Nederlands,Noot
tg:rubhs:116,91ee98a4-3d3a-5ddf-b8fe-2c74ed627849,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,57,Nederlands,Noot
tg:rubhs:19,cecae92a-7ba7-5736-aedd-5bb257ebc095,Items,1,isad:rub:314,,,RA 001 / 001,15,Nederlands,Noot
tg:rubhs:141,6df0a930-ab2d-5f2c-9379-39ba8439b92e,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,81,Nederlands,Noot
tg:rubhs:157,41eac4eb-3b74-56f5-9d08-c0c998a6ae5e,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,96,Nederlands,Noot
tg:rubhs:58,7c6f8d0d-b144-5810-a5fa-599e8c9c5cce,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,8,Nederlands,Noot
tg:rubhs:100,3aed7578-560b-5a55-b79a-491492b5e8ae,Items,1,isad:rub:315,T 2 20 2,T 2 20 2,RA 001 / 002,5,Nederlands,Noot
tg:rubhs:23,18455cb0-af81-5990-8c2f-9be2d557f2df,Items,1,isad:rub:314,,,RA 001 / 001,19,Nederlands,Noot
tg:rubhs:194,bf0f985e-b085-5f46-bdf2-050b8a2c7638,Items,1,isad:rub:911,,,RA 001 / 122,124,Nederlands,Noot
tg:rubhs:205,5e2ac8ce-bc6f-5923-bc03-5c33df7689ff,Items,1,isad:rub:911,,,RA 001 / 122,135,Nederlands,Noot
tg:rubhs:74,f6809f2c-1600-5325-bdd0-74bd2281af3e,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,24,Nederlands,Noot
tg:rubhs:213,127afc38-d546-52da-9db8-2043726f5b2c,Items,1,isad:rub:324,,,RA 001 / 050,,Nederlands,Noot
tg:rubhs:62,845bc693-2538-5d6d-9e00-26cf91dec288,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,12,Nederlands,Noot
tg:rubhs:9,a6f753c8-f1e2-57f2-bcd7-0745988c4e23,Items,1,isad:rub:314,,,RA 001 / 001,5,Nederlands,Noot
tg:rubhs:35,d4dcf6bd-130c-51db-839f-e92b544d2111,Items,1,isad:rub:314,,,RA 001 / 001,31,Nederlands,Noot
tg:rubhs:182,f6eaf4a4-b89f-5a65-9a05-3f251d69e2da,Items,1,isad:rub:911,T 2 20 2,T 2 20 2,RA 001 / 122,119,Nederlands,Noot
