brocade.id,ResourceID,card,order,Acquisition Note,Registration Number value,Archive Note,Location Number,Source Note,Warehouse Location (begin),Serial Number,Warehouse Location (ende),Source Note Language,Source Note Type
tg:lhaq:7265,7fe47df2-b25c-57de-86ba-3eeeb1dc802f,Items,1,tr:lh:5300,104373/8,isad:lh:96017,V 444 / I,,,,,Nederlands,Noot
tg:lhaq:6862,f888e53c-7b7f-5eda-ac95-aa2b051f5318,Items,1,,101736,,SC 05 E 1,,,,,Nederlands,Noot
tg:lhaq:9410,c47c4a01-99d1-53eb-a7ac-08dd8532ddba,Items,1,,,,WW 184 / I Planex GT,,,,,Nederlands,Noot
tg:lhaq:9040,7e523bd0-3e26-5b79-99c7-a53ae1773935,Items,1,tr:lh:7497,197416/21,isad:lh:95953,S 5621 / I (Doos 3),"Lode Sebregts ontwierp 20 keer het decor voor de Sinterklaasfeesten van """"Kindervreugd"""".",,,,Nederlands,Noot
tg:lhaq:8344,2b61ded1-a26c-561b-9725-d63764bacf7a,Items,1,,115882/5,,Planex GT / V 36657,,,,,Nederlands,Noot
tg:lhaq:9105,36f3dcad-6f02-5d12-8170-5e0300fa6812,Items,1,tr:lh:30731,220746,isad:lh:96053,Planex KP / G 938,,,,,Nederlands,Noot
tg:lhaq:9386,d76313d7-2822-551e-bd3b-bd2eb52d8f91,Items,1,tr:lh:7497,177576,isad:lh:95953,S 5621 / I (Doos 3),,,,,Nederlands,Noot
tg:lhaq:8981,e7858449-4aee-5a7d-a8e5-c74ce6be6213,Items,1,tr:lh:7497,197413/3,isad:lh:95953,S 5621 / I (Doos 3),,,,,Nederlands,Noot
tg:lhaq:9056,47c481ca-f61f-5261-8694-71437a1c175a,Items,1,tr:lh:7497,197418/2,isad:lh:95953,S 5621 / I (Doos 3),,,,,Nederlands,Noot
tg:lhaq:9113,b6b4cfbd-6905-57de-ac1c-2292644fea94,Items,1,tr:lh:9862,219085,,Planex KP / Z 317,,,,,Nederlands,Noot
tg:lhaq:8702,250a083b-0501-568b-ba75-d10a9ecc254b,Items,1,tr:lh:4996,99068/9,isad:lh:96041,V 114 / I (Doos 1),Het ballet Triomf van de Geest werd in 1959  met een vernieuwde muzikale techniek door Willem Kersters gecomponeerd.,,,,Nederlands,Noot
tg:lhaq:8352,857be082-3b0a-5154-8057-ec1e75de9c1b,Items,1,,215082/3,,GG 297 / I,,,,,Nederlands,Noot
tg:lhaq:8997,f2fb1039-ca12-5090-a905-57367b5eb444,Items,1,tr:lh:7497,197413/21,isad:lh:95953,S 5621 / I (Doos 3),,,,,Nederlands,Noot
tg:lhaq:9001,51827a5f-fa12-5f05-b709-5ad480ca03d3,Items,1,tr:lh:7497,197413/27,isad:lh:95953,S 5621 / I (Doos 3),,,,,Nederlands,Noot
tg:lhaq:8755,bd725bc4-04f3-583c-820c-474b514bd0cd,Items,1,,174222/11,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:8885,5e644e9b-8c42-5a09-a11c-7398fcab3cf6,Items,1,tr:lh:7497,197408/93,isad:lh:95953,S 5621 / I (Doos 2),De rol van Mevrouw Moortgat werd door de actrice Lia Lee vertolkt.,,,,Nederlands,Noot
tg:lhaq:8539,73645e8d-0cfa-5513-b2a7-3248bad2f5ca,Items,1,,215880/9,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:6874,72f54f3f-a150-5694-a12e-a01c8b274310,Items,1,tr:lh:5826,122913/2,,Planex GT / GG 129,"**Opvoering:** KNS van Antwerpen, begin 90ste speeljaar, 1942-1943.

De ontwerpen van Helene Gliewe werden niet gebruikt, de uiteindelijke decors
waren van Lode Ivo.",,,,Nederlands,Noot
tg:lhaq:8884,568f3d0b-4704-536e-b444-6859685cef68,Items,1,tr:lh:7497,197408/92,isad:lh:95953,S 5621 / I (Doos 2),De rol van Karlien werd door de actrice Marilou Mermans vertolkt.,,,,Nederlands,Noot
tg:lhaq:8538,6bead15e-dd1f-5a41-ab64-2fbe3d534e87,Items,1,,215880/8,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:6875,32500481-00ad-5cc6-9385-5d724867352c,Items,1,tr:lh:5826,122913/3,,Planex GT / GG 129,"**Opvoering:** KNS van Antwerpen, begin 90ste speeljaar, 1942-1943.

De ontwerpen van Helene Gliewe werden niet gebruikt, de uiteindelijke decors
waren van Lode Ivo.",,,,Nederlands,Noot
tg:lhaq:9000,c40e1612-6ab9-555a-9a9e-4e36572dfc08,Items,1,tr:lh:7497,197413/25,isad:lh:95953,S 5621 / I (Doos 3),,,,,Nederlands,Noot
tg:lhaq:5473,7fbcfbdf-b237-518f-8195-8a01ecf5725e,Items,1,tr:lh:5006,99191/28,isad:lh:95916,W 655 / I,,,,,Nederlands,Noot
tg:lhaq:8754,132c4bbc-5c0b-5e3c-95e6-1ec56cead60a,Items,1,,174222/10,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:6822,1af7c45e-d188-5cff-b709-c573d438fa6b,Items,1,tr:lh:6310,146465/11,isad:lh:96006,Planex GT / S 87175,"**Publicatie** Cnodder, De, Remi - Ferket, Chris [samenstellers], _Diligence 1976_. Antwerpen, Stichting Oranjehuis, 1976, 12 p. waarvan 10 originele manuscripten met 9 originele illustraties. **Historiek:** Op 9 oktober 1976 vond in het Oranjehuis te Antwerpen de eerste _Diligence_ plaats, enkele tientallen dichters en schilders schreven en illustreerden er in aanwezigheid van het publiek _Diligence 1976_. De originele werken werden gebundeld in exclusieve mappen die elk 10 geïllustreerde gedichten bevatten. De initiatiefnemers waren Chris Ferket en Remi de Cnodder.",,,,Nederlands,Noot
tg:lhaq:8996,007b7cdc-c690-5140-b589-d4ff9e354805,Items,1,tr:lh:7497,197413/20,isad:lh:95953,S 5621 / I (Doos 3),,,,,Nederlands,Noot
tg:lhaq:8646,4bc7e3d7-5841-57ca-98da-dee9181fa431,Items,1,,100130,,"V 152245 / I,Planex GT",,,,,Nederlands,Noot
tg:lhaq:9057,75a1abdb-1639-53d5-bb6a-c5c74a9e24b5,Items,1,tr:lh:674,12989/1,isad:lh:96047,L 1835 / I (Doos 1),"Regie: Ben Royaards

Costumes: Lon Landau

Decor: Jan Brusselmans

Choreographie: Lea Daan

Muziek: Daan Sternefeld",,,,Nederlands,Noot
tg:lhaq:9407,0ee3ddaa-8669-555b-9582-a69cdb5dfd5e,Items,1,,,,WW 184 / I Planex GT,,,,,Nederlands,Noot
tg:lhaq:8703,56df89b0-725e-5494-93c3-058f8bec99e2,Items,1,tr:lh:4841,106050,,V 114 / I (Doos 1),,,,,Nederlands,Noot
tg:lhaq:8353,8d479d7f-0c3f-5774-b7ff-0fc181633b43,Items,1,,215082/4,,GG 297 / I,,,,,Nederlands,Noot
tg:lhaq:8980,9afff349-6522-5a2c-82aa-1226e52fbf68,Items,1,tr:lh:7497,197413/2,isad:lh:95953,S 5621 / I (Doos 3),,,,,Nederlands,Noot
tg:lhaq:9411,622ba33a-189b-54b7-8733-47bab861f04c,Items,1,,,,WW 184 / I Planex GT,,,,,Nederlands,Noot
tg:lhaq:4018,60475ccc-04ee-5b3a-b323-7f314400376e,Items,1,tr:lh:2776,54888,,Planex GT / O 3945,,,,,Nederlands,Noot
tg:lhaq:7634,b1708db9-32f9-5100-93ec-0a909770692d,Items,1,tr:lh:2974,59937/2p,isad:lh:96020,K1,,,,,Nederlands,Noot
tg:lhaq:7264,8b97c304-4c0e-5500-93f2-ad9ff4574784,Items,1,tr:lh:5300,104373/6,isad:lh:96017,V 444 / I,,,,,Nederlands,Noot
tg:lhaq:8607,daa20835-817f-53b4-8e89-e2e74665579a,Items,1,tr:lh:4719,97790/5,isad:lh:96034,Planex GT / V 114,,,,,Nederlands,Noot
tg:lhaq:5465,a33f04e3-91d8-5209-a394-3733e8794a55,Items,1,tr:lh:5006,99191/5,isad:lh:95916,W 655 / I,,,,,Nederlands,Noot
tg:lhaq:9016,627b6916-d114-5336-9386-194ba10730b9,Items,1,tr:lh:7497,197414/6,isad:lh:95953,S 5621 / I (Doos 3),De rol van Catherine Petkoff werd door de actrice Gella Allaert vertolkt.,,,,Nederlands,Noot
tg:lhaq:8312,98c7c3a7-7c41-5589-9c1e-980f131d6f9b,Items,1,tr:lh:1987,37028/3,isad:lh:95994,Planex GT / V 3965,,,,,Nederlands,Noot
tg:lhaq:8555,bdb11b7f-213a-514d-ab0d-e016e2590aec,Items,1,,215880/24,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:8739,1bd81542-9cf4-5758-a665-09bce0f8be95,Items,1,tr:lh:6366,148724/2,,S 5621 / I (Doos 1),,,,,Nederlands,Noot
tg:lhaq:8386,ed4c24d3-a6be-553e-93de-c7759e2f7822,Items,1,,215082/33,,GG 297 / I,,,,,Nederlands,Noot
tg:lhaq:9313,e13bb90a-b811-590b-84f8-0e4b43e9cf0e,Items,1,,221122,,S 5621 / I (Doos 4),,,,,Nederlands,Noot
tg:lhaq:8851,a4d1b039-9547-59da-a319-20bf527b48cf,Items,1,tr:lh:7497,197408/62,isad:lh:95953,S 5621 / I (Doos 2),De rol van Trijn Cornelis werd door de actrice Denise Zimmerman vertolkt.,,,,Nederlands,Noot
tg:lhaq:7618,013710cb-d49e-5a5f-80fe-abf6d2d5027c,Items,1,tr:lh:2974,59937/2a2,isad:lh:96020,K1,,,,,Nederlands,Noot
tg:lhaq:8914,2ade8736-f14f-5c80-b19f-111bfcd41e28,Items,1,tr:lh:7497,197411/1,isad:lh:95953,S 5621 / I (Doos 2),,,,,Nederlands,Noot
tg:lhaq:4608,eaca50e9-a2b1-5fb8-a0ee-01f5852b8d42,Items,1,tr:lh:2692,53210,,Planex GT / T 3465,Ontwerp voor in de Pallieterkalenders (1926-1933). Verhalenkalender voor 1932 (Koppen en volkstypen) dit ontwerp is niet verschenen.,,,,Nederlands,Noot
tg:lhaq:8781,bc87f8bc-ec6e-5916-8b52-9b4bf540188b,Items,1,tr:lh:7497,197404,isad:lh:95953,S 5621 / I (Doos 1),,,,,Nederlands,Noot
tg:lhaq:8847,64bbc520-c97a-50bf-853b-393b9931e47c,Items,1,tr:lh:7497,197408/58,isad:lh:95953,S 5621 / I (Doos 2),,,,,Nederlands,Noot
tg:lhaq:8902,8c4b88a2-ca96-52f8-bd39-fafcc69bbb5e,Items,1,tr:lh:7497,197409/6A,isad:lh:95953,S 5621 / I (Doos 2),,,,,Nederlands,Noot
tg:lhaq:9240,c3fb1960-cda0-544d-87a9-872a18b8132a,Items,1,tr:lh:9266,220992,isad:lh:95930,SC 27 B 2,,,,,Nederlands,Noot
tg:lhaq:8778,2b353e9d-043a-5c67-828b-4299b782a48e,Items,1,tr:lh:7497,197400/25,isad:lh:95953,S 5621 / I (Doos 1),,,,,Nederlands,Noot
tg:lhaq:8328,5e614d04-5f92-5173-aa8b-c47dc2469bb7,Items,1,tr:lh:1987,37028/16,isad:lh:95994,Planex GT / V 3965,,,,,Nederlands,Noot
tg:lhaq:2660,68123689-8b5a-5acc-bb90-ae0cd0b4d7a7,Items,1,tr:lh:4646,88592/3,isad:lh:95930,Planex GT / S,,,,,Nederlands,Noot
tg:lhaq:8543,6a090e5c-ddbd-56da-93b0-a451477d0cb4,Items,1,,215880/13,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:8406,dc6a0330-9a4e-51db-b9b7-d80af8bac5e7,Items,1,,215082/53,,GG 297 / I,,,,,Nederlands,Noot
tg:lhaq:6418,76bc0f43-51bc-569f-bdc9-f677c20b31e5,Items,1,tr:lh:1987,37028/7,isad:lh:95994,Planex GT / V 3965,,,,,Nederlands,Noot
tg:lhaq:8955,47801a30-494f-5b97-b02d-697d1bb0bf8c,Items,1,tr:lh:7497,197412/31,isad:lh:95953,S 5621 / I (Doos 2),"De rol van Venus, een schone vrouw, werd door de actrice Yolande Markey vertolkt.",,,,Nederlands,Noot
tg:lhaq:8685,334956c1-a4ae-5bdf-ad74-55271b46deb8,Items,1,tr:lh:4719,97790/3,isad:lh:96034,V 114 / I (Doos 1),,,,,Nederlands,Noot
tg:lhaq:8390,c7a7e20b-320c-533e-bce5-356f51720cb0,Items,1,,215082/37,,GG 297 / I,,,,,Nederlands,Noot
tg:lhaq:4794,f6719b9e-0549-55cf-b98a-680c18ff2393,Items,1,tr:lh:5448,106961/9,isad:lh:95963,C 3396 / I (doos 2),,,,,Nederlands,Noot
tg:lhaq:9149,283028be-5ff9-51a8-9511-211f0eadf24b,Items,1,tr:lh:6577,162358/1-4,isad:lh:95930,S 7265 / I,,,,,Nederlands,Noot
tg:lhaq:6316,ff5b8a2b-0541-5c68-98e4-7232143f53fa,Items,1,,217788,,H 4055 / I,,,,,Nederlands,Noot
tg:lhaq:8758,05cff2be-6049-5bfc-87ec-bc1128f1d5e9,Items,1,,174222/15,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:8922,d72a6e09-2d1a-58c2-9479-957afbdeca74,Items,1,tr:lh:7497,197411/7,isad:lh:95953,S 5621 / I (Doos 2),De rollen van muzikanten werden  door Lode Sebregts en de acteur Piet Van den Bosch vertolkt.,,,,Nederlands,Noot
tg:lhaq:8888,c543149c-c60d-5b26-82ea-bbb50f923bfc,Items,1,tr:lh:7497,197408/96,isad:lh:95953,S 5621 / I (Doos 2),De rol van Francesco werd door de acteur Leo Madder vertolkt.,,,,Nederlands,Noot
tg:lhaq:6896,5f1a4891-8920-5094-b4c7-7f94ebdfd622,Items,1,,174217,,Planex GT / GG 129,"**Opvoering:** KNS van Antwerpen, 91ste speeljaar, september 1943

**Regie:** Guenther Stark",,,,Nederlands,Noot
tg:lhaq:6879,70535b83-3cf8-5e83-a42d-551a93e15466,Items,1,tr:lh:5826,122913/7,,Planex GT / GG 129,"**Opvoering:** KNS van Antwerpen, begin 90ste speeljaar, 1942-1943.

De ontwerpen van Helene Gliewe werden niet gebruikt, de uiteindelijke decors
waren van Lode Ivo.",,,,Nederlands,Noot
tg:lhaq:8534,242181e7-0708-56ba-9d31-b48239ffc3eb,Items,1,,215880/4,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:8867,3be74b7c-e734-5f65-a72b-d869eaca8dfb,Items,1,tr:lh:7497,197408/77,isad:lh:95953,S 5621 / I (Doos 2),,,,,Nederlands,Noot
tg:lhaq:2928,1879f4d9-f72a-5cf1-a0a0-68ae14beaca2,Items,1,tr:lh:3054,60829/74,isad:lh:95942,B 366 / I,,,,,Nederlands,Noot
tg:lhaq:8563,7c5ba750-3364-503f-b498-e061f83bfd5d,Items,1,,215880/29,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:3010,0191284f-6168-591e-9e37-f70090fcf035,Items,1,,202853,isad:lh:109064,V 1574 / I,,,,,Nederlands,Noot
tg:lhaq:7546,d94736a9-678f-5490-8532-1a2d26565537,Items,1,tr:lh:5702,109863/5,isad:lh:100726,P 7385 / I (doos 1),Uitvoering van gelijkaardige schets 109863/6.,,,,Nederlands,Noot
tg:lhaq:8963,d6852c9e-2fcf-5c73-8359-c36a856124aa,Items,1,tr:lh:7497,197412/38,isad:lh:95953,S 5621 / I (Doos 2),"De rol van Katherina Sheermertens, een jonge maagd, werd door de actrice Tine Balder vertolkt.",,,,Nederlands,Noot
tg:lhaq:8575,c2ee3067-4fbb-5aa7-a8bf-b4e1ef0cc7d0,Items,1,,215880/40A,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:9364,4b9c3b51-371a-5fb4-bd76-66dc5277d0e9,Items,1,tr:lh:5399,105840/25,isad:lh:97242,E 4002 / I,,,,,Nederlands,Noot
tg:lhaq:5469,63d1b81b-19c8-5e4d-b4dc-8b7441c32a1e,Items,1,tr:lh:5006,99191/12,isad:lh:95916,W 655 / I,,,,,Nederlands,Noot
tg:lhaq:6880,1494c5cd-f240-50f2-a41c-3f9d75e67e2b,Items,1,tr:lh:5826,122913/9,,Planex GT / W,"**Opvoering:** KNS van Antwerpen, 99ste speeljaar, november 1951.",,,,Nederlands,Noot
tg:lhaq:7268,9efc5577-e9d2-5763-a51b-31b6cc395976,Items,1,tr:lh:5300,104373/10c,isad:lh:96017,V 444 / I,,,,,Nederlands,Noot
tg:lhaq:8934,703dd598-70db-5c68-a0ff-463a1e9b7b63,Items,1,tr:lh:7497,197411/19,isad:lh:95953,S 5621 / I (Doos 2),"De rol van Julia, dochter van Capulet, werd  door de actrice Stella Blanchart vertolkt.",,,,Nederlands,Noot
tg:lhaq:8871,22d78fa8-d8e3-5e35-9250-20da3441201b,Items,1,tr:lh:7497,197408/81,isad:lh:95953,S 5621 / I (Doos 2),De rol van een van de burgers werd door de acteur Bernard Verheyden vertolkt.,,,,Nederlands,Noot
tg:lhaq:8670,40251589-d63c-558e-becc-1ef216174bfd,Items,1,tr:lh:2339,44074/7,isad:lh:96034,V 114 / I (Doos 1),,,,,Nederlands,Noot
tg:lhaq:2857,bdcd3f98-487c-56d6-b978-b1e585044f31,Items,1,,44579,,"Planex GP / X, 2",,,,,Nederlands,Noot
tg:lhaq:8559,40d4ff2a-dae5-5293-85b2-f643be1c03b9,Items,1,,215880/26,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:9173,66744cba-505a-5f64-b80f-e24e13b342c7,Items,1,tr:lh:30810,220340/2c,,C 345 / I,,,,,Nederlands,Noot
tg:lhaq:8762,3ff4bcc1-5b0a-522e-9ebc-8aab1ecdcb8c,Items,1,,174222/16,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:2380,31f2d82f-1e97-596f-8b17-72ecac35f836,Items,1,,40252,,SC 49 D 1,,,,,Nederlands,Noot
tg:lhaq:9036,c58ef041-9ed9-5d48-bfab-bac464afb985,Items,1,tr:lh:7497,197416/16,isad:lh:95953,S 5621 / I (Doos 3),"Lode Sebregts ontwierp 20 keer het decor voor de Sinterklaasfeesten van """"Kindervreugd"""".",,,,Nederlands,Noot
tg:lhaq:8918,fdd9149a-7b0b-5487-a0c4-aaeaf725c88a,Items,1,tr:lh:7497,197411/4,isad:lh:95953,S 5621 / I (Doos 2),De rol van de gravin Montague werd door de actrice Nora Oosterwijk vertolkt.,,,,Nederlands,Noot
tg:lhaq:8324,e8593977-14c2-5e80-b24b-ce0efe934114,Items,1,tr:lh:1987,37028/9,isad:lh:95994,Planex GT / V 3965,,,,,Nederlands,Noot
tg:lhaq:9020,41347576-53fe-56a4-be3b-14568fb64208,Items,1,tr:lh:7497,197415/10,isad:lh:95953,S 5621 / I (Doos 3),,,,,Nederlands,Noot
tg:lhaq:2396,2232d676-71d0-5e83-832b-691663c6f9e4,Items,1,tr:lh:2190,41401,isad:lh:95924,SC 49 E 2,,,,,Nederlands,Noot
tg:lhaq:8631,389f205f-6b9b-53b0-9237-991b1d7fb01b,Items,1,,100131,,"V 152245 / I,Planex GT",,,,,Nederlands,Noot
tg:lhaq:1693,82e9dacf-64c4-5b0b-ae73-0c2af4fe0f8a,Items,1,,199638/1,,SC 17 B 2,,,,,Nederlands,Noot
tg:lhaq:8689,d283d99b-17cf-5062-aa2e-547b4ec18ad9,Items,1,tr:lh:4719,97790/7,isad:lh:96034,V 114 / I (Doos 1),,,,,Nederlands,Noot
tg:lhaq:8373,00ad60a4-418f-5f32-9116-9a1f07eabde7,Items,1,,215082/20,,GG 297 / I,,,,,Nederlands,Noot
tg:lhaq:8666,74e91a10-0cf9-5f29-8b4e-b391bf6f20ba,Items,1,tr:lh:2339,44074/3,isad:lh:96034,V 114 / I (Doos 1),,,,,Nederlands,Noot
tg:lhaq:2791,4e9cb0a0-dbe8-5743-94f5-25f72b81f000,Items,1,tr:lh:6975,174235/1,isad:lh:95938,A 18647 / I,,,,,Nederlands,Noot
tg:lhaq:3929,675d0d61-7545-54d2-bb7f-b368d2208be9,Items,1,,100724,,"V 152245 / I,Planex GT",,,,,Nederlands,Noot
tg:lhaq:6678,72b32c0f-3cf9-5554-ad70-0c564764bb14,Items,1,tr:lh:5436,107419,isad:lh:95992,Planex GT / D 125,,,,,Nederlands,Noot
tg:lhaq:9427,acd8c747-2297-5833-a6ed-f6931402d589,Items,1,tr:lh:7142,178466,isad:lh:182289,,,,,,Nederlands,Noot
tg:lhaq:8959,c4e0f8cb-5530-59b7-9d96-c189b5844ba2,Items,1,tr:lh:7497,197412/35,isad:lh:95953,S 5621 / I (Doos 2),,,,,Nederlands,Noot
tg:lhaq:9139,de8f3d53-d375-51ff-890b-bea852a2fd86,Items,1,tr:lh:9930,218018/7,isad:lh:96055,Planex GT / H 50494,"Decorontwerp uit map: """"Tooneelen voor Antonio van Herwig Hensen door L. Hendrickx 1942"""".",,,,Nederlands,Noot
tg:lhaq:8682,56b51987-f101-560b-832a-942100f0430f,Items,1,tr:lh:2339,44074/19,isad:lh:96034,V 114 / I (Doos 1),,,,,Nederlands,Noot
tg:lhaq:8378,d575b447-9dae-57b6-b57d-98d179aac622,Items,1,,215082/25,,GG 297 / I,,,,,Nederlands,Noot
tg:lhaq:2630,7860a8d8-c205-5aad-b9f6-d7cee92db317,Items,1,tr:lh:5190,102771/2,isad:lh:95930,Planex GT / S,,,,,Nederlands,Noot
tg:lhaq:8397,0950db02-78bd-5253-af04-86380c8b0a53,Items,1,,215082/44,,GG 297 / I,,,,,Nederlands,Noot
tg:lhaq:8544,e004247f-f95d-5c83-a5bf-6039a6ea2753,Items,1,,215880/14,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:4567,38edd6fe-5698-5fc4-8b35-2037a9750255,Items,1,tr:lh:5448,106948/3,isad:lh:95963,C 3396 / I (doos 1),,,,,Nederlands,Noot
tg:lhaq:8401,4bf46cf8-6c32-5837-b06d-7d4cdf964c85,Items,1,,215082/48,,GG 297 / I,,,,,Nederlands,Noot
tg:lhaq:3563,279696c6-bd8b-514e-a43a-99de447d30ff,Items,1,,115789,,G 605 / I,,,,,Nederlands,Noot
tg:lhaq:8790,920005f9-77a4-5727-9179-89c6861194e6,Items,1,tr:lh:7497,197407/18,isad:lh:95953,S 5621 / I (Doos 2),,,,,Nederlands,Noot
tg:lhaq:7259,30b76391-6d6a-5ef0-9190-df02628afb33,Items,1,tr:lh:5300,104373/2,isad:lh:96017,V 444 / I,,,,,Nederlands,Noot
tg:lhaq:8905,573aad13-28d3-5ae7-b56f-e5fc3694f72e,Items,1,tr:lh:7497,197410/2,isad:lh:95953,S 5621 / I (Doos 2),De rol van Kati werd door de actrice Denise Zimmermann  vertolkt.,,,,Nederlands,Noot
tg:lhaq:8769,8074251d-4328-5f9f-84e4-9d32611eeaf8,Items,1,,174222/25,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:6848,b22cbc9b-5fe2-53c1-8e79-be1d067f8006,Items,1,tr:lh:7634,212577/4,isad:lh:132095,Planex GT 905,"**Publicatie** KNS van Antwerpen, 98ste speeljaar, 1950-1951, eerste stuk van het seizoen; regie: Charles Gilhuys",,,,Nederlands,Noot
tg:lhaq:8856,e21d7750-6df2-5448-a023-630d895c816c,Items,1,tr:lh:7497,197408/67,isad:lh:95953,S 5621 / I (Doos 2),De rol van Maen werd door de  actrice Martha de Wachter vertolkt.,,,,Nederlands,Noot
tg:lhaq:8913,d373c917-2c88-5f49-a28c-d10c258a3be9,Items,1,tr:lh:7497,197410/10,isad:lh:95953,S 5621 / I (Doos 2),De rol van Baloun werd door de acteur Robert Marcel vertolkt.,,,,Nederlands,Noot
tg:lhaq:8694,1bb35759-f04d-5457-b1ee-822fb0140dc4,Items,1,tr:lh:4996,99068/1,isad:lh:96041,V 114 / I (Doos 1),Het ballet Triomf van de Geest werd in 1959  met een vernieuwde muzikale techniek door Willem Kersters gecomponeerd.,,,,Nederlands,Noot
tg:lhaq:8381,9100b2e5-1f9b-5979-b0d3-f6509385a69a,Items,1,,215082/28,,GG 297 / I,,,,,Nederlands,Noot
tg:lhaq:5360,8e247824-39a0-56a3-88c8-12d80c3f720e,Items,1,tr:lh:7236,179534,isad:lh:95978,Planex KP / V 36695,,,,,Nederlands,Noot
tg:lhaq:8552,700e6618-9f1a-59e0-9f3d-b9e207756b2a,Items,1,,215880/22,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:2919,46cdbd2e-ba9d-5091-9106-710cbd0f3461,Items,1,tr:lh:3054,60829/57,isad:lh:95942,B 366 / I,,,,,Nederlands,Noot
tg:lhaq:9011,7afd1851-c078-502a-866c-7e0efce23d2c,Items,1,tr:lh:7497,197414/1,isad:lh:95953,S 5621 / I (Doos 3),De rol van Nicola werd door de acteur Jo Coppens vertolkt.,,,,Nederlands,Noot
tg:lhaq:8745,62290aac-7406-5010-8033-eb55770204f2,Items,1,,174222/2,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:8315,d23c0dd7-50e3-5cdd-9201-ef2e64dbf33b,Items,1,tr:lh:1987,37028/6,isad:lh:95994,Planex GT / V 3965,"Dit decor werd daarna nog te huur aangeboden. Zie: Boon, Jozef, _Van een
nonnetje dat wonderen balsem wou koopen._ Esschen: Sint-Alfonsus, 1926, p. 5.",,,,Nederlands,Noot
tg:lhaq:7263,f7b5e399-8be6-5994-bc22-7437005b4229,Items,1,tr:lh:5300,104373/5b,isad:lh:96017,V 444 / I,,,,,Nederlands,Noot
tg:lhaq:2962,edb26410-5349-5799-a1a7-056303eb6223,Items,1,tr:lh:3054,60829/14,isad:lh:95942,B 366 / I,,,,,Nederlands,Noot
tg:lhaq:8895,705c2f61-4e81-571e-9cdd-5f3fe57b94ea,Items,1,tr:lh:7497,197409/1,isad:lh:95953,S 5621 / I (Doos 2),De rol van Macbeth werd door de acteur Piet Bergers vertolkt.,,,,Nederlands,Noot
tg:lhaq:8968,6783521e-5bc3-5a9f-b8e1-3cc1fe1bb927,Items,1,tr:lh:7497,197412/42,isad:lh:95953,S 5621 / I (Doos 2),"De rol van de Dierik den Hollander, een jongeling, werd door de acteur Martin van Zundert vertolkt.",,,,Nederlands,Noot
tg:lhaq:6976,c63bf385-e26d-556d-9968-5412a621b666,Items,1,tr:lh:2432,216830/5,isad:lh:126725,D 1175 / I (Doos 1),Verso: Schets van een ruiten wassende vrouw,,,,Nederlands,Noot
tg:lhaq:9050,e0460b3f-426a-5852-8554-bb993abf2f73,Items,1,tr:lh:7497,197417/7,isad:lh:95953,S 5621 / I (Doos 3),,,,,Nederlands,Noot
tg:lhaq:8641,850ec587-1fc7-55f0-8dfa-09475b8cb650,Items,1,tr:lh:9807,119906,isad:lh:96036,Planex GT / V 152245,,,,,Nederlands,Noot
tg:lhaq:8704,c3640162-bd88-5c50-90ec-49feccfd4870,Items,1,tr:lh:4841,106051,,V 114 / I (Doos 1),,,,,Nederlands,Noot
tg:lhaq:8354,65a33bfa-ace8-50c8-863e-ac5cd00604f0,Items,1,,215082/5,,GG 297 / I,,,,,Nederlands,Noot
tg:lhaq:5566,59522048-6630-5b56-bfd9-e61bf746411a,Items,1,tr:lh:6559,161971/1,isad:lh:95987,L 4299 / I,,,,,Nederlands,Noot
tg:lhaq:510,b5183cbe-887e-5dde-8011-462f99852139,Items,1,tr:lh:6342,234521,isad:lh:109652,V1 B,,,,,Nederlands,Noot
tg:lhaq:8991,64fb5afa-b17a-514b-a7a8-3f8843eef6c7,Items,1,tr:lh:7497,197413/14,isad:lh:95953,S 5621 / I (Doos 3),,,,,Nederlands,Noot
tg:lhaq:9379,ea5f6b36-2c8f-5df9-8f4e-b6c6e9b090c7,Items,1,tr:lh:7337,195174/59,isad:lh:127935,O 393 / Doos 11,,V1 B 75 C6,,,Nederlands,Noot
tg:lhaq:8568,cd0b5e64-def3-586f-bbfb-f223167a5ae7,Items,1,,215880/34,,Planex GT / T 159,,,,,Nederlands,Noot
tg:lhaq:5474,3e569199-056d-5011-91af-0e19f5bc7892,Items,1,tr:lh:5006,99191/29,isad:lh:95916,W 655 / I,,,,,Nederlands,Noot
