Object Number,Record Type,URL,ResourceID,Reference Number,Carrier Type,Carrier Colour,Temporary Location Note,Production Technique Keywords,Keeper,Keeper Identifier,Object Identifier,Record ID Type,Object Number Type,Keeper Identifier Type,URL Type,Object Identifier Type,Reference Number Type,order,card
tg:lhaq:7260,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:7260/N,4ee4c3aa-bb54-50cf-8c80-b9325efa1a95,BE-ANN07/aq/000000167,Papier,,KP 15a,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/4ee4c3aa-bb54-50cf-8c80-b9325efa1a95'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:5123,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:5123/N,c11964de-aec9-543a-9f0d-ed7057f03dd8,BE-ANN07/aq/000000078,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/c11964de-aec9-543a-9f0d-ed7057f03dd8'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:9415,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:9415/N,d89d67d2-f4db-5308-8ffa-035bebf5a6f6,BE-ANN07/aq/000000660,Papier,Beige,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/d89d67d2-f4db-5308-8ffa-035bebf5a6f6'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:9383,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:9383/N,8ce79109-c769-52ef-9df5-6507ef1fc890,BE-ANN07/aq/000000633,Papier,Gebroken Wit,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/8ce79109-c769-52ef-9df5-6507ef1fc890'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8707,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8707/N,6c736123-b977-518a-9f93-44d41cc057ea,BE-ANN07/aq/000000368,Papier,Blauwgrijs,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/6c736123-b977-518a-9f93-44d41cc057ea'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8357,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8357/N,16476063-9885-52da-8584-492359730668,BE-ANN07/aq/000000229,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/16476063-9885-52da-8584-492359730668'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:4661,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:4661/N,59006f57-3c03-5002-834f-a865ed954ef3,BE-ANN07/aq/000000073,Papier,Wit,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/59006f57-3c03-5002-834f-a865ed954ef3'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:9053,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:9053/N,e360d5e2-779f-5483-93cd-9979a48cb9e5,BE-ANN07/aq/000000584,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/e360d5e2-779f-5483-93cd-9979a48cb9e5'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:9403,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:9403/N,d559c57b-662d-5363-a0fa-dc9b2f0d0619,BE-ANN07/aq/000000648,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/d559c57b-662d-5363-a0fa-dc9b2f0d0619'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8992,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8992/N,5eadd07a-2fa9-52be-9956-47f6291c04b2,BE-ANN07/aq/000000538,Karton,Beige,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/5eadd07a-2fa9-52be-9956-47f6291c04b2'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8750,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8750/N,633a878b-464e-57a1-9b0f-082ff061fca5,BE-ANN07/aq/000000378,Papier,Beige,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/633a878b-464e-57a1-9b0f-082ff061fca5'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:9141,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:9141/N,1fdacdff-a137-58e2-93e8-ac46fb13810f,BE-ANN07/aq/000000605,Papier,Wit,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/1fdacdff-a137-58e2-93e8-ac46fb13810f'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:9004,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:9004/N,f4eea4ae-898a-5191-be69-eecc8ba22700,BE-ANN07/aq/000000550,Karton,Beige,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/f4eea4ae-898a-5191-be69-eecc8ba22700'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8864,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8864/N,bd8c137f-d376-50ea-8a95-93a0f45fef96,BE-ANN07/aq/000000443,Papier,Beige,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/bd8c137f-d376-50ea-8a95-93a0f45fef96'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:2839,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:2839/N,a34bce64-e7c7-50ec-a3e3-e64d870d4405,BE-ANN07/aq/000000040,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/a34bce64-e7c7-50ec-a3e3-e64d870d4405'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:6529,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:6529/N,433edcea-9b46-511e-bc92-62d4e2a72e24,BE-ANN07/aq/000000115,Papier,Wit,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/433edcea-9b46-511e-bc92-62d4e2a72e24'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8537,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8537/N,65d99145-9308-52a6-b9d3-68ad8cbbe859,BE-ANN07/aq/000000280,Papier,,,"aquarel,Oost-Indische inkt, krijt en potlood op papier",Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/65d99145-9308-52a6-b9d3-68ad8cbbe859'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:6895,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:6895/N,db4270d3-e516-5797-a0bc-22f018caa61f,BE-ANN07/aq/000000156,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/db4270d3-e516-5797-a0bc-22f018caa61f'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:2751,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:2751/N,4048ca25-768c-560b-90b5-c3bb8bcc52fb,BE-ANN07/aq/000000036,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/4048ca25-768c-560b-90b5-c3bb8bcc52fb'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:9408,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:9408/N,3a1ec42a-1b4e-551e-9aad-00af844f513d,BE-ANN07/aq/000000653,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/3a1ec42a-1b4e-551e-9aad-00af844f513d'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:9058,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:9058/N,a3684c74-59f7-5b2c-8da1-d4c86da64e78,BE-ANN07/aq/000000588,Papier Op Karton,Zwart,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/a3684c74-59f7-5b2c-8da1-d4c86da64e78'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8560,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8560/N,5d933742-bddc-599c-9a03-c7b5294f2f45,BE-ANN07/aq/000000300,Gekleurd Papier,,,"gouache, aquarel, oost-indische inkt en potlood op papier",Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/5d933742-bddc-599c-9a03-c7b5294f2f45'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8999,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8999/N,33d137bb-5a4f-5f40-ac99-7ba431c83917,BE-ANN07/aq/000000545,Papier,Beige,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/33d137bb-5a4f-5f40-ac99-7ba431c83917'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:9371,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:9371/N,8fb4365b-00cc-5f43-88d4-a824568a188e,BE-ANN07/aq/000000625,Hout,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/8fb4365b-00cc-5f43-88d4-a824568a188e'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8833,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8833/N,55d6a748-f23c-5f70-ad45-e5db67129e83,BE-ANN07/aq/000000418,Papier,Grijsgroen,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/55d6a748-f23c-5f70-ad45-e5db67129e83'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8976,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8976/N,293c9e23-50df-5b9c-9eba-465d5d7b460f,BE-ANN07/aq/000000529,Papier,Zwart,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/293c9e23-50df-5b9c-9eba-465d5d7b460f'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:7545,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:7545/N,40653705-1c37-5635-aa7a-edca688682ee,BE-ANN07/aq/000000186,Karton,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/40653705-1c37-5635-aa7a-edca688682ee'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:9367,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:9367/N,0cf82502-8335-5729-a8db-112480b358bb,BE-ANN07/aq/000000624,Papier,Wit,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/0cf82502-8335-5729-a8db-112480b358bb'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8960,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8960/N,38777dca-3c70-576f-acff-8f0e50548d88,BE-ANN07/aq/000000517,Papier,Zwart,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/38777dca-3c70-576f-acff-8f0e50548d88'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:6246,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:6246/N,beb33124-db74-5657-bb6c-74df92ea15df,BE-ANN07/aq/000000105,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/beb33124-db74-5657-bb6c-74df92ea15df'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:9019,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:9019/N,5f3c8a6a-b866-5804-b9fe-58c3811455b4,BE-ANN07/aq/000000565,Papier,Grijsgroen,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/5f3c8a6a-b866-5804-b9fe-58c3811455b4'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8872,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8872/N,8234b17f-57b3-51ca-b655-b7d68286dea3,BE-ANN07/aq/000000451,Papier,Grijsgroen,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/8234b17f-57b3-51ca-b655-b7d68286dea3'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8937,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8937/N,6bc05a1d-3944-525a-beb5-09a3d9ab99db,BE-ANN07/aq/000000510,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/6bc05a1d-3944-525a-beb5-09a3d9ab99db'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:4017,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:4017/N,869ca658-e5b3-5ca0-984d-5ff629abd114,BE-ANN07/aq/000000055,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/869ca658-e5b3-5ca0-984d-5ff629abd114'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8389,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8389/N,16fc8ef7-35f1-5903-89bc-a09b5c692c40,BE-ANN07/aq/000000255,Papier,Beige,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/16fc8ef7-35f1-5903-89bc-a09b5c692c40'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8673,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8673/N,8a41a2e2-0485-57a1-86da-7682f7d4ffb0,BE-ANN07/aq/000000336,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/8a41a2e2-0485-57a1-86da-7682f7d4ffb0'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:9035,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:9035/N,73e3ecce-404e-5836-a7f4-7e3cf48c67e5,BE-ANN07/aq/000000578,Papier,Beige,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/73e3ecce-404e-5836-a7f4-7e3cf48c67e5'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8761,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8761/N,84c10711-c086-58a1-8f5a-13c803fb191d,BE-ANN07/aq/000000389,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/84c10711-c086-58a1-8f5a-13c803fb191d'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:7617,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:7617/N,c4e7fa23-9f5c-5d45-96bf-2321fb0abc2a,BE-ANN07/aq/000000192,Handgeschept Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/c4e7fa23-9f5c-5d45-96bf-2321fb0abc2a'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8632,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8632/N,2b1ecfef-1918-5c42-9a5b-904952ea2907,BE-ANN07/aq/000000320,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/2b1ecfef-1918-5c42-9a5b-904952ea2907'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:9023,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:9023/N,61087a33-20be-5a97-b65d-82f418a0d555,BE-ANN07/aq/000000569,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/61087a33-20be-5a97-b65d-82f418a0d555'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8327,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8327/N,b68983bc-6cc9-524b-8837-21b4ea23028f,BE-ANN07/aq/000000219,Papier Op Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/b68983bc-6cc9-524b-8837-21b4ea23028f'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8848,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8848/N,1fcfd70c-8718-5388-9f3a-8e46d646f9eb,BE-ANN07/aq/000000428,Papier,Grijsgroen,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/1fcfd70c-8718-5388-9f3a-8e46d646f9eb'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:7969,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:7969/N,8310fe17-be24-57b9-9de8-247a2c5a2456,BE-ANN07/aq/000000200,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/8310fe17-be24-57b9-9de8-247a2c5a2456'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:9424,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:9424/N,428c3cc4-7bf9-5135-ba24-0c06e59d90ed,BE-ANN07/aq/000000664,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/428c3cc4-7bf9-5135-ba24-0c06e59d90ed'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8665,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8665/N,2c59c28a-5f83-5d50-94da-0f83dcc37853,BE-ANN07/aq/000000328,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/2c59c28a-5f83-5d50-94da-0f83dcc37853'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:6944,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:6944/N,265c7583-0ab7-548f-b0f3-d8d6c2dcaa84,BE-ANN07/aq/000000161,Papier,,in bruikleen,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/265c7583-0ab7-548f-b0f3-d8d6c2dcaa84'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:6876,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:6876/N,2629a54c-27d4-506a-b56b-91ecc7f12117,BE-ANN07/aq/000000141,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/2629a54c-27d4-506a-b56b-91ecc7f12117'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8868,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8868/N,83e8adfb-e911-528a-b3c5-3b36644baad5,BE-ANN07/aq/000000447,Papier,Grijsgroen,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/83e8adfb-e911-528a-b3c5-3b36644baad5'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8887,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8887/N,d08e5c41-029e-560f-8788-2568c7e27b90,BE-ANN07/aq/000000465,Papier,Grijsgroen,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/d08e5c41-029e-560f-8788-2568c7e27b90'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:6899,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:6899/N,4b49ce15-5599-5973-9328-50f67b40d6cb,BE-ANN07/aq/000000158,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/4b49ce15-5599-5973-9328-50f67b40d6cb'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8757,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8757/N,13d1cf98-023f-5948-a0a2-6bde1a01e647,BE-ANN07/aq/000000385,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/13d1cf98-023f-5948-a0a2-6bde1a01e647'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:5470,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:5470/N,90f34c89-9b8b-54b6-9833-8f387750cd44,BE-ANN07/aq/000000092,Papier,,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/90f34c89-9b8b-54b6-9833-8f387750cd44'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:9003,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:9003/N,7c709fc6-dd92-5822-b7d3-3e74e25b116e,BE-ANN07/aq/000000549,Karton,Beige,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/7c709fc6-dd92-5822-b7d3-3e74e25b116e'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
tg:lhaq:8995,Aquarel,https://anet.be/record/opaclhobj/tg:lhaq:8995/N,1afd7d47-76ab-555d-8607-6e63a2518b4c,BE-ANN07/aq/000000541,Papier,Beige,,,Letterenhuis,{'url': 'https://data.antwerpen.be/Ark:/83110/784198d4-56b2-5085-a593-e5c34562b3e0'},{'url': 'https://id.letterenhuis.be/ark:/24970/1afd7d47-76ab-555d-8607-6e63a2518b4c'},Record ID,Object Number,Object Identifier,URL,Object Identifier,Reference Number,0,AA
