brocade.id,ResourceID,card,order,Acquisition Note,Location Number,Registration Number value,Archive Note,adm.note,Serial Number,adm.note.language,adm.note.type
tg:lhps:57438,4e4ed0b6-e5ca-500d-82a0-af868639dea1,Items,1,,O 33745 / A,,,,,Nederlands,remarks
tg:lhps:5358,0361573e-cca7-5d6c-9dc4-ba4d626e2b6f,Items,1,tr:lh:7019,M 8225 / A,181816,,,,Nederlands,remarks
tg:lhps:62776,60b894c4-5943-50ed-8e4f-28645a90b892,Items,1,tr:lh:140424,MM 70 / A,,,,,Nederlands,remarks
tg:lhps:34116,86531fda-82c1-5f97-8794-54e35363685a,Items,1,,AV.38.5.10.294,225272/2151,isad:lh:92750,,,Nederlands,remarks
tg:lhps:49426,15975adf-d19a-5c2a-890d-50558afc09dd,Items,1,tr:lh:104035,GG 138 / A,,,,,Nederlands,remarks
tg:lhps:18583,f970d020-1576-50d2-9b1d-18cc38be7af2,Items,1,,AA 155 / A,215034/113,,,,Nederlands,remarks
tg:lhps:7365,4b0bf9c2-fe38-5410-b88f-f07a99343d64,Items,1,,T 16121 / A,239758,,,,Nederlands,remarks
tg:lhps:31314,4ce51dbb-043d-5416-a874-5359a6ee1c8b,Items,1,,T 1612 / A,225269/97,,,,Nederlands,remarks
tg:lhps:53928,5df2bb37-4715-5665-9cca-4d0297065540,Items,1,,KK 106 / A,,isad:lh:123877,,,Nederlands,remarks
tg:lhps:51915,60f02913-2842-54e7-aac7-71ce1f5d2bf4,Items,1,tr:lh:110342,II 41 / A,,,,,Nederlands,remarks
tg:lhps:18079,b3bcac31-3562-5a88-bb53-ac47adfaa120,Items,1,,C 227 / A,225098/1,,,,Nederlands,remarks
tg:lhps:2167,0d037e9b-5362-575f-8150-d11520a4d38b,Items,1,tr:lh:7019,E 4152 / A,181619,,,,Nederlands,remarks
tg:lhps:2167,0d037e9b-5362-575f-8150-d11520a4d38b,Items,2,tr:lh:7019,J 3358 / A,181619,,,,Nederlands,remarks
tg:lhps:33329,a2856014-096a-5b9d-bac5-4f9f6cdadb22,Items,1,,AV.14.6.1168,225272/1231,isad:lh:92873,,,Nederlands,remarks
tg:lhps:50607,2dd920ed-b21c-5d39-a89c-3afc5fd255c6,Items,1,tr:lh:9943,G 21795 / A,,isad:lh:114487,,,Nederlands,remarks
tg:lhps:25707,e0b104d0-87ae-55b0-bf16-a679348cff25,Items,1,,M 9687 / A,225255/472,,,,Nederlands,remarks
tg:lhps:58237,c2478bba-286e-530f-97ed-b5c12b719bc7,Items,1,,M 51 / A,,,,,Nederlands,remarks
tg:lhps:24815,2061362a-ab7a-5b83-a20b-a2fe9cd80203,Items,1,tr:lh:7875,O 3369 / A (CM1664),225212/2661,isad:lh:92200,,,Nederlands,remarks
tg:lhps:10449,5bfbe135-0486-5f9b-9448-c2bb38046426,Items,1,tr:lh:5552,K 162 / A,110029,isad:lh:92632,,,Nederlands,remarks
tg:lhps:46229,195573da-e899-5ed5-9e5f-0ada1115f0dc,Items,1,,KK 100 / A,225291/11,,,,Nederlands,remarks
tg:lhps:12474,06b4a639-2147-5926-a95b-03f112ee00e3,Items,1,tr:lh:7634,B 55115 / A,213018,,,,Nederlands,remarks
tg:lhps:44214,b455e2da-c180-51ad-a883-ce8830c68be1,Items,1,,AV.86.2.24,225272/2704,isad:lh:92220,,,Nederlands,remarks
tg:lhps:26828,77362716-1184-590b-af16-dc45e7709e1f,Items,1,,O 33735 / A,225256/189a,,,,Nederlands,remarks
tg:lhps:21744,2ae19483-3962-5161-8af3-2da4ffce993c,Items,1,,J 33645 / A,215217/10,,,,Nederlands,remarks
tg:lhps:21744,2ae19483-3962-5161-8af3-2da4ffce993c,Items,2,,JJ 19 / A,,,,,Nederlands,remarks
tg:lhps:26081,5b2feafb-e688-5169-a01a-a7d699d8b3ae,Items,1,tr:lh:7875,O 3369 / A (CM2313),225212/3311,isad:lh:92200,,,Nederlands,remarks
tg:lhps:23779,9c09a7fa-7ba7-59f2-8b13-e9f71f3b7a6d,Items,1,tr:lh:7875,O 3369 / A (CM873),225212/1870,isad:lh:92200,,,Nederlands,remarks
tg:lhps:16437,36d3ec05-1957-52d5-9618-b3d0ed48f4d5,Items,1,,B 5661 / A,216255/1,,,,Nederlands,remarks
tg:lhps:40257,a3d6ade3-e8b8-5610-9d3e-b8cb44abb397,Items,1,,V 356 / A,225271/299,,,,Nederlands,remarks
tg:lhps:20856,b9326911-1b74-51bd-aed2-325f07c5083f,Items,1,,H 2563 / A,215086/1,,,,Nederlands,remarks
tg:lhps:47592,8bcece0b-35ad-5bd3-a31a-4f1e1218ab78,Items,1,tr:lh:9869,B 973 / A,,isad:lh:103949,,,Nederlands,remarks
tg:lhps:32492,17c92b69-f5e8-54d5-8b9e-fc5fa45af527,Items,1,,"AV.14.6.396 (LK VII,5)",225272/396,isad:lh:92873,,,Nederlands,remarks
tg:lhps:55956,f0b2f0d1-27d7-5adc-9791-c78fdce3cba7,Items,1,tr:lh:110342,G 283 / A,,,,,Nederlands,remarks
tg:lhps:6124,df170e2d-7bc3-58eb-9b26-13bd99f6809d,Items,1,tr:lh:7019,O 33745 / A (LH.266),180245,,,,Nederlands,remarks
tg:lhps:4119,8a826bed-583d-541e-8a93-c601d663c076,Items,1,tr:lh:7019,M 9364 / A,181110,,,,Nederlands,remarks
tg:lhps:35357,0dec1ad9-30fd-584c-baea-f95f51486733,Items,1,,AV.93.2.159,225272/2686,isad:lh:92220,,,Nederlands,remarks
tg:lhps:48667,3ef51550-1b81-5f4c-9c6d-f69bc5c7a3d8,Items,1,,U 656 / A,225293/96,,,,Nederlands,remarks
tg:lhps:49975,20f25a8b-723d-5cb3-b30b-a654c1974914,Items,1,,PP 16 / A,225293/566,,,,Nederlands,remarks
tg:lhps:56679,9cabdb93-9b15-5ab1-9c54-876f0497eb8e,Items,1,,W 876 / A,225299/494,,,,Nederlands,remarks
tg:lhps:54644,468c32e6-015a-5de9-b009-4699aa37aa33,Items,1,,T 376525 / A,225299/38,,,,Nederlands,remarks
tg:lhps:29374,87afe66f-ccce-5201-ad5b-908059351a6a,Items,1,,P 625 / A,225263/2,,,,Nederlands,remarks
tg:lhps:56383,5a3e5133-f547-58d1-9b32-3507f17d9411,Items,1,tr:lh:110342,SS 89 / A,,,,,Nederlands,remarks
tg:lhps:51446,c9630eb9-de9b-5a2f-9ba8-7b0de0211ae8,Items,1,tr:lh:110342,SS 150 / A,,,,,Nederlands,remarks
tg:lhps:19238,012fedb8-ab5a-5a1d-a57e-23ffb7cf6545,Items,1,,V 7576 / A,215047/30,,,,Nederlands,remarks
tg:lhps:3326,6883c6ce-3734-54c0-b29c-e7fe96edd0ac,Items,1,tr:lh:7019,K 9778 / A,180376,,,,Nederlands,remarks
tg:lhps:30155,dbc876a1-4473-50ed-a26a-67a756a0c3b3,Items,1,tr:lh:9940,PP 210 / A (CA 323),225265/140,isad:lh:170202,,,Nederlands,remarks
tg:lhps:13635,f26d4513-29b2-5b4e-8505-43385387f5de,Items,1,tr:lh:7632,S 4687 / A,214168,,,,Nederlands,remarks
tg:lhps:45055,66e57192-3094-5f8a-8802-717972b7ab89,Items,1,,GG 177 / A,225289/206,,,,Nederlands,remarks
tg:lhps:42790,e6b7f8a7-1bd4-521d-ab2d-942131f94735,Items,1,,C 20385 / A,225279/486,,,,Nederlands,remarks
tg:lhps:11608,ec4d5732-7eb2-5068-a9d1-2d767d16db0d,Items,1,,"GG 105 / A (LK I,4)",200382/330,isad:lh:92204,,,Nederlands,remarks
tg:lhps:11608,ec4d5732-7eb2-5068-a9d1-2d767d16db0d,Items,2,tr:lh:9937,V 75457 / A (VM456),225261/456,isad:lh:92204,Oude nummering Volkskunde: 60.2.7,,Nederlands,remarks
tg:lhps:47068,d19f6d11-59e2-5ad5-b1f8-b26eac47df44,Items,1,,J 3358 / A,225291/347,,,,Nederlands,remarks
tg:lhps:24546,93baca7e-1a59-5a4d-a85e-97e7a06217c8,Items,1,tr:lh:7875,O 3369 / A (CM1489),225212/2486,isad:lh:92200,,,Nederlands,remarks
tg:lhps:43882,3b76e9a8-ce09-5d89-ae74-ad07910c6f61,Items,1,,EE 36 / A,216829/635,,,,Nederlands,remarks
tg:lhps:59076,1685c393-8a8e-5506-839b-f41f626bc8cc,Items,1,tr:lh:139769,W 803 / A,,isad:lh:144236,,,Nederlands,remarks
tg:lhps:8839,e5dad78e-0a87-5f6d-abee-d1c71e950369,Items,1,tr:lh:7106,N 173 / A,183909,,,,Nederlands,remarks
tg:lhps:12927,4eb5936e-562a-5640-ae2f-08fdac91ab37,Items,1,,C 20385 / A,211855,,,,Nederlands,remarks
tg:lhps:23283,b7fe9002-bfb7-525a-a544-af7247c38608,Items,1,tr:lh:7875,O 3369 / A (CM 524),225212/1521,isad:lh:92200,,,Nederlands,remarks
tg:lhps:40607,b832557f-6ce0-5a19-8c32-dabb47f81bb9,Items,1,,V 52388 / A,225271/593,,,,Nederlands,remarks
tg:lhps:16067,95b34d9c-20d8-5661-ac97-ec430ab1d6d6,Items,1,,B 1155 / A,215893,,,,Nederlands,remarks
tg:lhps:9681,ef8a2972-2c2b-58e3-882d-af59c466bee7,Items,1,tr:lh:7284,O 33745 / A,184653,,,,Nederlands,remarks
tg:lhps:21314,981384fd-f8e6-5e68-a44f-e8ac3a0f8e38,Items,1,,I 557 / A,215096/8,,,,Nederlands,remarks
tg:lhps:43928,dbb8478f-2770-5eef-943a-4d986165317d,Items,1,,EE 39 / A,225286/147,,,,Nederlands,remarks
tg:lhps:41915,859ba593-25f8-51b3-a65f-92a57d4bd0b7,Items,1,,AA 93 / A,225276/374,,,,Nederlands,remarks
tg:lhps:23329,1f743a49-7f13-57a5-89fc-f8b4b4c16d3f,Items,1,tr:lh:7875,O 3369 / A (CM 570),225212/1567,isad:lh:92200,,,Nederlands,remarks
tg:lhps:8993,3110d861-8607-5211-9be1-2e842f7b9d77,Items,1,tr:lh:7315,T 376525 / A,184035,,,,Nederlands,remarks
tg:lhps:56229,ce8a988d-945e-53e9-a6d7-c7a73f7338ca,Items,1,,BB 5 / A,,,,,Nederlands,remarks
tg:lhps:29724,583f6331-bc52-59bb-9245-b1b6f0422acf,Items,1,tr:lh:9937,V 75457 / A (VM898),225261/898,isad:lh:92204,,,Nederlands,remarks
tg:lhps:54214,93500389-cce1-5584-bade-e2785c0949e0,Items,1,tr:lh:110342,MM 409 / A,225298/322,,,,Nederlands,remarks
tg:lhps:19392,b772ea0c-781d-533c-8b78-add8380bba9f,Items,1,,D 553 / A,215049/18,,,,Nederlands,remarks
tg:lhps:28836,09153703-cb7c-5021-9075-f4ebec0d8c09,Items,1,tr:lh:9937,V 75457 / A (VM367),225261/367,isad:lh:92204,,,Nederlands,remarks
tg:lhps:6574,89f6265f-7918-50c5-82e5-fa94db2e53ec,Items,1,tr:lh:7019,PP 38 / A,180852/1,,,,Nederlands,remarks
tg:lhps:48237,8e50916f-87c2-5ff7-8b72-d2d9f41c6598,Items,1,tr:lh:9111,P 625 / A,,isad:lh:105207,,,Nederlands,remarks
tg:lhps:35707,5d17d0e3-feb6-5d84-b657-e9b7ac135251,Items,1,,AV.93.9.170,225272/2946,isad:lh:92875,,,Nederlands,remarks
tg:lhps:4549,56957d1e-b2f7-55a3-8e87-d17503bba99d,Items,1,,S 4685 / A,237674,,,,Nederlands,remarks
tg:lhps:32538,401c0033-7bdf-510c-bdd9-248deb54396d,Items,1,,"AV.14.6.437 (LK VII,6)",225272/437,isad:lh:92873,,,Nederlands,remarks
tg:lhps:3776,3c6538da-0339-5af7-8c8b-551aca42a037,Items,1,tr:lh:7019,J 3368 / A,183266/2,,,,Nederlands,remarks
tg:lhps:19668,98aa1c86-2a51-5a83-925b-941f66c01651,Items,1,,E 1555 / A,235715/1,,,,Nederlands,remarks
tg:lhps:30505,f2f24c6d-8b6a-5ff8-870e-24d97406bdef,Items,1,tr:lh:9936,S 282 / A (CS 92),225267/115,isad:lh:92208,,,Nederlands,remarks
tg:lhps:51016,281012d5-6ce8-5b73-b39e-7ec74638441e,Items,1,,KK 106 / A,,isad:lh:116580,,,Nederlands,remarks
tg:lhps:2864,857d7a60-4ef8-591d-a968-bf94517b7ca3,Items,1,,G 993 / A,237971,,,,Nederlands,remarks
tg:lhps:59426,5d033402-6698-5326-b88f-93230b6807ef,Items,1,tr:lh:110342,VV 338 / A,,,,,Nederlands,remarks
tg:lhps:24116,d9cb55e0-41c6-5546-ad82-ebb44d920a82,Items,1,tr:lh:7875,O 3369 / A (CM1128),225212/2125,isad:lh:92200,,,Nederlands,remarks
tg:lhps:45405,ef0f6cbc-a1db-58d0-8dc5-fa723d6c3597,Items,1,,HH 290 / A,225289/463,,,,Nederlands,remarks
tg:lhps:13265,76b5c9f2-79ef-5175-9349-52fd04034b61,Items,1,tr:lh:7632,S 4686 / A,213802,,,,Nederlands,remarks
tg:lhps:284,4582be58-0f85-502a-8776-b92edac07090,Items,1,,"A 357 / A (LK I,10)",57433,,,,Nederlands,remarks
tg:lhps:284,4582be58-0f85-502a-8776-b92edac07090,Items,2,,"A 357 / A (LK I,10)",236905,,,,Nederlands,remarks
tg:lhps:47438,5d953f63-b714-5924-9732-90ba6c77149f,Items,1,,M 9326 / A,225291/453,,,,Nederlands,remarks
tg:lhps:11258,745f3820-a700-5a7b-b705-95e4fcb9cd63,Items,1,tr:lh:7705,"I 11 / A (LK V,4)",200301/51,isad:lh:92249,,,Nederlands,remarks
tg:lhps:51503,d27e9041-ab5f-592d-8154-68f9d1938d76,Items,1,,T 16123 / A,225295/28,,,,Nederlands,remarks
tg:lhps:30010,b6431511-b631-5760-8dcd-574e47a0e735,Items,1,tr:lh:9940,PP 210 / A (CA 192),225265,isad:lh:170202,,,Nederlands,remarks
tg:lhps:30010,b6431511-b631-5760-8dcd-574e47a0e735,Items,2,tr:lh:9940,AA 227 / A,225265,isad:lh:170202,,,Nederlands,remarks
tg:lhps:3263,c1130fc5-3131-54da-8f88-a9e97affc96d,Items,1,,H 665 / A,236051,,,,Nederlands,remarks
tg:lhps:791,ffd142fe-8b73-5083-ab71-6adef7fa690a,Items,1,,B 435 / A,237991/1,,,,Nederlands,remarks
tg:lhps:45110,52badae4-8e2f-5d3f-a509-6f6b91cf9b98,Items,1,tr:lh:9999,"M 935 (Pl. IX, 237)",300035/237,isad:lh:97845,,,Nederlands,remarks
tg:lhps:13770,6aabecec-9980-55ba-b6b1-74efb2eaa48c,Items,1,,S 4687 / A,58865,,,,Nederlands,remarks
tg:lhps:13770,6aabecec-9980-55ba-b6b1-74efb2eaa48c,Items,2,tr:lh:7632,S 4687 / A,214304,,,,Nederlands,remarks
tg:lhps:16088,d42b0d71-ace5-52f8-947f-54841b2594e3,Items,1,,B 13707 / A,215914,,,,Nederlands,remarks
tg:lhps:12862,edcd1e64-b06f-5198-8d3e-273e136ed779,Items,1,tr:lh:7632,G 283 / A,213457,,,,Nederlands,remarks
tg:lhps:59133,09feead4-2677-5b31-89e6-97aeeb15f97a,Items,1,tr:lh:110342,SS 89 / A,,,,,Nederlands,remarks
tg:lhps:24403,ae056b1b-a672-5cd4-bdfd-28f6307bcab5,Items,1,tr:lh:7875,O 3369 / A (CM1412),225212/2409,isad:lh:92200,,,Nederlands,remarks
tg:lhps:21601,fb5512d0-31e7-543a-ac0d-39115ea0141b,Items,1,,J 287 / A,215099/135,,,,Nederlands,remarks
tg:lhps:20913,20ce8258-6244-5c49-85aa-698713da4b60,Items,1,,H 50494 / A,215087/2,,,,Nederlands,remarks
tg:lhps:40312,77add4a9-d7ad-5754-bd3e-43b0289fe557,Items,1,,V 3748 / A,225271/342,,,,Nederlands,remarks
tg:lhps:16572,ae6e7d82-59ee-55fb-94cd-aced415708f3,Items,1,,B 74956 / A,216393,,,,Nederlands,remarks
tg:lhps:9394,7e5b44a8-2f0c-5331-a646-e6f2680120b0,Items,1,tr:lh:7316,S 4685 / A,184397,,,,Nederlands,remarks
tg:lhps:35212,9dc34530-a328-5f65-92c8-4c445d02d107,Items,1,,AV.93.2.14,225272/2553,isad:lh:92220,,,Nederlands,remarks
tg:lhps:3799,d573674d-c6a9-5775-b179-ee124cb3b1e8,Items,1,tr:lh:7019,D 236805 / A,183205,,,,Nederlands,remarks
tg:lhps:3799,d573674d-c6a9-5775-b179-ee124cb3b1e8,Items,2,tr:lh:7019,J 3368 / A,183205,,,,Nederlands,remarks
tg:lhps:55813,a95901ae-c819-5c8b-8a3f-68fcfdefa3e9,Items,1,,V 7576 / A,225299/310,,,,Nederlands,remarks
tg:lhps:19687,72176631-88e4-5d02-a88a-89b3b64b1d9a,Items,1,tr:lh:9938,S 5998 / A,225045/41,isad:lh:92227,,,Nederlands,remarks
tg:lhps:6061,bd7fb199-292c-593e-8bc1-ace8c3ecd611,Items,1,,O 33745 / A (LH.237),235992,,,,Nederlands,remarks
tg:lhps:29231,bb2e3087-96f5-5417-b48e-5e2018f7c77d,Items,1,tr:lh:9937,V 75457 / A (VM702),225261/702,isad:lh:92204,,,Nederlands,remarks
tg:lhps:18995,67c86eb8-b19a-5472-89c7-69da0288d504,Items,1,,V 7576 / A,215034/176,,,,Nederlands,remarks
tg:lhps:54701,6ba5373a-bc99-51e3-8e06-a728417aaad5,Items,1,tr:lh:110342,NN 31 / A,,,,,Nederlands,remarks
tg:lhps:49830,0fafd79c-8fe7-5e69-91c0-09930bf8ce40,Items,1,,P 9315 / A,225293/518,,,,Nederlands,remarks
tg:lhps:30440,a923c934-1e11-521a-b5a2-77f219122c13,Items,1,tr:lh:9936,S 282 / A (CS 31),225267/34,isad:lh:92208,,,Nederlands,remarks
tg:lhps:57984,01c3a881-f9fb-53f2-98ed-98e2d2cad3a0,Items,1,tr:lh:110342,B 5255 / A,,,,,Nederlands,remarks
tg:lhps:48688,119b24f2-ca0a-5ea1-8ecf-25e6e5963801,Items,1,,N 376 / A,225293/113,,,,Nederlands,remarks
tg:lhps:3633,8fdbbcfa-8dec-5449-991f-344f67c60a16,Items,1,,C 20401 / A,239862/1,,,,Nederlands,remarks
tg:lhps:51153,f268c268-4d44-5521-a202-4e914b5d5d52,Items,1,,SS 226 / A,216829/683,,,,Nederlands,remarks
tg:lhps:2921,50644464-1d72-513e-b58b-800dc06a9d4c,Items,1,,"C 34 / A (LK I,7)",236816,,,,Nederlands,remarks
tg:lhps:2921,50644464-1d72-513e-b58b-800dc06a9d4c,Items,2,,"C 34 / A (V,10)",236816,,,,Nederlands,remarks
tg:lhps:2921,50644464-1d72-513e-b58b-800dc06a9d4c,Items,3,,G 9662 / A,236816,,,,Nederlands,remarks
tg:lhps:2921,50644464-1d72-513e-b58b-800dc06a9d4c,Items,4,,M 436 / A,236816,,,,Nederlands,remarks
tg:lhps:56696,0b9552ef-9003-52b4-8ae7-ddfc2de5dea2,Items,1,,V 2563 / A,,,,,Nederlands,remarks
tg:lhps:23796,7c49331d-3bc1-556e-8415-ef761f6d46a0,Items,1,,L 5751 / A,225249/4,,,,Nederlands,remarks
tg:lhps:24053,dc0b9e3a-6237-5ba4-ba0d-8025114d2a1e,Items,1,tr:lh:7875,O 3369 / A (CM1065),225212/2062,isad:lh:92200,,,Nederlands,remarks
tg:lhps:59563,10f8813b-e466-5d14-bbb3-fcc359f4ca45,Items,1,,V 4775 / A,,isad:lh:146382,,,Nederlands,remarks
tg:lhps:42285,f5a1437e-9da2-59dc-8983-e66a2f86266a,Items,1,,B 5379 / A,225279/130,,,,Nederlands,remarks
tg:lhps:22884,845b2aa4-0c84-58a2-bcaa-d94dde6f5ce9,Items,1,tr:lh:7875,O 3369 / A (CM 378),225212/1375,isad:lh:92200,,,Nederlands,remarks
tg:lhps:13320,39e3a72d-79df-5291-83a0-35052c5dbce6,Items,1,tr:lh:7632,S 4687 / A,213855,,,,Nederlands,remarks
tg:lhps:45540,4f3eb0b5-eda0-520f-9f73-9c4005ad2b7b,Items,1,tr:lh:7284,O 33745 / A (LH.266),236021,,,,Nederlands,remarks
tg:lhps:47087,98455711-580c-5d08-bc40-3b3f1b58ae16,Items,1,,S 9409/ A,225291/357,,,,Nederlands,remarks
tg:lhps:16122,ad44cc28-c533-5fd6-a7a3-0d1a5157b5a1,Items,1,,B 18237 / A,215945,,,,Nederlands,remarks
tg:lhps:40742,948358e0-fec6-502d-94a8-bac7643a9e86,Items,1,,V 7535 / A,225273/66,,,,Nederlands,remarks
tg:lhps:26594,915c3f29-d658-55d7-b8f0-4cc00ce5d10a,Items,1,tr:lh:7875,O 3369 / A (CM2620),225212/3618,isad:lh:92200,,,Nederlands,remarks
tg:lhps:41850,3a339c96-fbef-50ed-aece-e0be20224fdf,Items,1,,AA 25 / A,225276/342,,,,Nederlands,remarks
tg:lhps:21251,9aaf374b-cb7c-55e2-a9a3-6b5b25adde32,Items,1,,H 905 / A,215095/23,,,,Nederlands,remarks
tg:lhps:59099,66a8632b-4a10-5042-a453-c09a1dff15d4,Items,1,tr:lh:110342,VV 336 / A,,,,,Nederlands,remarks
tg:lhps:54351,aa8c3dc4-292c-5329-87d1-480146956c9a,Items,1,tr:lh:110342,M 9679 / A,225298/354,,,,Nederlands,remarks
tg:lhps:29661,6869adf9-e070-5a65-ac54-44383196086f,Items,1,,P 957 / A,225263/207,,,,Nederlands,remarks
tg:lhps:34950,d2acbee5-7b96-576c-953d-1f9b2d3f50fd,Items,1,,AV.81.10.4,225272/2569,isad:lh:92220,,,Nederlands,remarks
tg:lhps:53494,7e5168e8-6d65-59e4-b4d3-950ed95736a3,Items,1,tr:lh:110505,F 221 / A,,isad:lh:135969,,,Nederlands,remarks
tg:lhps:63022,987d702a-aa21-53ce-8a66-86cc66d3b8fc,Items,1,tr:lh:140424,MM 186 / A,,,,,Nederlands,remarks
tg:lhps:35642,7742e2b1-9f1f-5e94-8063-2b272415f10d,Items,1,,AV.93.9.105,225272/2856,isad:lh:92220,,,Nederlands,remarks
tg:lhps:48372,a2f9036c-44ec-5d11-ba7d-651c2c41d0ef,Items,1,tr:lh:103936,A 312 / A,,,,,Nederlands,remarks
tg:lhps:28973,26b28f33-375c-57c0-aea7-f5ebf297772e,Items,1,tr:lh:9937,V 75457 / A (VM452),225261/452,isad:lh:92204,,,Nederlands,remarks
tg:lhps:32187,3ed76a63-9146-506b-bf65-a01cbb93f45a,Items,1,,"AV.14.6.117 (LK VII,1)",225272/117,isad:lh:92873,,,Nederlands,remarks
tg:lhps:6431,9f9faafe-6e1e-511f-b887-564ac44a3c9c,Items,1,tr:lh:5565,P 545 / A,110830/15,isad:lh:92393,,,Nederlands,remarks
tg:lhps:30913,525b5755-fd0f-571e-9b51-22523b1c9226,Items,1,,S 810975 / A,225263/835,,,,Nederlands,remarks
tg:lhps:50312,a22688f8-7e07-59b2-b851-078126e408ae,Items,1,,R 854 / A,225294/61,,,,Nederlands,remarks
tg:lhps:2472,0ba9be3e-3559-559c-8044-b8825ee48b25,Items,1,,F 131 / A,238630,,,,Nederlands,remarks
tg:lhps:2472,0ba9be3e-3559-559c-8044-b8825ee48b25,Items,2,,V 4153 / A,238630,,,,Nederlands,remarks
tg:lhps:31601,c4fab2d6-9ecf-5194-a536-7de1ec123728,Items,1,tr:lh:2817,T 26512 / A,55864,isad:lh:92243,,,Nederlands,remarks
tg:lhps:62799,cc418ba2-bd29-5b04-9728-a0ea67347c49,Items,1,tr:lh:140424,EE 71 / A,,,,,Nederlands,remarks
tg:lhps:12161,cb37b08d-7cee-596f-9f9a-8b1200173492,Items,1,tr:lh:7755,O 2652 / A,200877/180,isad:lh:92200,,,Nederlands,remarks
tg:lhps:44701,aaf91ff8-c752-5e27-b6e8-92594ba42306,Items,1,tr:lh:7657,G 3145 / A,217717/5,,,,Nederlands,remarks
tg:lhps:17699,b227fe13-7bb6-51bc-a4cb-ffd16563ca03,Items,1,,H 339 / A,217341,,,,Nederlands,remarks
tg:lhps:59830,15195a32-54b4-5446-83fd-be30a8985ab4,Items,1,tr:lh:110342,K 77 / A,,,,,Nederlands,remarks
tg:lhps:25212,0c0344dc-af09-5ef8-8218-9930147b9ae8,Items,1,,M 736 / A,225255/148,,,,Nederlands,remarks
tg:lhps:58722,a3427f25-dd48-5e63-9070-df6f93777004,Items,1,,J 4625 / A,,isad:lh:137935,Uit F 221 / 20,,Nederlands,remarks
tg:lhps:45813,4b179db6-8985-5213-8d76-cf2930eb2bef,Items,1,,K 4167 / A,225289/899,,,,Nederlands,remarks
tg:lhps:20010,1f82de59-4963-5525-a8f2-875f2ab9d6fd,Items,1,,F 108 / A,215059/17a,,,,Nederlands,remarks
tg:lhps:17363,a3328d93-a57f-5225-9a2d-e189b5bd87e8,Items,1,,II 1 / A,216829/903,,,,Nederlands,remarks
tg:lhps:41503,6ae8410a-9e21-5a83-a32a-5e75f5c118cf,Items,1,,A 18142 / A,225276/39,,,,Nederlands,remarks
tg:lhps:8585,bc11df13-729c-59ee-bc82-302c86946205,Items,1,tr:lh:4749,"O 393 / A (LK II,6)",92544,,,,Nederlands,remarks
tg:lhps:18096,655bc3c6-92ce-5a3f-aa86-5f3f3012eb5e,Items,1,,C 227 / A,225115,,,,Nederlands,remarks
tg:lhps:2188,1d35dbd3-4a18-564e-a01b-75ddc7ec4a06,Items,1,,E 4152 / A,168019/54,,,,Nederlands,remarks
tg:lhps:7670,309be35c-9884-5d4f-b100-ef03e726e7c7,Items,1,,T 265165 / A,237345,,,,Nederlands,remarks
tg:lhps:62263,c53a10aa-1b53-598e-9acf-775fefbeab80,Items,1,tr:lh:140367,VV 98 / A,,isad:lh:134182,,,Nederlands,remarks
tg:lhps:34403,d1e9f5c5-0d59-5b79-8c04-2b134ba15608,Items,1,,AV.38.5.10.544,225272/2378,isad:lh:92750,,,Nederlands,remarks
tg:lhps:34403,d1e9f5c5-0d59-5b79-8c04-2b134ba15608,Items,2,,"LK I,7",225272/2378,,Tweede voorbeeld papier,,Nederlands,remarks
tg:lhps:55110,c3d321a8-1c8c-5778-84f4-e3bf0959091d,Items,1,tr:lh:110342,FF 81 / A,,,,,Nederlands,remarks
tg:lhps:28420,3fd7f73f-db59-5099-9f61-06953a05c0ce,Items,1,tr:lh:9937,V 75457 / A (VM108),225261/108,isad:lh:92204,,,Nederlands,remarks
tg:lhps:6962,b826c26a-2bf6-5b5b-91b2-30d07dfb53fa,Items,1,tr:lh:7019,S 5022 / A,182025,,,,Nederlands,remarks
tg:lhps:36594,bc82d4a3-00aa-54ec-bde0-7aa6192b1a71,Items,1,,AV.5847,225272/1748,isad:lh:92876,,,Nederlands,remarks
tg:lhps:51850,931f4b80-0b0e-53a0-a9cc-9ba06b6ccbe0,Items,1,tr:lh:110342,TT 89 / A,,,,,Nederlands,remarks
tg:lhps:2022,29ce49e6-0ea0-50d1-8a88-3dc95892a86c,Items,1,,E 4152 / A,238163,,,,Nederlands,remarks
tg:lhps:31251,b88fa304-8719-535a-936c-f9af627f3b3e,Items,1,tr:lh:9936,S 282 / A (CS 313),225267/375,isad:lh:92208,,,Nederlands,remarks
tg:lhps:49099,0fae4f74-765b-5ba3-b064-edaeaef27298,Items,1,,OO 36 / A,225293/377,,,,Nederlands,remarks
tg:lhps:57087,a6655c24-9404-5bd1-869c-fcda3859a7c5,Items,1,tr:lh:110342,CC 117 / A,,,,,Nederlands,remarks
tg:lhps:50742,fafc5724-c8d1-5105-8476-cf83dff5fb75,Items,1,,M 9348 / A,,,,,Nederlands,remarks
tg:lhps:58372,fffb0a90-6d10-536c-bb60-e2382d835567,Items,1,tr:lh:139765,LL 186 / A,,isad:lh:140015,,,Nederlands,remarks
tg:lhps:25642,66f773da-5a3d-55e5-ad29-dd1fc759aa96,Items,1,tr:lh:7875,O 3369 / A (CM2042),225212/3040,isad:lh:92200,,,Nederlands,remarks
